caste,treat,time,Iz,Iy,trtime
Queen,,0.0,1.33,1.5,0
Queen,,0.0,1.5,0.0,0
Queen,,0.0,1.83,0.0,0
Queen,,0.0,1.67,0.0,0
Queen,,0.0,0.67,0.83,0
Queen,,0.0,1.83,0.0,0
Queen,,0.0,2.0,0.0,0
Queen,,0.0,0.67,0.67,0
Queen,,0.0,1.5,0.0,0
Queen,,0.0,1.83,0.0,0
Queen,,0.0,2.0,0.0,0
Queen,,0.0,0.83,0.83,0
Queen,,0.0,1.33,0.33,0
Queen,,0.0,1.33,0.5,0
Queen,,0.0,2.17,0.0,0
Queen,,0.0,1.5,0.5,0
Queen,,0.0,1.67,0.5,0
Queen,,0.0,2.67,0.0,0
Queen,,0.0,1.83,0.0,0
Queen,,0.0,2.33,0.5,0
Queen,,0.0,2.0,0.0,0
Queen,,0.0,2.0,0.0,0
Queen,,0.0,1.33,0.5,0
Queen,,0.0,2.0,0.0,0
Queen,,0.0,1.67,0.5,0
Queen,,0.0,2.0,0.0,0
Queen,,0.0,2.5,0.0,0
Queen,,0.0,2.17,0.0,0
Queen,,0.0,1.0,1.0,0
Queen,,0.0,2.0,0.0,0
Queen,,0.0,2.17,0.0,0
Queen,,0.0,2.33,0.0,0
Queen,,0.0,2.17,0.0,0
Queen,,0.0,2.33,0.0,0
Queen,,0.0,1.83,0.0,0
Queen,CAP,5.0,0.83,0.83,CAP05
Queen,CAP,5.0,2.0,0.0,CAP05
Queen,CAP,5.0,1.33,0.5,CAP05
Queen,CAP,5.0,2.5,0.0,CAP05
Queen,CAP,5.0,1.17,0.5,CAP05
Queen,CAP,5.0,0.67,1.33,CAP05
Queen,CAP,5.0,1.0,0.83,CAP05
Queen,CAP,5.0,1.17,0.5,CAP05
Queen,CAP,5.0,1.5,0.0,CAP05
Queen,CAP,5.0,1.83,0.5,CAP05
Queen,MAL,5.0,1.0,0.67,MAL05
Queen,MAL,5.0,1.0,1.0,MAL05
Queen,MAL,5.0,1.0,1.0,MAL05
Queen,MAL,5.0,1.33,0.5,MAL05
Queen,MAL,5.0,1.0,0.83,MAL05
Queen,MAL,5.0,1.5,0.5,MAL05
Queen,MAL,5.0,1.33,0.33,MAL05
Queen,MAL,5.0,1.33,0.5,MAL05
Queen,MAL,5.0,1.67,0.0,MAL05
Queen,MAL,5.0,0.83,0.83,MAL05
Queen,CAP,7.5,1.33,0.33,CAP07
Queen,CAP,7.5,1.0,1.0,CAP07
Queen,CAP,7.5,1.67,0.0,CAP07
Queen,CAP,7.5,1.33,0.5,CAP07
Queen,CAP,7.5,0.67,1.33,CAP07
Queen,CAP,7.5,1.0,0.83,CAP07
Queen,CAP,7.5,1.5,0.5,CAP07
Queen,CAP,7.5,1.17,0.5,CAP07
Queen,CAP,7.5,1.17,0.5,CAP07
Queen,CAP,7.5,1.83,0.0,CAP07
Queen,MAL,7.5,1.83,0.0,MAL07
Queen,MAL,7.5,0.67,1.33,MAL07
Queen,MAL,7.5,1.33,0.83,MAL07
Queen,MAL,7.5,1.17,0.83,MAL07
Queen,MAL,7.5,0.67,1.17,MAL07
Queen,MAL,7.5,0.83,0.83,MAL07
Queen,MAL,7.5,0.5,1.5,MAL07
Queen,MAL,7.5,0.67,1.33,MAL07
Queen,MAL,7.5,0.67,1.0,MAL07
Queen,MAL,7.5,0.67,1.17,MAL07
Queen,CAP,10.0,1.0,1.0,CAP10
Queen,CAP,10.0,1.0,1.0,CAP10
Queen,CAP,10.0,1.0,1.0,CAP10
Queen,CAP,10.0,1.0,1.0,CAP10
Queen,CAP,10.0,0.33,1.5,CAP10
Queen,CAP,10.0,0.5,0.83,CAP10
Queen,CAP,10.0,1.0,0.83,CAP10
Queen,CAP,10.0,0.5,1.0,CAP10
Queen,CAP,10.0,0.5,0.83,CAP10
Queen,CAP,10.0,0.83,1.33,CAP10
Queen,MAL,10.0,0.17,1.83,MAL10
Queen,MAL,10.0,0.33,1.0,MAL10
Queen,MAL,10.0,0.5,1.5,MAL10
Queen,MAL,10.0,1.0,1.0,MAL10
Queen,MAL,10.0,0.67,1.33,MAL10
Queen,MAL,10.0,0.33,1.33,MAL10
Queen,MAL,10.0,0.5,1.17,MAL10
Queen,MAL,10.0,0.33,1.33,MAL10
Queen,MAL,10.0,0.67,1.17,MAL10
Queen,MAL,10.0,0.67,1.33,MAL10
Queen,CAP,12.5,0.0,2.0,CAP12
Queen,CAP,12.5,0.0,2.0,CAP12
Queen,CAP,12.5,0.67,1.33,CAP12
Queen,CAP,12.5,0.17,1.83,CAP12
Queen,CAP,12.5,0.17,1.5,CAP12
Queen,CAP,12.5,0.33,1.33,CAP12
Queen,CAP,12.5,0.0,2.0,CAP12
Queen,CAP,12.5,0.0,1.83,CAP12
Queen,CAP,12.5,0.17,1.5,CAP12
Queen,CAP,12.5,0.33,1.83,CAP12
Queen,MAL,12.5,0.17,1.67,MAL12
Queen,MAL,12.5,0.0,2.17,MAL12
Queen,MAL,12.5,0.17,1.33,MAL12
Queen,MAL,12.5,0.5,1.5,MAL12
Queen,MAL,12.5,0.0,1.33,MAL12
Queen,MAL,12.5,0.0,2.17,MAL12
Queen,MAL,12.5,0.0,1.5,MAL12
Queen,MAL,12.5,0.0,1.5,MAL12
Queen,MAL,12.5,0.0,1.67,MAL12
Queen,MAL,12.5,0.0,1.67,MAL12
Queen,CAP,15.0,0.0,2.0,CAP15
Queen,CAP,15.0,0.0,2.0,CAP15
Queen,CAP,15.0,0.0,1.83,CAP15
Queen,CAP,15.0,0.0,2.17,CAP15
Queen,CAP,15.0,0.67,1.5,CAP15
Queen,CAP,15.0,0.0,2.0,CAP15
Queen,CAP,15.0,0.0,2.0,CAP15
Queen,CAP,15.0,0.0,2.0,CAP15
Queen,CAP,15.0,0.0,2.17,CAP15
Queen,CAP,15.0,0.17,2.0,CAP15
Queen,MAL,15.0,0.0,2.17,MAL15
Queen,MAL,15.0,0.17,1.83,MAL15
Queen,MAL,15.0,0.0,2.0,MAL15
Queen,MAL,15.0,0.0,2.33,MAL15
Queen,MAL,15.0,0.0,1.67,MAL15
Queen,MAL,15.0,0.0,2.0,MAL15
Queen,MAL,15.0,0.0,1.83,MAL15
Queen,MAL,15.0,0.0,1.83,MAL15
Queen,MAL,15.0,0.0,1.83,MAL15
Queen,MAL,15.0,0.0,2.0,MAL15
Worker,,0.0,1.83,0.0,0
Worker,,0.0,1.17,0.5,0
Worker,,0.0,1.0,0.0,0
Worker,,0.0,1.17,0.0,0
Worker,,0.0,1.33,0.0,0
Worker,,0.0,1.17,0.0,0
Worker,,0.0,1.0,0.0,0
Worker,,0.0,1.0,0.0,0
Worker,,0.0,1.5,0.0,0
Worker,,0.0,1.33,0.0,0
Worker,CAP,5.0,0.67,0.33,CAP05
Worker,CAP,5.0,1.17,0.0,CAP05
Worker,CAP,5.0,1.17,0.0,CAP05
Worker,CAP,5.0,1.0,0.5,CAP05
Worker,CAP,5.0,1.83,0.0,CAP05
Worker,CAP,5.0,1.0,0.5,CAP05
Worker,CAP,5.0,1.17,0.33,CAP05
Worker,CAP,5.0,1.0,0.5,CAP05
Worker,CAP,5.0,1.33,0.0,CAP05
Worker,CAP,5.0,0.83,0.33,CAP05
Worker,MAL,5.0,1.0,0.33,MAL05
Worker,MAL,5.0,1.0,0.5,MAL05
Worker,MAL,5.0,1.0,0.83,MAL05
Worker,MAL,5.0,0.83,0.17,MAL05
Worker,MAL,5.0,0.83,0.5,MAL05
Worker,MAL,5.0,0.83,0.33,MAL05
Worker,MAL,5.0,0.67,0.5,MAL05
Worker,MAL,5.0,1.0,0.33,MAL05
Worker,MAL,5.0,0.67,0.33,MAL05
Worker,MAL,5.0,1.0,0.5,MAL05
Worker,CAP,7.5,1.17,0.33,CAP07
Worker,CAP,7.5,1.0,0.0,CAP07
Worker,CAP,7.5,1.5,0.0,CAP07
Worker,CAP,7.5,0.67,0.33,CAP07
Worker,CAP,7.5,0.83,0.33,CAP07
Worker,CAP,7.5,0.67,0.83,CAP07
Worker,CAP,7.5,0.67,0.83,CAP07
Worker,CAP,7.5,1.0,0.0,CAP07
Worker,CAP,7.5,0.67,0.33,CAP07
Worker,CAP,7.5,1.33,0.0,CAP07
Worker,MAL,7.5,0.33,0.67,MAL07
Worker,MAL,7.5,0.5,0.5,MAL07
Worker,MAL,7.5,1.0,0.17,MAL07
Worker,MAL,7.5,0.83,1.0,MAL07
Worker,MAL,7.5,0.67,0.67,MAL07
Worker,MAL,7.5,1.33,0.5,MAL07
Worker,MAL,7.5,1.0,0.17,MAL07
Worker,MAL,7.5,0.67,0.33,MAL07
Worker,MAL,7.5,0.5,0.67,MAL07
Worker,MAL,7.5,1.0,0.17,MAL07
Worker,CAP,10.0,0.67,0.33,CAP10
Worker,CAP,10.0,0.83,0.17,CAP10
Worker,CAP,10.0,0.83,0.17,CAP10
Worker,CAP,10.0,0.83,0.33,CAP10
Worker,CAP,10.0,0.83,0.17,CAP10
Worker,CAP,10.0,0.83,0.5,CAP10
Worker,CAP,10.0,0.83,0.33,CAP10
Worker,CAP,10.0,1.0,0.0,CAP10
Worker,CAP,10.0,0.67,0.33,CAP10
Worker,CAP,10.0,0.5,0.67,CAP10
Worker,MAL,10.0,0.83,0.17,MAL10
Worker,MAL,10.0,0.83,0.17,MAL10
Worker,MAL,10.0,0.67,0.33,MAL10
Worker,MAL,10.0,0.33,0.83,MAL10
Worker,MAL,10.0,0.33,0.67,MAL10
Worker,MAL,10.0,0.5,0.83,MAL10
Worker,MAL,10.0,0.17,1.0,MAL10
Worker,MAL,10.0,0.33,0.83,MAL10
Worker,MAL,10.0,0.0,1.0,MAL10
Worker,MAL,10.0,0.0,1.0,MAL10
Worker,CAP,12.5,0.33,1.0,CAP12
Worker,CAP,12.5,0.67,0.5,CAP12
Worker,CAP,12.5,0.67,0.83,CAP12
Worker,CAP,12.5,0.67,0.33,CAP12
Worker,CAP,12.5,0.67,0.5,CAP12
