Species,Common,Page,Length,Nesttype,Location,No_eggs,Color,Incubate,Nestling,Totcare,Closed_
Tyrannus tyrannus,Eastern Kingbird,360,20.0,cup,decid,3.5,1,17.0,17.0,34.0,0
Myiodynastes luteiventris,Sulphur-bellied Flycatcher,368,20.0,cavity,decid,3.5,1,15.5,17.0,32.5,1
Myiarchus cinerascens,Ash-thoated Flycatcher,372,20.0,cavity,decid,4.5,1,15.0,15.0,30.0,1
Myiarchus tyrannulus,Brown-crested Flycatcher,372,22.5,cavity,decid,4.5,1,14.0,16.5,30.5,1
Myarchus tuberculifer,Dusky-capped Flycatcher,374,17.0,cavity,decid,4.5,1,14.0,14.0,28.0,1
Sayornis phoebe,Eastern Phoebe,378,17.0,cup,bridge,4.5,0,16.0,15.5,31.5,0
Empidonax wrightii,Gray Flycatcher,382,15.0,cup,shrub,3.5,0,14.0,16.0,30.0,0
Pyrocephalus rubinus,Vermillion Flycatcher,382,15.0,cup,decid,3.0,1,14.5,15.0,29.5,0
Pachyramphus algaiae,Rose-throated Becard,394,16.0,spherical,decid,5.0,1,,19.0,,1
Alauda arvensis,Eurasion Skylark,394,18.5,saucer,ground,3.5,1,11.5,9.5,21.0,0
Eremophila alpestris,Horned Lark,396,19.0,saucer,ground,3.5,1,11.5,10.5,22.0,0
Riparia riparia,Bank Swallow,400,12.5,burrow,bank,4.5,0,15.0,21.0,36.0,1
Stelgidopteryx serripennis,Northern Rough-winged Swallow,400,13.5,burrow,bank,5.5,0,12.0,20.0,32.0,1
Hirundo rustica,Barn Swallow,402,17.0,cup,building,4.5,1,15.0,20.5,35.5,0
Aphelocoma coerulescens,Scrub Jay,404,30.5,cup,decid,4.5,1,16.0,18.5,34.5,0
Gymnorhina cyanocephalus,Pinyon Jay,406,26.5,cup,conif,4.5,1,16.5,21.0,37.5,0
Cyanocitta cristata,Blue Jay,408,29.5,cup,conif,4.5,1,17.0,19.0,36.0,0
Nucifraga columbiana,Clark's Nutcracker,410,31.5,cup,conif,3.0,1,17.0,19.5,36.5,0
Perisoreus canadensis,Cray Jay,410,30.5,cup,decid,3.5,1,17.0,15.0,32.0,0
Parus bicolor,Tufted Titmouse,422,14.0,cavity,decid,6.0,1,13.5,16.5,30.0,1
Parus atricapillus,Black-capped Chickadee,424,13.0,cavity,decid,7.0,1,12.0,16.0,28.0,1
Auriparus flaviceps,Verdin,432,10.5,spherical,shrub,4.5,1,10.0,21.0,31.0,1
Sitta carolinensis,White-breasted Nuthatch,434,14.0,cavity,decid,6.5,1,12.0,14.0,26.0,1
Sitta canadensis,Red-breasted Nuthatch,436,11.0,cavity,conif,5.5,1,12.0,17.5,29.5,1
Sitta pygmaea,Pygmy Nuthatch,436,10.0,cavity,conif,7.0,1,15.5,21.0,36.5,1
Troglodytes aedon,House Wren,438,12.0,cavity,decid,7.0,1,13.0,15.0,28.0,1
Thryothorus ludovicianus,Carolina Wren,440,14.0,cavity,decid,5.0,1,13.0,13.0,26.0,1
Thryomanes bewickii,Bewick's Wren,442,13.0,cavity,decid,6.0,1,13.0,14.0,27.0,1
Campylorhynchus brunneicapillus,Cactus Wren,446,20.0,spherical,shrub,3.5,1,16.0,21.0,37.0,1
Regulus satrapa,Golden-crowned Kinglet,448,9.0,pendant,conif,8.5,1,14.5,16.5,31.0,1
Regulus calendula,Ruby-crowned Kinglet,450,10.0,pendant,conif,8.0,1,12.0,12.0,24.0,1
Sialia sialis,Eastern Bluebird,452,18.0,cavity,snag,4.5,0,13.0,17.5,30.5,1
Polioptila melanura,Black-tailed Gnatcatcher,452,11.0,cup,shrub,4.0,1,14.0,12.0,26.0,0
Sialia currucoides,Mountain Bluebird,454,18.0,cavity,snag,5.5,0,13.5,22.5,36.0,1
Hylocichla mustelina,Wood Thrush,456,20.0,cup,decid,3.5,0,13.5,12.0,25.5,0
Catharus ustulatus,Swainson's Thrush,458,18.0,cup,shrub,3.5,1,13.0,11.5,24.5,0
Catharus guttatus,Hermit Thrush,460,18.0,cup,ground,4.0,0,12.5,12.0,24.5,0
Turdus migratorius,American Robin,462,25.5,cup,decid,4.0,0,13.0,15.0,28.0,0
Lanius excubitor,Northern Shrike,466,24.0,cup,conif,5.0,1,15.5,20.0,35.5,0
Lanius ludovicianus,Loggerhead Shrike,466,23.0,cup,decid,5.5,1,16.5,19.0,35.5,0
Dumetella carolinensis,Gray Catbird,468,23.0,cup,shrub,4.0,0,12.5,10.5,23.0,0
Mimus polyglottos,Northern Mockingbird,468,25.5,cup,shrub,1.0,1,12.5,12.0,24.5,0
Oreoscoptes montanus,Sage Thrush,470,21.5,cup,shrub,4.0,1,15.0,12.5,27.5,0
Toxostoma rufum,Brown Thrasher,470,29.0,cup,shrub,4.5,1,12.5,11.0,23.5,0
Toxostoma curvirostre,Curve-billed Thrasher,472,26.5,cup,shrub,3.5,1,13.5,14.5,28.0,0
Toxostoma redivivum,California Thrasher,476,30.5,cup,shrub,3.5,1,14.0,13.0,27.0,0
Anthus spinoletta,Water Pipit,478,16.5,cup,ground,4.5,1,14.0,14.0,28.0,0
Motacilla alba,White Wagtail,480,18.0,crevice,bank,5.5,1,13.0,14.5,27.5,1
Cinclus mexicanus,American Dipper,482,19.5,crevice,cliff,4.5,0,15.0,21.5,36.5,1
Motacilla flava,Yellow Wagtail,482,16.0,cup,ground,5.5,1,11.5,15.5,27.0,0
Bombycilla cedrorum,Cedar Waxwing,484,18.0,cup,decid,4.0,1,12.0,16.0,28.0,0
Phainopepla nitens,Phainopepla,486,18.5,cup,decid,2.5,1,14.0,19.5,33.5,0
Sturnus vulgaris,European Starling,488,20.0,cavity,decid,5.0,1,13.0,19.5,32.5,1
Vireo solitarius,Solitary Vireo,494,14.0,cup,conif,4.0,1,14.0,14.0,28.0,0
Vireo olivaceus,Red-eyed Vireo,496,15.0,cup,shrub,4.0,1,12.5,11.0,23.5,0
