schoolid,hispanic,college,black,otherrace,female,register,distance
1032,0,1,1,0,1,1,4.0
1032,0,1,1,0,1,1,4.0
1032,0,0,0,1,1,1,4.0
1032,0,0,1,0,0,0,4.0
1032,0,0,1,0,1,0,4.0
1032,0,0,1,0,1,1,4.0
1037,0,1,0,1,0,1,4.0
1037,0,1,0,1,0,1,4.0
1037,0,1,0,1,1,0,4.0
1037,0,1,0,1,0,1,4.0
1037,0,1,0,1,0,1,4.0
1037,0,1,0,1,0,0,4.0
1037,0,1,0,1,0,1,4.0
1037,0,1,0,1,1,1,4.0
1037,0,1,0,1,0,0,4.0
1037,0,1,0,1,0,0,4.0
1045,0,0,0,0,0,1,4.0
1045,0,0,0,0,1,1,4.0
1045,0,1,0,1,1,1,4.0
1045,0,1,0,1,0,1,4.0
1045,0,0,0,0,0,1,4.0
1045,0,0,0,1,0,0,4.0
1045,0,0,0,1,0,1,4.0
1045,0,1,1,0,0,1,4.0
1045,0,0,0,0,1,1,4.0
1045,1,0,0,0,1,1,4.0
1045,0,0,0,1,0,0,4.0
1045,1,1,0,0,0,0,4.0
1049,0,0,1,0,1,1,26.0
1049,0,1,0,0,1,1,26.0
1049,0,0,0,0,1,0,26.0
1049,1,0,0,0,0,1,26.0
1049,0,0,1,0,0,0,26.0
1049,0,0,1,0,0,1,26.0
1049,0,1,1,0,0,1,26.0
1049,0,1,0,0,0,1,26.0
1049,0,1,1,0,0,1,26.0
1049,1,1,0,0,1,1,26.0
1049,0,0,1,0,0,0,26.0
1093,0,1,0,0,0,1,15.000000953674316
1093,0,0,0,1,0,0,15.000000953674316
1093,0,1,0,0,0,1,15.000000953674316
1093,0,1,0,0,1,1,15.000000953674316
1093,0,0,0,0,1,1,15.000000953674316
1093,0,1,0,0,0,1,15.000000953674316
1093,0,0,0,0,1,1,15.000000953674316
1093,0,1,0,0,0,1,15.000000953674316
1093,1,1,0,0,0,1,15.000000953674316
1093,0,1,0,0,1,0,15.000000953674316
1098,0,0,0,0,1,0,5.0
1098,0,1,0,0,0,1,5.0
1098,0,0,0,0,0,0,5.0
1098,0,1,0,0,0,0,5.0
1098,0,0,0,0,0,0,5.0
1098,0,1,0,0,1,0,5.0
1098,0,1,0,0,1,1,5.0
1098,0,0,0,0,1,1,5.0
1098,0,1,0,0,0,0,5.0
1116,0,1,1,0,1,1,3.0
1116,0,1,0,0,0,1,3.0
1116,0,1,1,0,0,1,3.0
1116,0,0,1,0,0,1,3.0
1116,1,1,0,0,0,0,3.0
1116,0,1,0,0,1,1,3.0
1116,0,0,0,0,0,1,3.0
1116,0,1,1,0,1,0,3.0
1116,0,1,0,0,0,1,3.0
1116,0,1,0,0,0,1,3.0
1116,0,0,0,0,1,1,3.0
1116,1,1,0,0,1,1,3.0
1116,0,1,0,0,1,1,3.0
1116,0,1,1,0,0,0,3.0
1116,0,1,1,0,1,1,3.0
1116,0,1,0,0,1,1,3.0
1116,0,1,0,0,0,1,3.0
1116,0,0,1,0,1,0,3.0
1116,0,1,0,0,0,1,3.0
1116,0,1,0,1,0,1,3.0
1116,0,1,0,0,1,1,3.0
1118,0,0,1,0,0,0,1.0
1118,0,0,1,0,0,1,1.0
1118,0,0,0,1,0,1,1.0
1118,1,0,0,0,1,1,1.0
1118,0,1,1,0,1,1,1.0
1132,0,0,0,0,1,0,5.0
1132,0,1,1,0,1,1,5.0
1132,0,1,0,0,0,1,5.0
1132,0,0,0,0,1,0,5.0
1132,0,0,0,0,0,0,5.0
1132,0,1,0,0,0,1,5.0
1132,0,1,0,0,1,0,5.0
1132,0,1,0,0,1,1,5.0
1132,0,1,0,0,1,1,5.0
1132,0,0,0,0,0,0,5.0
1132,0,1,1,0,0,1,5.0
1132,0,1,0,0,1,1,5.0
1146,1,0,0,0,0,1,1.0
1146,0,0,0,0,0,1,1.0
1146,0,1,0,1,0,0,1.0
1146,1,0,0,0,1,1,1.0
1146,0,1,0,1,1,1,1.0
1146,0,1,0,1,0,0,1.0
1146,1,1,0,0,1,1,1.0
1146,0,0,0,0,1,1,1.0
1146,0,1,0,1,1,1,1.0
1149,0,1,0,0,0,1,1.0
1149,0,0,0,0,1,1,1.0
1149,1,0,0,0,0,1,1.0
1149,0,1,0,0,0,1,1.0
1149,1,0,0,0,1,0,1.0
1149,0,0,0,0,0,1,1.0
1149,0,0,0,0,0,1,1.0
1149,0,1,0,0,1,1,1.0
1149,0,1,0,0,0,0,1.0
1149,0,1,0,0,1,1,1.0
1149,0,1,0,0,0,1,1.0
1149,0,0,0,0,1,1,1.0
1149,0,1,0,0,1,1,1.0
1155,0,1,0,0,1,1,20.0
1155,0,0,0,0,0,0,20.0
1155,0,0,0,0,0,0,20.0
1155,0,0,0,0,0,0,20.0
1155,0,0,0,0,1,1,20.0
1155,0,0,0,0,0,0,20.0
1155,0,0,0,1,1,0,20.0
1155,0,1,0,0,0,0,20.0
1155,0,1,0,0,0,1,20.0
1155,0,0,0,1,0,1,20.0
1155,0,1,0,0,1,1,20.0
1155,0,1,0,0,1,1,20.0
1155,0,1,0,0,1,1,20.0
1155,0,0,0,0,0,1,20.0
1155,0,0,0,0,1,1,20.0
1157,0,0,1,0,1,1,2.0
1157,0,0,1,0,1,0,2.0
1157,1,0,0,0,1,0,2.0
1157,1,0,0,0,0,1,2.0
1157,1,1,0,0,0,0,2.0
1157,1,0,0,0,1,1,2.0
1157,1,1,0,0,0,0,2.0
1181,0,1,0,0,0,1,10.0
1181,0,0,0,0,1,0,10.0
1181,0,0,0,0,1,1,10.0
1181,0,1,0,0,0,1,10.0
1181,0,0,1,0,1,1,10.0
1181,0,1,0,1,1,1,10.0
1181,0,0,1,0,1,1,10.0
1181,0,0,0,0,0,0,10.0
1181,0,1,1,0,0,1,10.0
1181,0,0,0,1,0,0,10.0
1181,0,1,0,0,1,1,10.0
1215,0,1,0,0,1,1,4.0
1215,1,0,0,0,1,0,4.0
1215,1,1,0,0,0,1,4.0
1215,0,1,0,0,0,1,4.0
1215,1,0,0,0,1,1,4.0
1215,1,0,0,0,0,0,4.0
1215,1,0,0,0,1,1,4.0
1221,1,0,0,0,0,1,9.0
1221,1,0,0,0,0,1,9.0
1221,0,0,0,0,1,0,9.0
1221,1,1,0,0,1,1,9.0
1221,1,0,0,0,1,1,9.0
