age,y
g3,569.5
g3,895.5
g3,1111.0
g3,1182.0
g3,1277.5
g3,1384.0
g3,1464.5
g3,2453.0
g3,2538.0
g3,2539.5
g3,2830.5
g3,2852.0
g3,2865.0
g3,2945.0
g3,3023.0
g3,3024.5
g3,3171.5
g3,3338.5
g3,3419.0
g3,3519.5
g3,3519.5
g3,3556.5
g3,3619.5
g3,3641.0
g3,3748.0
g3,3848.5
g3,3984.5
g3,4006.5
g3,4028.5
g3,4056.0
g3,4066.0
g3,4076.5
g3,4113.0
g3,4122.0
g3,4262.5
g3,4357.5
g3,4430.5
g3,4438.0
g3,4598.0
g3,4607.0
g3,4616.5
g3,4755.0
g3,4791.0
g3,4862.0
g3,4921.5
g3,4951.0
g3,4970.0
g3,5042.0
g3,5042.5
g3,5088.0
g3,5094.0
g3,5166.0
g3,5337.0
g3,5344.5
g3,5440.5
g3,5468.0
g3,5512.0
g3,5580.0
g3,5630.0
g3,5637.0
g3,5661.0
g3,5668.0
g3,5685.0
g3,5755.0
g3,5808.0
g3,5860.0
g3,6046.5
g3,6206.5
g3,6230.5
g3,6364.5
g3,6377.5
g3,6412.0
g3,6464.5
g3,6490.0
g3,6602.0
g3,6607.5
g3,6622.0
g3,6704.5
g3,6869.0
g3,6878.0
g3,6970.0
g3,6976.0
g3,6990.0
g3,7003.5
g3,7009.5
g3,7034.5
g3,7044.0
g3,7062.0
g3,7083.5
g3,7153.5
g3,7181.5
g3,7291.5
g3,7363.5
g3,7388.5
g3,7559.0
g3,7574.5
g3,7577.0
g3,7586.5
g3,7625.5
g3,7646.5
g3,7654.5
g3,7718.0
g3,7789.0
g3,7790.0
g3,7834.0
g3,7871.0
g3,7941.0
g3,7988.0
g3,7993.5
g3,7996.0
g3,8037.5
g3,8052.0
g3,8205.0
g3,8234.0
g3,8257.5
g3,8286.0
g3,8290.5
g3,8367.0
g3,8381.0
g3,8390.0
g3,8397.0
g3,8398.0
g3,8434.5
g3,8480.5
g3,8522.0
g3,8548.5
g3,8566.0
g3,8596.0
g3,8655.5
g3,8765.5
g3,8847.5
g3,8881.5
g3,8928.0
g3,9002.5
g3,9004.5
g3,9021.5
g3,9205.5
g3,9232.5
g3,9260.0
g3,9274.0
g3,9279.0
g3,9316.0
g3,9334.5
g3,9425.5
g3,9440.5
g3,9511.0
g3,9516.0
g3,9521.0
g3,9543.0
g3,9574.0
g3,9617.5
g3,9631.5
g3,9631.5
g3,9631.5
g3,9677.0
g3,9817.0
g3,9817.5
g3,9827.5
g3,9841.5
g3,9860.0
g3,9931.0
g3,9975.0
g3,9984.5
g3,10030.0
g3,10041.5
g3,10057.0
g3,10063.5
g3,10089.0
g3,10112.0
g3,10115.5
g3,10140.0
g3,10232.5
g3,10270.0
g3,10441.5
g3,10442.0
g3,10486.0
g3,10492.0
g3,10510.5
g3,10637.0
g3,10648.0
g3,10680.0
g3,10748.5
g3,10764.0
g3,10772.0
g3,10785.5
g3,10799.0
g3,10813.0
g3,10840.0
g3,10899.0
g3,10929.5
g3,11032.5
g3,11055.5
g3,11060.0
g3,11079.5
g3,11096.0
g3,11264.0
g3,11276.5
g3,11291.0
g3,11293.5
g3,11293.5
g3,11293.5
g3,11299.0
g3,11307.5
g3,11651.0
g3,11665.0
g3,11702.0
g3,11719.5
g3,11772.0
g3,11774.5
g3,11815.5
g3,11847.0
g3,11860.0
g3,11861.5
g3,11864.5
g3,11900.5
g3,11901.0
g3,11917.5
g3,11921.0
g3,11932.5
g3,11980.5
g3,11982.0
g3,12029.5
g3,12036.5
g3,12089.5
g3,12145.5
g3,12153.0
g3,12186.5
g3,12206.5
g3,12249.0
g3,12282.5
g3,12309.0
g3,12337.5
g3,12362.5
g3,12410.0
g3,12412.0
g3,12427.0
g3,12431.5
g3,12494.0
g3,12503.0
g3,12531.5
g3,12544.0
g3,12557.5
g3,12571.5
g3,12571.5
g3,12571.5
g3,12585.5
g3,12650.5
g3,12654.0
g3,12659.0
g3,12747.5
g3,12808.0
g3,12814.5
g3,12827.0
g3,12887.5
g3,12895.5
g3,12898.5
g3,12928.0
g3,12938.5
g3,12956.0
g3,12983.5
g3,12984.0
g3,12996.0
g3,13056.0
g3,13057.0
g3,13089.5
g3,13187.5
g3,13203.5
g3,13228.5
g3,13331.5
g3,13354.5
g3,13396.0
g3,13409.5
g3,13422.0
g3,13423.0
g3,13430.0
g3,13446.5
g3,13473.0
g3,13487.0
g3,13488.0
g3,13498.0
g3,13519.5
g3,13557.0
g3,13567.5
g3,13612.0
g3,13622.5
g3,13650.0
g3,13726.0
g3,13741.0
g3,13795.5
g3,13822.0
g3,13829.0
g3,13863.0
g3,13911.0
g3,13973.0
g3,14046.0
g3,14063.5
g3,14112.5
g3,14118.5
g3,14192.5
g3,14200.0
g3,14206.5
g3,14206.5
g3,14234.0
g3,14260.0
g3,14301.0
g3,14447.0
g3,14495.5
g3,14520.0
g3,14524.5
g3,14535.0
g3,14555.0
g3,14564.0
g3,14564.5
g3,14618.0
g3,14642.0
g3,14653.5
g3,14658.5
g3,14673.5
g3,14701.0
g3,14734.5
g3,14760.0
g3,14771.0
g3,14787.5
g3,14800.5
g3,14811.0
g3,14814.0
g3,14852.5
g3,14913.5
g3,14929.5
g3,14942.0
g3,15006.5
g3,15031.0
g3,15031.0
g3,15040.5
g3,15044.5
g3,15085.5
g3,15085.5
g3,15085.5
g3,15107.5
g3,15154.5
g3,15183.5
g3,15271.5
g3,15285.0
g3,15329.0
g3,15387.0
g3,15393.5
g3,15402.0
g3,15449.5
g3,15453.0
g3,15457.0
g3,15471.0
g3,15484.0
g3,15484.0
g3,15494.0
g3,15518.5
g3,15524.0
g3,15641.5
g3,15667.5
g3,15675.0
g3,15683.5
g3,15726.5
g3,15814.5
g3,15843.5
g3,15852.0
g3,15874.5
g3,15910.0
g3,15910.0
g3,15964.5
g3,15966.5
g3,15981.5
g3,16009.5
g3,16020.0
g3,16037.5
g3,16045.0
g3,16066.0
g3,16070.5
g3,16075.0
g3,16113.5
g3,16129.5
g3,16130.0
g3,16135.0
g3,16138.0
g3,16234.0
g3,16237.0
g3,16267.5
g3,16273.5
g3,16290.5
g3,16295.0
g3,16308.5
g3,16336.0
g3,16347.5
g3,16350.0
g3,16350.0
g3,16350.0
g3,16354.5
g3,16376.0
g3,16379.5
g3,16392.5
g3,16424.5
g3,16448.5
g3,16455.5
g3,16500.0
g3,16502.0
g3,16543.0
g3,16604.0
g3,16668.0
g3,16707.5
g3,16733.0
g3,16734.5
g3,16748.0
g3,16762.0
g3,16776.0
g3,16811.5
g3,16842.0
g3,16852.0
g3,16892.5
g3,16940.5
g3,16984.5
g3,16995.0
g3,16995.5
g3,17015.0
g3,17025.5
g3,17035.5
g3,17039.5
g3,17105.5
g3,17107.0
g3,17119.5
g3,17133.0
g3,17146.5
g3,17174.0
g3,17215.5
g3,17217.0
g3,17229.0
g3,17256.5
g3,17318.0
g3,17325.5
g3,17339.5
g3,17373.0
g3,17393.5
g3,17397.5
g3,17435.0
g3,17440.0
g3,17445.5
g3,17462.0
g3,17489.0
g3,17524.5
g3,17526.0
g3,17545.0
g3,17545.0
g3,17559.0
g3,17572.5
g3,17615.0
g3,17646.0
g3,17648.0
g3,17662.5
g3,17724.0
g3,17772.0
g3,17775.5
g3,17808.0
g3,17839.0
g3,17854.0
g3,17854.0
g3,17904.5
g3,17914.5
g3,17917.5
g3,17920.5
g3,17960.5
g3,17971.0
g3,17975.0
g3,17986.0
g3,17996.5
g3,17997.0
g3,17998.5
g3,18012.0
g3,18039.5
g3,18053.5
g3,18053.5
g3,18067.0
g3,18117.5
g3,18125.0
g3,18254.5
g3,18269.5
g3,18304.5
g3,18383.0
g3,18392.0
g3,18438.0
g3,18474.0
g3,18500.5
g3,18506.5
g3,18530.0
g3,18534.0
g3,18556.5
g3,18608.0
g3,18631.0
g3,18642.5
g3,18644.0
g3,18649.0
g3,18732.5
g3,18760.5
g3,18768.0
g3,18775.0
g3,18784.0
g3,18788.5
g3,18837.0
g3,18842.5
g3,18850.0
g3,18898.0
g3,19074.5
g3,19139.5
g3,19139.5
g3,19166.5
g3,19180.5
g3,19221.5
g3,19243.0
g3,19244.0
g3,19254.5
g3,19255.0
g3,19276.0
g3,19276.0
g3,19295.0
g3,19297.0
g3,19317.5
g3,19374.0
g3,19382.0
g3,19431.0
g3,19472.0
g3,19493.0
g3,19504.5
g3,19536.0
g3,19550.0
g3,19561.0
g3,19633.5
g3,19647.5
g3,19674.5
g3,19680.5
g3,19688.5
g3,19688.5
g3,19730.0
g3,19810.0
g3,19813.5
g3,19985.0
g3,20030.5
g3,20042.0
g3,20059.5
g3,20086.5
g3,20086.5
g3,20091.5
g3,20100.5
g3,20125.5
g3,20148.5
g3,20169.0
g3,20196.5
g3,20222.5
g3,20223.5
g3,20251.5
g3,20251.5
g3,20267.5
g3,20293.5
g3,20302.5
g3,20394.5
g3,20408.5
g3,20416.5
g3,20423.5
g3,20426.5
g3,20434.5
g3,20471.5
g3,20499.0
g3,20526.5
g3,20526.5
g3,20657.0
g3,20665.5
g3,20667.0
g3,20718.5
g3,20744.0
g3,20768.0
g3,20772.5
g3,20884.5
g3,20928.5
g3,20938.5
g3,20938.5
g3,20938.5
g3,20963.0
g3,20966.5
g3,20984.5
g3,20993.5
g3,21032.0
g3,21033.5
g3,21045.0
g3,21057.5
g3,21067.5
g3,21092.0
g3,21121.0
g3,21182.5
g3,21199.5
g3,21242.0
g3,21250.5
g3,21259.0
g3,21287.5
g3,21296.0
g3,21312.0
g3,21378.5
g3,21391.0
g3,21405.5
g3,21410.0
g3,21428.5
g3,21519.5
g3,21564.0
g3,21606.0
g3,21641.0
g3,21642.0
g3,21672.5
g3,21691.5
g3,21691.5
g3,21696.5
g3,21698.5
g3,21703.5
g3,21735.5
g3,21749.5
g3,21756.0
g3,21770.0
g3,21777.0
g3,21777.0
g3,21801.5
g3,21832.0
g3,21832.5
g3,21833.0
g3,21845.5
g3,21881.0
g3,21942.0
g3,21958.0
g3,21962.5
g3,22018.5
g3,22066.0
g3,22069.0
g3,22085.5
g3,22125.5
g3,22137.0
g3,22161.5
g3,22175.5
g3,22185.0
g3,22297.0
g3,22307.5
g3,22315.0
g3,22463.5
g3,22468.0
g3,22491.0
g3,22516.0
g3,22628.5
g3,22652.5
g3,22655.5
g3,22656.0
g3,22656.5
g3,22684.5
g3,22697.0
g3,22818.0
g3,22841.5
g3,22910.0
g3,22958.5
g3,22962.0
g3,23033.5
g3,23040.5
g3,23054.5
g3,23068.0
g3,23082.0
g3,23153.0
g3,23169.5
g3,23178.0
g3,23182.5
g3,23232.0
g3,23243.0
g3,23339.0
g3,23354.0
g3,23381.5
g3,23408.5
g3,23425.5
g3,23439.5
g3,23458.5
g3,23466.5
g3,23501.0
g3,23507.5
g3,23535.5
g3,23571.0
g3,23576.5
g3,23577.0
g3,23580.5
g3,23597.5
g3,23602.5
g3,23619.0
g3,23630.0
g3,23645.0
g3,23687.5
g3,23701.5
g3,23739.5
g3,23824.0
g3,23829.0
g3,23865.0
g3,23865.0
g3,23865.0
g3,23879.0
g3,23961.0
g3,24001.5
g3,24013.0
g3,24036.0
g3,24064.0
g3,24071.0
g3,24108.5
g3,24134.0
g3,24137.5
g3,24152.0
g3,24190.0
g3,24195.5
g3,24217.0
g3,24301.5
g3,24305.0
g3,24316.0
g3,24322.5
g3,24345.5
g3,24348.0
g3,24413.5
g3,24446.5
g3,24463.0
g3,24483.5
g3,24504.0
