Price,Beds,Baths,Size,Lot
57.6,3,2.0,0.96,1.3
120.0,6,2.0,2.786,0.23
150.0,4,2.0,1.704,0.27
143.0,3,2.0,1.2,0.8
92.5,3,1.0,1.329,0.42
50.0,2,1.0,0.974,0.34
89.0,2,2.0,1.029,0.29
140.0,4,3.0,2.818,0.21
197.5,4,2.5,2.268,1.0
125.1,3,2.0,1.936,0.3
175.0,3,2.0,1.528,1.3
60.0,3,1.0,0.88,1.0
138.5,3,2.0,1.416,0.7
160.0,4,2.0,2.06,0.6
63.5,3,2.0,1.781,0.2
107.0,3,1.0,1.428,2.0
185.0,4,3.5,2.22,0.12
82.7,3,1.0,1.1,2.07
75.0,4,2.0,1.4,0.15
118.0,3,1.0,1.5,0.5
87.5,4,2.0,2.464,0.33
67.5,4,1.0,1.515,0.22
105.0,5,2.0,2.732,0.37
114.0,4,2.0,2.72,2.5
100.5,3,2.0,1.608,0.58
78.0,2,1.0,0.712,1.17
99.0,3,1.0,0.864,1.66
144.0,3,1.5,1.968,0.34
179.0,4,2.0,3.1,0.28
110.0,3,1.5,1.312,0.21
175.0,3,2.0,2.127,1.8
100.0,3,2.0,1.2,3.5
53.0,3,1.0,1.321,0.25
92.0,3,2.0,1.815,0.0
127.0,3,2.0,1.184,0.34
120.5,2,2.0,1.2,2.0
72.0,3,2.0,1.442,0.22
95.0,3,2.0,0.84,1.03
38.5,3,1.0,1.296,1.42
139.0,4,2.0,2.16,0.12
75.0,2,2.0,0.78,0.15
174.0,4,3.0,1.382,0.48
119.0,4,2.0,2.375,0.34
89.0,4,1.0,2.274,1.0
75.1,4,2.0,1.54,0.35
92.5,3,2.0,1.79,0.73
141.0,4,1.0,1.62,0.28
82.0,3,3.0,1.454,2.5
162.0,4,1.5,2.044,0.85
195.0,4,3.0,1.848,1.84
190.0,5,3.5,2.794,0.31
115.0,4,2.0,1.401,1.1
87.0,3,1.5,1.74,0.25
