lfp,k5,k618,age,wc,hc,lwg,inc
true,1,0,32,false,false,1.2101647,10.9100008
true,0,2,30,false,false,0.3285041,19.5
true,1,3,35,false,false,1.5141279,12.039999
true,0,3,34,false,false,0.0921151,6.8000002
true,1,2,31,true,false,1.5242802,20.1000004
true,0,0,54,false,false,1.5564855,9.8590002
true,0,2,37,true,false,2.1202636,9.1520004
true,0,0,54,false,false,2.0596387,10.9000006
true,0,2,48,false,false,0.7543364,17.3050003
true,0,2,39,false,false,1.5448993,12.9250002
true,0,1,33,false,false,1.4019157,24.3000011
true,0,1,42,false,true,1.5242802,19.6999989
true,1,2,30,false,true,0.733969,15.0
true,0,2,43,false,false,0.8183691,14.6000004
true,0,1,43,false,true,1.3028187,24.6310005
true,0,3,35,false,false,0.2980447,17.5310001
true,0,2,43,false,false,1.1676053,14.0999994
true,0,5,39,false,false,1.6438394,15.8389997
true,0,0,45,false,false,0.6931472,14.1000004
true,0,4,35,false,false,2.0219276,10.3000002
true,0,2,42,true,true,1.2542453,22.6549988
true,0,0,30,false,false,1.2729658,8.0899992
true,0,0,48,true,true,1.178655,17.4790001
true,0,0,45,false,true,1.178655,9.5600004
true,1,1,31,false,false,0.7675475,8.2749996
true,0,2,43,true,true,1.3318062,27.3500004
true,0,0,59,false,true,1.3862944,16.0
true,0,3,32,false,true,1.5532677,17.0
true,1,0,31,true,true,1.98182,15.0999994
true,0,0,42,false,false,1.7693523,15.6999998
true,0,0,50,false,false,0.4307832,5.1189995
true,0,0,59,true,true,0.8997613,16.75
true,0,2,36,true,true,1.7666236,13.5999994
true,0,1,51,false,false,1.2729658,17.0999985
true,0,3,45,true,true,1.3367952,16.7339993
true,0,1,42,false,false,0.9016919,14.1970005
true,0,0,46,false,true,0.8651225,10.3199997
true,0,1,46,false,false,1.5118575,11.3840008
true,0,0,51,true,false,1.7260362,14.5939999
true,0,0,30,true,true,2.6831658,17.4999962
true,1,2,30,false,true,0.9852834,15.5100002
true,0,0,57,false,false,1.3659317,22.0
true,1,2,31,true,true,0.9450333,22.5
true,0,2,48,false,false,1.5123762,19.9939995
true,0,3,30,false,false,0.6931472,14.1300001
true,0,2,34,false,false,1.2447947,5.0
true,0,2,48,true,true,0.7011407,21.1549988
true,0,0,45,false,false,1.5198573,7.1419997
true,0,0,51,false,true,0.8209804,16.6500015
true,0,2,30,false,false,0.9698315,6.3519998
true,0,1,46,false,false,0.8284885,27.3139992
true,0,0,58,false,false,0.0943106,14.5
true,0,8,37,false,false,0.1625193,16.2579994
true,0,0,52,false,false,0.4700036,9.5
true,0,0,52,false,false,0.6292341,7.9999995
true,0,0,31,true,true,1.3971641,12.5
