conc,weight
0.0,2.8
0.0,3.0
0.0,2.7
0.0,3.9
0.0,3.1
0.0,1.8
0.0,2.9
0.0,2.5
0.0,2.2
0.0,3.1
1.0,2.7
1.0,3.3
1.0,2.9
1.0,2.2
1.0,2.0
1.0,3.1
1.0,3.2
1.0,2.5
1.0,2.5
1.0,2.6
2.2,2.9
2.2,2.6
2.2,2.7
2.2,3.3
2.2,2.7
2.2,4.0
2.2,3.0
2.2,2.5
2.2,2.2
2.2,
4.6,2.9
4.6,3.0
4.6,3.5
4.6,2.7
4.6,2.3
4.6,2.7
4.6,2.0
4.6,4.0
4.6,2.2
4.6,2.4
10.0,3.4
10.0,2.8
10.0,2.1
10.0,2.3
10.0,3.1
10.0,1.8
10.0,2.4
10.0,3.0
10.0,2.3
10.0,
22.0,2.7
22.0,2.0
22.0,3.5
22.0,1.8
22.0,3.1
22.0,3.2
22.0,2.2
22.0,2.5
22.0,1.8
22.0,
46.0,1.6
46.0,2.8
46.0,1.2
46.0,0.9
46.0,
46.0,
46.0,
46.0,
46.0,
46.0,
