deltaBP,dose,Run,Treatment,Rabbit
0.5,6.25,P1,Placebo,1
4.5,12.5,P1,Placebo,1
10.0,25.0,P1,Placebo,1
26.0,50.0,P1,Placebo,1
37.0,100.0,P1,Placebo,1
32.0,200.0,P1,Placebo,1
1.0,6.25,P2,Placebo,2
1.25,12.5,P2,Placebo,2
4.0,25.0,P2,Placebo,2
12.0,50.0,P2,Placebo,2
27.0,100.0,P2,Placebo,2
29.0,200.0,P2,Placebo,2
0.75,6.25,P3,Placebo,3
3.0,12.5,P3,Placebo,3
3.0,25.0,P3,Placebo,3
14.0,50.0,P3,Placebo,3
22.0,100.0,P3,Placebo,3
24.0,200.0,P3,Placebo,3
1.25,6.25,P4,Placebo,4
1.5,12.5,P4,Placebo,4
6.0,25.0,P4,Placebo,4
19.0,50.0,P4,Placebo,4
33.0,100.0,P4,Placebo,4
33.0,200.0,P4,Placebo,4
1.5,6.25,P5,Placebo,5
1.5,12.5,P5,Placebo,5
5.0,25.0,P5,Placebo,5
16.0,50.0,P5,Placebo,5
20.0,100.0,P5,Placebo,5
18.0,200.0,P5,Placebo,5
1.25,6.25,T1,MDL 72222,1
0.75,12.5,T1,MDL 72222,1
4.0,25.0,T1,MDL 72222,1
9.0,50.0,T1,MDL 72222,1
25.0,100.0,T1,MDL 72222,1
37.0,200.0,T1,MDL 72222,1
1.4,6.25,T2,MDL 72222,2
1.7,12.5,T2,MDL 72222,2
1.0,25.0,T2,MDL 72222,2
2.0,50.0,T2,MDL 72222,2
15.0,100.0,T2,MDL 72222,2
28.0,200.0,T2,MDL 72222,2
0.75,6.25,T3,MDL 72222,3
2.3,12.5,T3,MDL 72222,3
3.0,25.0,T3,MDL 72222,3
5.0,50.0,T3,MDL 72222,3
26.0,100.0,T3,MDL 72222,3
25.0,200.0,T3,MDL 72222,3
2.6,6.25,T4,MDL 72222,4
1.2,12.5,T4,MDL 72222,4
2.0,25.0,T4,MDL 72222,4
3.0,50.0,T4,MDL 72222,4
11.0,100.0,T4,MDL 72222,4
22.0,200.0,T4,MDL 72222,4
2.4,6.25,T5,MDL 72222,5
2.5,12.5,T5,MDL 72222,5
1.5,25.0,T5,MDL 72222,5
2.0,50.0,T5,MDL 72222,5
9.0,100.0,T5,MDL 72222,5
19.0,200.0,T5,MDL 72222,5
