black,white
884.05,1419.78
919.329,1503.55
930.35,1536.62
1102.31,1629.22
1150.81,1737.24
1093.49,1629.22
1117.74,1620.4
1168.45,1671.11
1117.74,1578.51
1084.68,1470.48
1135.38,1470.48
1137.59,1684.33
1135.38,1490.33
1234.59,1536.62
1300.73,1560.87
1283.09,1503.55
1250.02,1477.1
1210.34,1452.85
1135.38,1406.55
1084.68,1402.14
1060.42,1410.96
1102.31,1470.48
1150.81,1503.55
1126.56,1503.55
1225.77,1552.06
1216.95,1560.87
1214.75,1565.28
1250.02,1569.69
1210.34,1552.06
1267.66,1587.33
1402.14,1737.24
1485.92,1794.56
1534.42,1845.27
1567.49,1869.52
1585.12,1869.52
1717.4,2021.64
2001.8,2321.47
2085.57,2455.95
2059.12,2299.42
2149.51,2450.0
2290.6,2550.0
2591.98,2800.0
2575.0,2900.0
2493.43,2790.0
2350.13,2800.0
2275.17,2800.0
2034.87,2775.0
2175.96,2900.0
2290.6,3050.0
2400.84,3175.0
2389.81,3175.0
2425.09,3250.0
2325.88,3175.0
2175.96,3015.0
2120.85,3000.0
1999.59,3025.0
1999.59,3000.0
1849.68,2800.0
1640.24,2650.0
1699.77,2600.0
1924.64,2770.0
1849.68,2815.0
1829.84,2800.0
1849.68,2825.0
1790.15,2770.0
1699.77,2675.0
1699.77,2640.0
1750.47,2640.0
1774.72,2625.0
1924.64,2710.0
1999.59,2825.0
1975.34,2875.0
1940.07,2825.0
1889.36,2760.0
1880.54,2700.0
1999.59,2800.0
2023.84,2775.0
1900.39,2650.0
1750.47,2525.0
1649.06,2435.0
1600.56,2340.0
1624.81,2235.0
1609.38,2180.0
1649.06,2250.0
1640.24,2185.0
1640.24,2175.0
1620.4,2150.0
1589.53,2110.0
1525.6,2040.0
1450.64,2000.0
1424.19,2010.0
1424.19,2135.0
1329.39,2000.0
1199.32,1890.0
1179.47,1875.0
1285.3,1950.0
1349.23,2050.0
1265.45,1960.0
1298.52,1970.0
1373.48,1980.0
1439.62,1980.0
1450.64,1955.0
1375.69,1875.0
1324.98,1800.0
1261.04,1740.0
1199.32,1640.0
1219.16,1670.0
1250.02,1560.0
1274.27,1570.0
1364.66,1620.0
1424.19,1800.0
1419.78,1790.0
1384.5,1780.0
1320.57,1810.0
1234.59,1750.0
1215.0,1732.0
1310.0,1778.0
1319.0,1797.0
1319.0,1780.0
1279.0,1765.0
1481.0,2109.0
1956.0,3053.0
2165.0,3266.0
2125.0,3225.0
2087.0,3365.0
1895.0,3157.0
1840.0,3190.0
1874.0,3247.0
1863.0,3166.0
1836.0,2983.0
1894.0,3188.0
2105.0,3315.0
2159.0,3374.0
2131.0,3252.0
2029.0,3246.0
2270.0,3325.0
2411.0,3386.0
2652.0,3442.0
3294.0,3960.0
3360.0,3910.0
3686.0,4364.0
3593.0,4491.0
3482.0,4096.0
3615.0,4200.0
3963.0,4515.0
4328.0,5170.0
4309.0,5352.0
4336.0,6522.0
4382.0,6550.0
4326.0,6418.0
4009.0,5620.0
4000.0,5256.0
4070.0,5523.0
4200.0,6102.0
4278.0,6019.0
4435.0,6557.0
4772.0,6554.0
4812.0,6508.0
4908.0,6513.0
4857.0,6226.0
4865.0,5871.0
4711.0,5475.0
4640.0,5327.0
4877.0,5705.0
4902.0,5671.0
4884.0,5608.0
4833.0,6459.0
4902.99,6887.0
4962.99,6716.0
4803.99,6538.0
4678.991,6326.0
4809.99,6100.0
4570.991,6050.0
4249.992,5750.0
3849.992,5745.0
3774.992,5800.0
3357.493,5850.0
2945.644,5450.0
2342.045,5269.0
1994.046,4228.563
2420.445,3295.0
2464.281,3924.885
2763.05,4225.0
2992.992,4054.0
3108.073,3900.0
2729.099,3915.0
2524.951,3550.0
2457.49,3242.0
2136.277,3014.285
2271.64,2656.25
2175.0,2702.174
2100.0,2595.0
2068.421,2529.761
1955.0,2416.666
1950.0,2116.25
1969.0,2043.0
2025.0,1964.0
1726.0,1969.0
1579.0,1811.0
1768.0,1794.0
1766.0,1635.0
1621.0,1621.0
1692.0,1869.0
1634.0,1945.0
1750.0,1798.0
1620.0,1582.0
1515.0,1584.0
1508.0,1613.0
1525.0,1553.0
1502.0,1452.0
1374.0,1394.0
1212.0,1325.0
1198.0,1276.0
1107.0,1243.0
1052.0,1241.0
1069.0,1350.0
1050.0,1460.0
1098.0,1560.0
1150.0,1478.0
1126.0,1421.0
1200.0,1353.0
1193.0,1366.0
1058.0,1327.0
1043.0,1280.0
1026.0,1232.0
980.0,1230.0
976.0,1262.0
1000.0,1444.0
1210.0,1558.0
1264.0,1558.0
1150.0,1600.0
1116.667,1775.0
1187.5,1925.0
1100.0,1875.0
1040.0,1862.5
1027.5,1737.5
1112.5,1881.25
1153.571,2084.286
1350.0,2475.0
1721.667,3483.333
1616.25,3475.0
1525.0,3090.0
1403.333,2816.667
1497.0,2995.0
1521.667,2825.0
1550.0,2925.0
1575.0,2800.0
1537.5,2637.5
1650.0,2887.5
1800.0,3100.0
1933.0,3225.0
2219.0,3169.0
2606.0,3263.0
2563.0,3413.0
2433.0,3425.0
2425.0,3633.0
2388.0,3588.0
2375.0,3675.0
2600.0,3708.0
2742.0,4067.0
2625.0,3900.0
2644.0,3925.0
2667.0,4042.0
2542.0,3983.0
2431.0,3825.0
2063.0,3733.0
2136.0,3300.0
2200.0,3560.0
2244.0,3663.0
2294.0,3813.0
2100.0,3640.0
