id,size,status,varieties,bimas,seed,urea,phosphate,pesticide,pseed,purea,pphosph,hiredlabor,famlabor,totlabor,wage,goutput,noutput,price,region
101001,3.0,owner,mixed,mixed,90,900,80,6000,80.0,75.0,75.0,2875,40,2915,68.49,7980,6800,60.0,wargabinangun
101001,2.0,owner,trad,mixed,40,600,0,3000,70.0,75.0,75.0,2110,45,2155,60.09,4083,3500,60.0,wargabinangun
101001,1.0,owner,high,mixed,100,700,150,5000,140.0,70.0,70.0,980,95,1075,51.99,2650,2242,65.0,wargabinangun
101001,2.0,owner,high,mixed,60,600,100,5000,90.0,70.0,70.0,2081,10,2091,56.98,4500,3750,70.0,wargabinangun
101001,3.572,share,high,no,105,400,400,10200,350.0,80.0,80.0,3889,1,3889,152.03,16300,13584,120.0,wargabinangun
101001,3.572,share,high,no,105,400,400,10200,250.0,80.0,80.0,3519,1,3519,154.49,17424,14520,140.0,wargabinangun
101017,1.42,mixed,trad,mixed,50,120,0,0,60.0,75.0,75.0,670,140,810,54.83,3840,3200,60.0,wargabinangun
101017,1.42,mixed,high,mixed,20,100,0,0,50.0,75.0,75.0,805,50,855,45.43,2800,2400,50.0,wargabinangun
101017,0.428,mixed,high,mixed,15,150,50,900,130.0,70.0,70.0,380,80,460,51.97,950,800,62.0,wargabinangun
101017,0.214,owner,mixed,no,7,50,0,0,150.0,70.0,70.0,40,69,109,53.75,240,200,60.0,wargabinangun
101017,0.428,share,high,no,15,100,50,2000,300.0,82.0,82.0,210,20,230,137.62,1500,1250,110.0,wargabinangun
101017,0.428,share,high,no,15,100,50,2000,300.0,85.0,85.0,180,1,180,140.56,2280,2000,130.0,wargabinangun
101026,0.1,owner,high,no,5,20,0,0,50.0,80.0,80.0,10,108,118,56.67,280,240,65.0,wargabinangun
101026,0.286,owner,high,no,10,75,0,0,50.0,70.0,70.0,100,63,163,38.0,940,850,50.0,wargabinangun
101026,0.07,owner,high,no,10,15,0,0,70.0,75.0,75.0,23,57,80,47.83,240,200,60.0,wargabinangun
101026,0.307,share,mixed,no,7,60,10,350,150.0,70.0,70.0,72,206,278,53.47,848,705,60.0,wargabinangun
101026,0.086,owner,high,no,5,50,25,2000,250.0,82.0,84.0,15,61,76,158.0,480,400,120.0,wargabinangun
101026,0.086,owner,high,no,5,40,10,500,350.0,82.0,84.0,15,39,54,121.67,420,350,130.0,wargabinangun
101035,0.286,owner,high,no,10,50,0,0,60.0,75.0,75.0,32,233,265,47.06,1200,1000,60.0,wargabinangun
101035,0.286,owner,mixed,no,10,50,0,0,60.0,60.0,60.0,32,231,263,52.17,960,850,65.0,wargabinangun
101035,0.284,owner,high,no,10,100,0,0,80.0,70.0,70.0,65,65,130,53.15,360,300,60.0,wargabinangun
101035,0.357,owner,high,no,10,100,0,450,150.0,70.0,70.0,1,350,350,52.5,720,600,65.0,wargabinangun
101035,0.357,owner,high,no,10,100,50,1500,150.0,80.0,90.0,1,178,178,147.64,1480,1200,100.0,wargabinangun
101035,0.357,owner,high,no,10,100,90,0,100.0,85.0,85.0,1,92,92,145.45,1880,1600,130.0,wargabinangun
101056,0.286,mixed,high,no,5,25,0,0,60.0,80.0,80.0,73,133,206,49.33,1240,1000,70.0,wargabinangun
101056,0.17,mixed,high,no,5,25,0,0,60.0,70.0,70.0,115,78,193,47.83,780,720,75.0,wargabinangun
101056,0.56,mixed,high,no,25,150,0,0,70.0,75.0,75.0,485,65,550,52.7,1200,1000,60.0,wargabinangun
101056,0.286,owner,mixed,no,5,50,0,0,100.0,80.0,80.0,75,55,130,54.0,750,600,60.0,wargabinangun
101056,0.357,owner,high,no,20,150,100,4800,200.0,80.0,80.0,36,140,176,102.78,3000,2500,110.0,wargabinangun
101056,0.357,owner,high,no,12,150,100,4150,300.0,82.0,84.0,35,85,120,125.71,2400,2000,140.0,wargabinangun
101057,0.18,share,trad,no,5,100,0,0,60.0,75.0,75.0,30,126,156,46.88,887,760,50.0,wargabinangun
101057,0.36,share,high,no,10,75,0,0,50.0,75.0,75.0,50,212,262,56.0,1553,1380,60.0,wargabinangun
101057,0.355,share,high,no,20,40,0,0,80.0,70.0,70.0,148,304,452,51.01,716,596,60.0,wargabinangun
101057,0.14,share,high,no,10,40,0,0,80.0,70.0,70.0,56,110,166,60.71,480,400,60.0,wargabinangun
101057,0.052,share,high,no,4,30,0,1200,350.0,80.0,80.0,4,94,98,158.75,300,300,110.0,wargabinangun
101057,0.052,share,high,no,4,30,0,1200,350.0,100.0,100.0,1,46,46,135.45,200,200,120.0,wargabinangun
101067,0.27,owner,high,no,10,75,25,300,70.0,80.0,80.0,100,284,384,47.06,1080,900,60.0,wargabinangun
101067,0.27,owner,high,no,10,60,10,300,70.0,80.0,80.0,50,204,254,56.0,1260,1180,70.0,wargabinangun
101067,0.28,owner,high,no,20,100,20,650,80.0,74.0,74.0,302,81,383,51.32,1200,1000,65.0,wargabinangun
101067,0.286,owner,high,no,10,60,10,1920,80.0,70.0,70.0,295,85,380,52.37,600,500,60.0,wargabinangun
101067,0.179,owner,high,no,10,125,50,1600,250.0,80.0,80.0,115,177,292,166.96,960,800,100.0,wargabinangun
101067,0.129,owner,high,no,7,100,25,900,250.0,82.0,82.0,90,113,203,147.78,1200,1000,130.0,wargabinangun
101068,0.714,share,trad,no,20,50,0,0,70.0,80.0,80.0,225,182,407,41.41,2100,1800,60.0,wargabinangun
101068,0.714,share,trad,no,30,80,0,0,55.0,75.0,75.0,390,190,580,48.46,1867,1600,55.0,wargabinangun
101068,0.355,share,high,no,15,75,0,0,80.0,60.0,60.0,30,209,239,43.33,1200,1000,60.0,wargabinangun
101068,0.571,mixed,high,no,15,100,0,0,100.0,80.0,80.0,100,116,216,52.5,1200,1000,60.0,wargabinangun
101068,0.086,owner,high,no,7,25,10,0,250.0,80.0,80.0,20,88,108,135.0,480,400,100.0,wargabinangun
101068,0.082,owner,high,no,10,5,1,0,350.0,82.0,85.0,20,56,76,135.45,280,250,120.0,wargabinangun
101069,0.18,owner,high,no,7,40,0,0,60.0,70.0,70.0,101,35,136,44.08,600,500,60.0,wargabinangun
101069,0.888,owner,high,no,35,70,0,0,50.0,75.0,75.0,510,55,565,52.16,3000,2500,60.0,wargabinangun
101069,0.377,owner,high,no,12,150,0,0,70.0,70.0,70.0,160,207,367,58.75,840,710,65.0,wargabinangun
101069,0.371,owner,trad,no,25,100,10,500,100.0,75.0,75.0,110,60,170,61.82,660,550,60.0,wargabinangun
101069,0.681,owner,high,no,10,100,50,2000,150.0,80.0,80.0,110,103,213,131.82,2700,2450,140.0,wargabinangun
101069,0.281,owner,high,no,10,100,50,0,150.0,80.0,80.0,50,98,148,140.0,1925,1650,150.0,wargabinangun
101073,0.071,share,high,no,5,35,0,0,60.0,80.0,80.0,50,60,110,57.69,250,225,60.0,wargabinangun
101073,0.071,share,high,no,5,35,0,0,60.0,80.0,80.0,50,80,130,50.0,220,200,70.0,wargabinangun
101073,0.142,share,high,no,6,65,0,0,70.0,70.0,70.0,144,5,149,50.76,480,400,60.0,wargabinangun
101073,0.143,owner,high,no,10,30,0,0,80.0,70.0,70.0,70,86,156,55.71,360,300,60.0,wargabinangun
101073,0.129,owner,high,no,5,50,25,2325,350.0,85.0,90.0,8,91,99,153.13,600,520,100.0,wargabinangun
101073,0.129,owner,high,no,5,50,25,2325,350.0,85.0,90.0,8,78,86,165.63,600,484,120.0,wargabinangun
101089,0.357,owner,high,no,10,100,50,0,80.0,80.0,80.0,310,89,399,52.88,940,800,60.0,wargabinangun
101089,0.357,owner,high,no,10,100,50,0,100.0,80.0,80.0,230,199,429,52.17,920,840,65.0,wargabinangun
101089,0.355,owner,high,no,10,100,0,0,75.0,60.0,60.0,229,44,273,54.15,550,470,75.0,wargabinangun
101089,0.357,owner,high,no,15,90,0,0,90.0,75.0,75.0,62,58,120,68.39,540,500,60.0,wargabinangun
101089,0.157,owner,high,no,5,50,50,1000,300.0,80.0,80.0,1,135,135,147.64,725,600,120.0,wargabinangun
101089,0.157,owner,high,no,5,50,25,0,300.0,85.0,85.0,1,109,109,125.45,800,720,130.0,wargabinangun
101094,0.714,share,high,no,30,150,50,0,70.0,75.0,75.0,510,20,530,42.19,1600,1400,60.0,wargabinangun
101094,0.714,share,high,no,30,150,50,0,70.0,80.0,80.0,610,40,650,44.59,1800,1600,60.0,wargabinangun
101094,0.286,share,high,no,15,100,20,0,70.0,70.0,70.0,260,10,270,52.69,840,700,60.0,wargabinangun
101094,0.357,owner,high,no,15,75,25,650,90.0,70.0,70.0,208,20,228,59.66,600,500,60.0,wargabinangun
101094,0.357,owner,high,no,10,150,50,4000,250.0,82.0,82.0,235,30,265,149.68,1800,1500,120.0,wargabinangun
101094,0.357,owner,high,no,10,150,50,5000,250.0,84.0,84.0,200,15,215,152.75,1600,1400,140.0,wargabinangun
102111,0.714,owner,high,no,20,100,0,0,70.0,80.0,80.0,425,58,483,46.3,1500,1300,60.0,wargabinangun
102111,0.714,owner,high,no,20,100,0,0,70.0,80.0,80.0,385,53,438,37.66,1600,1400,60.0,wargabinangun
102111,0.355,owner,high,no,25,25,5,0,80.0,80.0,80.0,430,20,450,50.7,840,700,60.0,wargabinangun
102111,0.536,owner,high,no,20,200,0,0,150.0,70.0,70.0,380,91,471,54.21,800,750,60.0,wargabinangun
102111,0.643,owner,high,no,16,150,50,0,268.75,80.0,80.0,300,180,480,153.5,3000,2500,120.0,wargabinangun
102111,0.643,owner,high,no,16,150,50,0,225.0,82.0,85.0,331,44,375,156.59,2800,2400,110.0,wargabinangun
102113,0.357,share,trad,no,20,50,10,0,60.0,78.0,78.0,305,75,380,53.42,960,800,60.0,wargabinangun
102113,0.357,share,high,no,20,100,50,0,60.0,80.0,80.0,280,65,345,43.57,1800,1500,60.0,wargabinangun
102113,0.357,share,high,no,15,100,50,1200,150.0,75.0,75.0,305,35,340,51.31,960,800,60.0,wargabinangun
102113,0.5,share,high,mixed,13,100,50,2000,60.0,70.0,70.0,270,43,313,53.89,1400,1120,60.0,wargabinangun
102113,1.428,owner,high,no,60,350,150,12600,150.0,80.0,80.0,1054,131,1185,148.1,5800,4850,120.0,wargabinangun
