wages,education,age,sex,language
10.56,15.0,40,Male,English
11.0,13.2,19,Male,English
,16.0,49,Male,Other
17.76,14.0,46,Male,Other
,8.0,71,Male,English
14.0,16.0,50,Female,English
,12.0,70,Female,English
,14.5,42,Female,English
8.2,15.0,31,Male,English
,10.0,56,Female,English
,12.5,71,Female,English
16.97,13.5,30,Female,English
,2.0,56,Male,English
6.7,12.0,61,Female,English
,12.0,25,Female,English
,11.0,36,Female,French
,11.0,54,Female,English
,10.0,62,Female,English
,10.5,70,Female,English
14.0,14.0,46,Female,Other
,8.0,49,Female,English
,8.0,34,Male,Other
,11.0,17,Male,English
,17.0,85,Female,English
19.2,18.0,43,Male,English
7.25,11.0,17,Male,English
,11.0,77,Female,English
,13.0,70,Male,English
16.0,7.0,46,Male,Other
23.0,14.0,32,Male,English
36.11,17.0,35,Male,English
,13.0,89,Male,Other
,8.0,68,Male,English
,10.0,72,Male,English
,11.0,16,Female,English
,6.0,58,Female,Other
20.16,20.0,39,Male,English
12.61,13.0,32,Male,English
,11.0,64,Female,English
,10.0,53,Female,English
,8.0,72,Male,English
,19.0,38,Female,English
13.65,19.0,30,Female,English
9.0,13.8,20,Female,English
,11.0,19,Female,English
,11.0,18,Female,English
18.07,13.6,48,Male,Other
,10.0,66,Female,English
,12.0,52,Female,English
,13.0,39,Female,English
,,24,Female,
6.35,,16,Male,English
,20.0,67,Male,English
16.01,19.0,39,Female,English
26.4,12.7,38,Male,English
,14.0,63,Female,English
20.65,19.0,37,Male,English
,9.0,32,Male,English
,18.8,59,Female,English
,13.0,70,Male,English
23.04,19.0,37,Female,English
24.03,18.3,31,Male,English
12.0,14.0,46,Female,English
25.6,13.0,41,Male,English
,14.0,28,Female,Other
6.85,15.6,31,Female,English
,16.0,52,Female,English
15.0,12.0,40,Male,English
,14.0,32,Female,Other
,7.0,77,Male,English
9.75,8.0,60,Male,English
,8.0,53,Female,English
6.7,11.0,17,Female,English
,18.0,57,Male,English
15.0,17.0,39,Male,English
,1.0,49,Female,English
,12.0,49,Female,English
