educ,age,cigpric,income,restaurn,smoker,cigs_intervals,cigs
16.0,46,60.5060005187988,20000,0,0,,0
16.0,40,57.882999420166,30000,0,0,,0
12.0,58,57.6640014648438,30000,0,1,1,3
13.5,30,57.882999420166,20000,0,0,,0
10.0,17,58.3199996948242,20000,0,0,,0
6.0,86,59.3400001525879,6500,0,0,,0
12.0,35,57.882999420166,20000,0,0,,0
15.0,48,57.882999420166,30000,0,0,,0
12.0,48,59.1949996948242,20000,0,0,,0
12.0,31,58.0279998779297,20000,0,0,,0
13.5,27,57.882999420166,30000,0,1,2,10
12.0,24,60.2879981994629,20000,0,1,3,20
10.0,71,57.882999420166,8500,0,1,4,30
6.0,44,58.0279998779297,30000,0,0,,0
16.0,22,60.7459983825684,30000,0,0,,0
12.0,29,60.0709991455078,20000,0,1,3,20
12.0,33,60.2820014953613,20000,0,0,,0
12.0,34,60.7039985656738,20000,0,1,4,30
13.5,30,59.8600006103516,8500,0,0,,0
10.0,48,60.3240013122559,30000,0,1,3,20
6.0,61,59.0449981689453,5500,0,0,,0
18.0,49,60.2939987182617,30000,0,0,,0
12.0,33,59.0449981689453,20000,0,0,,0
16.0,24,60.6319999694824,30000,1,0,,0
16.0,36,61.7439994812012,30000,1,0,,0
15.0,39,60.8619995117188,20000,1,1,3,12
18.0,38,61.398998260498,30000,1,0,,0
12.0,29,60.8230018615723,30000,1,1,4,30
18.0,23,62.0120010375977,12500,1,0,,0
16.0,51,61.3219985961914,20000,1,0,,0
13.5,28,62.0890007019043,20000,1,0,,0
10.0,47,61.0149993896484,12500,1,1,4,30
10.0,80,62.4889984130859,12500,1,0,,0
10.0,62,61.6669998168945,30000,1,1,1,2
10.0,51,62.0120010375977,12500,1,0,,0
10.0,51,61.6669998168945,20000,1,1,4,35
12.0,69,61.0530014038086,12500,1,0,,0
12.0,28,61.0919990539551,8500,1,0,,0
18.0,38,61.9739990234375,20000,1,0,,0
15.0,30,61.1679992675781,30000,1,0,,0
18.0,32,60.8619995117188,30000,1,1,4,25
8.0,71,61.6290016174316,12500,1,0,,0
10.0,18,62.4889984130859,20000,1,0,,0
13.5,26,62.0890007019043,8500,1,1,3,15
10.0,30,61.7439994812012,20000,1,1,3,20
12.0,19,60.6699981689453,3500,1,0,,0
12.0,19,61.1679992675781,6500,1,1,3,20
13.5,21,61.2449989318848,1500,1,0,,0
16.0,44,62.0890007019043,20000,1,0,,0
10.0,69,60.5550003051758,30000,1,1,4,30
16.0,53,60.5550003051758,20000,1,0,,0
8.0,53,62.2410011291504,12500,1,1,3,20
6.0,38,61.7050018310547,6500,1,1,2,10
10.0,49,60.5550003051758,30000,1,1,3,20
18.0,24,61.4370002746582,20000,1,0,,0
16.0,57,61.3219985961914,8500,1,0,,0
15.0,28,61.1679992675781,20000,1,0,,0
12.0,32,61.2070007324219,20000,1,1,3,20
13.5,55,60.8230018615723,20000,1,0,,0
13.5,47,60.6319999694824,30000,1,0,,0
13.5,26,60.7849998474121,20000,1,0,,0
10.0,26,60.5550003051758,6500,1,1,3,20
16.0,61,60.7080001831055,30000,1,0,,0
10.0,48,60.6699981689453,20000,1,0,,0
18.0,32,62.7360000610352,30000,1,0,,0
16.0,29,62.0890007019043,12500,1,0,,0
18.0,47,62.5709991455078,30000,1,0,,0
10.0,62,60.7080001831055,20000,1,0,,0
16.0,30,62.1590003967285,8500,1,0,,0
13.5,21,61.6669998168945,20000,1,0,,0
12.0,28,61.2070007324219,2500,1,0,,0
12.0,50,61.0530014038086,30000,1,1,3,20
12.0,69,61.4749984741211,6500,1,0,,0
13.5,37,61.6290016174316,20000,1,1,5,60
12.0,40,61.7439994812012,30000,1,1,3,20
6.0,47,61.4370002746582,20000,1,1,1,3
10.0,78,61.9360008239746,2500,1,0,,0
18.0,38,61.7439994812012,30000,1,0,,0
13.5,25,62.4889984130859,30000,1,0,,0
12.0,67,61.3219985961914,8500,1,0,,0
13.5,50,60.9000015258789,30000,1,1,3,12
13.5,47,61.5519981384277,30000,1,0,,0
8.0,76,62.4889984130859,6500,1,0,,0
8.0,28,60.7849998474121,30000,1,0,,0
12.0,32,61.5139999389648,20000,1,0,,0
