Treatment,Weight,WingLength
control,14.9,29.0
control,15.0,31.0
control,14.3,25.0
control,17.0,29.0
control,16.0,30.0
control,16.2,31.5
control,12.4,23.5
control,14.6,26.0
control,12.2,25.5
control,13.0,27.0
control,12.9,29.5
control,13.2,27.5
control,13.6,29.5
control,16.2,31.0
control,15.0,29.5
control,17.5,30.5
control,14.8,26.5
control,15.7,28.0
control,15.5,29.0
control,14.4,23.0
control,16.0,24.0
control,13.5,23.0
control,13.2,24.5
control,15.6,31.0
control,15.1,31.0
control,16.6,30.0
control,10.1,23.0
control,13.1,25.5
control,15.1,29.0
control,14.2,29.5
control,13.3,28.5
control,12.2,26.0
control,13.4,29.5
control,12.4,26.0
control,14.3,28.0
control,15.9,32.5
control,12.8,26.5
control,11.9,24.0
control,12.2,18.0
control,14.8,27.0
control,14.9,26.5
control,10.2,23.0
control,18.5,32.0
control,7.6,15.0
control,5.3,16.0
enlarged,14.2,28.5
enlarged,14.4,29.0
enlarged,13.4,32.5
enlarged,11.3,26.0
enlarged,13.2,29.5
enlarged,12.2,26.0
enlarged,14.4,30.5
enlarged,13.4,27.5
enlarged,13.1,30.5
enlarged,13.9,28.5
enlarged,13.5,29.5
enlarged,15.0,30.0
enlarged,11.8,26.0
enlarged,12.0,24.0
enlarged,9.5,24.0
enlarged,14.0,25.5
enlarged,10.0,24.0
enlarged,13.7,27.5
enlarged,15.3,30.0
enlarged,17.3,32.0
enlarged,14.4,31.5
enlarged,15.8,30.5
enlarged,17.1,32.0
enlarged,10.7,19.5
enlarged,12.1,19.5
enlarged,12.7,20.0
enlarged,13.2,20.0
enlarged,13.6,19.5
enlarged,9.4,20.0
enlarged,15.9,29.5
enlarged,12.7,26.5
enlarged,13.6,26.5
enlarged,15.1,28.5
enlarged,15.3,30.5
enlarged,14.2,30.0
enlarged,8.3,18.5
enlarged,15.5,31.0
enlarged,15.6,30.0
enlarged,15.4,29.0
enlarged,14.9,28.5
enlarged,13.5,26.0
enlarged,15.8,28.0
enlarged,13.7,29.0
enlarged,15.4,29.5
enlarged,8.7,21.0
reduced,16.0,30.0
reduced,15.8,31.0
reduced,16.6,31.0
reduced,17.2,32.5
reduced,16.8,29.5
reduced,16.7,30.5
reduced,16.2,28.5
reduced,17.1,29.0
reduced,13.0,24.0
reduced,13.4,24.5
reduced,13.3,22.5
reduced,15.5,27.5
reduced,16.4,27.5
reduced,15.4,29.5
reduced,16.1,29.0
reduced,16.8,30.5
reduced,15.7,29.0
reduced,15.8,27.5
reduced,17.0,32.0
reduced,16.8,34.0
reduced,15.5,29.5
reduced,12.6,25.0
reduced,14.3,26.0
reduced,12.5,26.0
reduced,16.7,29.0
reduced,15.6,28.0
