cond,pmi,import,reaction,gender,age
1,7.0,6,5.25,1,51.0
0,6.0,1,1.25,1,40.0
1,5.5,6,5.0,1,26.0
0,6.5,6,2.75,2,21.0
0,6.0,5,2.5,1,27.0
0,5.5,1,1.25,1,25.0
0,3.5,1,1.5,2,23.0
1,6.0,6,4.75,1,25.0
0,4.5,6,4.25,1,22.0
0,7.0,6,6.25,1,24.0
1,1.0,3,1.25,2,22.0
0,6.0,3,2.75,2,21.0
1,5.0,4,3.75,2,23.0
0,7.0,7,5.0,2,21.0
1,7.0,1,4.0,2,22.0
1,7.0,6,5.0,2,23.0
0,4.5,3,3.5,2,23.0
0,3.5,3,2.25,2,23.0
1,7.0,2,4.5,2,22.0
0,7.0,4,5.75,1,23.0
1,4.5,4,2.75,2,22.0
1,6.0,6,3.75,2,19.5
1,6.0,7,2.75,1,61.0
1,4.0,4,4.0,1,25.0
1,7.0,5,5.0,2,23.0
0,4.0,4,2.0,1,60.0
1,6.5,6,4.0,2,22.0
0,6.0,5,1.75,2,23.0
1,6.5,5,3.5,2,22.0
0,6.0,7,4.75,1,23.0
0,4.0,4,4.0,2,25.0
1,7.0,1,3.0,2,22.0
0,6.0,4,5.75,2,23.0
0,7.0,5,2.75,2,22.0
1,6.5,5,3.25,1,25.0
0,5.5,4,5.5,2,24.0
1,6.0,4,3.25,1,24.0
0,2.0,2,1.25,1,29.0
1,4.5,2,2.0,1,24.0
0,4.0,3,2.5,1,18.0
0,7.0,3,3.0,1,23.0
0,6.0,4,5.75,2,21.0
1,7.0,2,1.5,1,24.0
0,5.0,5,4.0,2,26.0
1,7.0,3,1.25,1,24.0
1,7.0,7,3.25,1,22.0
0,5.0,4,3.75,2,21.0
0,6.0,4,2.75,1,26.0
0,5.5,4,3.0,1,24.0
1,7.0,4,6.0,1,27.0
0,3.5,6,3.25,1,26.0
1,7.0,2,2.75,1,24.0
0,6.0,5,5.0,1,24.0
0,3.5,4,1.5,2,26.0
1,7.0,7,7.0,1,24.0
1,5.0,1,5.0,1,22.0
1,1.5,2,1.75,1,23.0
0,6.5,2,2.25,2,24.0
1,6.0,5,3.5,2,24.0
0,7.0,1,3.5,1,25.0
0,7.0,5,6.75,2,23.0
1,6.0,5,4.25,2,23.0
1,6.0,5,4.0,2,23.0
0,4.0,3,2.25,2,24.0
0,3.5,2,3.0,2,18.0
0,6.0,4,5.5,2,23.0
1,6.0,5,1.75,1,25.0
1,6.0,3,4.5,2,24.0
0,5.0,6,4.25,2,23.0
0,3.0,4,1.5,2,23.0
1,7.0,4,2.0,2,24.0
0,6.0,2,1.5,2,22.0
1,5.0,4,3.25,1,24.0
0,5.0,5,1.0,2,25.0
1,5.5,2,1.5,2,22.0
0,5.5,5,1.0,2,22.0
0,6.0,6,2.5,2,23.0
0,2.5,2,1.0,1,25.0
1,4.5,4,3.0,2,23.0
0,5.0,4,2.5,2,23.0
0,6.0,2,1.0,1,24.0
1,5.0,5,3.75,1,21.0
1,7.0,7,1.75,2,23.0
1,5.0,3,2.75,2,21.0
1,4.5,5,5.25,1,23.0
1,6.5,6,5.25,2,19.0
1,7.0,6,5.0,1,25.0
0,6.0,5,5.0,2,23.0
1,5.0,7,5.0,2,22.0
1,7.0,6,6.5,2,19.0
0,5.5,5,3.0,2,23.0
1,6.0,4,2.75,2,24.0
1,6.0,5,4.25,1,32.0
1,7.0,6,7.0,2,27.0
1,4.0,7,5.75,2,25.0
1,6.5,5,3.0,2,24.0
1,5.0,4,4.5,2,23.0
0,7.0,3,4.25,2,28.0
0,7.0,4,4.5,2,24.0
0,5.0,3,3.75,2,24.0
0,7.0,1,4.75,2,24.0
0,7.0,4,2.5,2,25.0
0,5.0,3,1.0,2,24.0
0,6.0,5,6.0,2,25.0
0,5.0,6,2.0,2,24.0
0,6.5,6,5.0,2,24.0
1,7.0,7,5.0,2,24.0
1,6.5,7,4.25,2,25.0
1,6.0,3,2.0,1,28.0
1,5.0,6,3.5,2,24.0
1,5.5,1,1.75,2,26.0
1,5.5,6,3.5,2,27.0
1,5.0,4,2.25,2,25.0
1,7.0,5,5.5,1,25.0
0,1.5,1,1.0,2,26.0
0,6.0,3,3.0,2,25.0
0,5.5,5,2.25,2,25.0
0,6.5,6,4.75,1,25.0
0,4.5,3,2.25,2,26.0
0,3.5,1,1.5,2,22.0
0,6.0,6,5.75,2,24.0
0,6.5,2,5.25,2,23.0
0,5.5,6,3.0,2,24.0
