survived,sex,age,passengerClass
yes,female,29.0,1st
yes,male,0.916700006,1st
no,female,2.0,1st
no,male,30.0,1st
no,female,25.0,1st
yes,male,48.0,1st
yes,female,63.0,1st
no,male,39.0,1st
yes,female,53.0,1st
no,male,71.0,1st
no,male,47.0,1st
yes,female,18.0,1st
yes,female,24.0,1st
yes,female,26.0,1st
yes,male,80.0,1st
no,male,,1st
no,male,24.0,1st
yes,female,50.0,1st
yes,female,32.0,1st
no,male,36.0,1st
yes,male,37.0,1st
yes,female,47.0,1st
yes,male,26.0,1st
yes,female,42.0,1st
yes,female,29.0,1st
no,male,25.0,1st
yes,male,25.0,1st
yes,female,19.0,1st
yes,female,35.0,1st
yes,male,28.0,1st
no,male,45.0,1st
yes,male,40.0,1st
yes,female,30.0,1st
yes,female,58.0,1st
no,male,42.0,1st
yes,female,45.0,1st
yes,female,22.0,1st
yes,male,,1st
no,male,41.0,1st
no,male,48.0,1st
no,male,,1st
yes,female,44.0,1st
yes,female,59.0,1st
yes,female,60.0,1st
yes,female,41.0,1st
no,male,45.0,1st
no,male,,1st
yes,male,42.0,1st
yes,female,53.0,1st
yes,male,36.0,1st
yes,female,58.0,1st
no,male,33.0,1st
no,male,28.0,1st
no,male,17.0,1st
yes,male,11.0,1st
yes,female,14.0,1st
yes,male,36.0,1st
yes,female,36.0,1st
no,male,49.0,1st
yes,female,,1st
no,male,36.0,1st
yes,female,76.0,1st
no,male,46.0,1st
yes,female,47.0,1st
yes,male,27.0,1st
yes,female,33.0,1st
yes,female,36.0,1st
yes,female,30.0,1st
yes,male,45.0,1st
yes,female,,1st
no,male,,1st
no,male,27.0,1st
yes,female,26.0,1st
yes,female,22.0,1st
no,male,,1st
no,male,47.0,1st
yes,female,39.0,1st
no,male,37.0,1st
yes,female,64.0,1st
yes,female,55.0,1st
no,male,,1st
no,male,70.0,1st
yes,female,36.0,1st
yes,female,64.0,1st
no,male,39.0,1st
yes,female,38.0,1st
yes,male,51.0,1st
yes,male,27.0,1st
yes,female,33.0,1st
no,male,31.0,1st
yes,female,27.0,1st
yes,male,31.0,1st
yes,female,17.0,1st
yes,male,53.0,1st
yes,male,4.0,1st
yes,female,54.0,1st
no,male,50.0,1st
yes,female,27.0,1st
yes,female,48.0,1st
yes,female,48.0,1st
yes,male,49.0,1st
no,male,39.0,1st
yes,female,23.0,1st
yes,female,38.0,1st
yes,female,54.0,1st
no,female,36.0,1st
no,male,,1st
yes,female,,1st
yes,female,,1st
yes,male,36.0,1st
no,male,30.0,1st
yes,female,24.0,1st
yes,female,28.0,1st
yes,female,23.0,1st
no,male,19.0,1st
no,male,64.0,1st
yes,female,60.0,1st
yes,female,30.0,1st
no,male,,1st
yes,male,50.0,1st
yes,male,43.0,1st
yes,female,,1st
yes,female,22.0,1st
yes,male,60.0,1st
yes,female,48.0,1st
no,male,,1st
no,male,37.0,1st
yes,female,35.0,1st
no,male,47.0,1st
yes,female,35.0,1st
yes,female,22.0,1st
yes,female,45.0,1st
no,male,24.0,1st
yes,male,49.0,1st
yes,female,,1st
no,male,71.0,1st
yes,male,53.0,1st
yes,female,19.0,1st
no,male,38.0,1st
yes,female,58.0,1st
yes,male,23.0,1st
yes,female,45.0,1st
no,male,46.0,1st
yes,male,25.0,1st
yes,female,25.0,1st
yes,male,48.0,1st
yes,female,49.0,1st
no,male,,1st
no,male,45.0,1st
yes,female,35.0,1st
no,male,40.0,1st
yes,male,27.0,1st
yes,male,,1st
yes,female,24.0,1st
no,male,55.0,1st
yes,female,52.0,1st
no,male,42.0,1st
no,male,,1st
no,male,55.0,1st
yes,female,16.0,1st
yes,female,44.0,1st
yes,female,51.0,1st
no,male,42.0,1st
yes,female,35.0,1st
yes,male,35.0,1st
yes,male,38.0,1st
no,male,,1st
yes,female,35.0,1st
yes,female,38.0,1st
no,female,50.0,1st
yes,male,49.0,1st
no,male,46.0,1st
no,male,50.0,1st
no,male,32.5,1st
no,male,58.0,1st
no,male,41.0,1st
yes,female,,1st
yes,male,42.0,1st
yes,female,45.0,1st
no,male,,1st
yes,female,39.0,1st
yes,female,49.0,1st
yes,female,30.0,1st
yes,male,35.0,1st
no,male,,1st
no,male,42.0,1st
yes,female,55.0,1st
yes,female,16.0,1st
yes,female,51.0,1st
no,male,29.0,1st
yes,female,21.0,1st
no,male,30.0,1st
yes,female,58.0,1st
yes,female,15.0,1st
no,male,30.0,1st
yes,female,16.0,1st
yes,male,,1st
no,male,19.0,1st
yes,female,18.0,1st
yes,female,24.0,1st
no,male,46.0,1st
no,male,54.0,1st
yes,male,36.0,1st
no,male,28.0,1st
yes,female,,1st
no,male,65.0,1st
no,male,44.0,1st
yes,female,33.0,1st
yes,female,37.0,1st
yes,male,30.0,1st
no,male,55.0,1st
no,male,47.0,1st
no,male,37.0,1st
yes,female,31.0,1st
yes,female,23.0,1st
no,male,58.0,1st
yes,female,19.0,1st
no,male,64.0,1st
yes,female,39.0,1st
yes,male,,1st
yes,female,22.0,1st
no,male,65.0,1st
no,male,28.5,1st
no,male,,1st
no,male,45.5,1st
no,male,23.0,1st
no,male,29.0,1st
yes,female,22.0,1st
no,male,18.0,1st
yes,female,17.0,1st
yes,female,30.0,1st
yes,male,52.0,1st
no,male,47.0,1st
yes,female,56.0,1st
no,male,38.0,1st
yes,male,,1st
no,male,22.0,1st
no,male,,1st
yes,female,43.0,1st
no,male,31.0,1st
yes,male,45.0,1st
no,male,,1st
yes,female,33.0,1st
no,male,46.0,1st
no,male,36.0,1st
yes,female,33.0,1st
no,male,55.0,1st
yes,female,54.0,1st
no,male,33.0,1st
yes,male,13.0,1st
yes,female,18.0,1st
yes,female,21.0,1st
no,male,61.0,1st
yes,female,48.0,1st
yes,male,,1st
yes,female,24.0,1st
yes,male,,1st
yes,female,35.0,1st
yes,female,30.0,1st
yes,male,34.0,1st
yes,female,40.0,1st
yes,male,35.0,1st
no,male,50.0,1st
yes,female,39.0,1st
yes,male,56.0,1st
yes,male,28.0,1st
no,male,56.0,1st
no,male,56.0,1st
no,male,24.0,1st
no,male,,1st
yes,female,18.0,1st
yes,male,24.0,1st
yes,female,23.0,1st
yes,male,6.0,1st
yes,male,45.0,1st
yes,female,40.0,1st
no,male,57.0,1st
yes,female,,1st
yes,male,32.0,1st
no,male,62.0,1st
yes,male,54.0,1st
yes,female,43.0,1st
yes,female,52.0,1st
no,male,,1st
yes,female,62.0,1st
no,male,67.0,1st
no,female,63.0,1st
no,male,61.0,1st
yes,female,48.0,1st
yes,female,18.0,1st
no,male,52.0,1st
yes,female,39.0,1st
yes,male,48.0,1st
yes,female,,1st
no,male,49.0,1st
yes,male,17.0,1st
yes,female,39.0,1st
yes,female,,1st
yes,male,31.0,1st
no,male,40.0,1st
no,male,61.0,1st
no,male,47.0,1st
yes,female,35.0,1st
no,male,64.0,1st
yes,female,60.0,1st
no,male,60.0,1st
no,male,54.0,1st
no,male,21.0,1st
yes,female,55.0,1st
yes,female,31.0,1st
no,male,57.0,1st
yes,female,45.0,1st
no,male,50.0,1st
no,male,27.0,1st
yes,female,50.0,1st
yes,female,21.0,1st
no,male,51.0,1st
yes,male,21.0,1st
no,male,,1st
yes,female,31.0,1st
yes,male,,1st
no,male,62.0,1st
yes,female,36.0,1st
no,male,30.0,2nd
yes,female,28.0,2nd
no,male,30.0,2nd
no,male,18.0,2nd
no,male,25.0,2nd
no,male,34.0,2nd
yes,female,36.0,2nd
no,male,57.0,2nd
no,male,18.0,2nd
no,male,23.0,2nd
yes,female,36.0,2nd
no,male,28.0,2nd
no,male,51.0,2nd
yes,male,32.0,2nd
yes,female,19.0,2nd
no,male,28.0,2nd
yes,male,1.0,2nd
yes,female,4.0,2nd
yes,female,12.0,2nd
yes,female,36.0,2nd
yes,male,34.0,2nd
yes,female,19.0,2nd
no,male,23.0,2nd
no,male,26.0,2nd
no,male,42.0,2nd
no,male,27.0,2nd
yes,female,24.0,2nd
yes,female,15.0,2nd
no,male,60.0,2nd
yes,female,40.0,2nd
yes,female,20.0,2nd
no,male,25.0,2nd
yes,female,36.0,2nd
no,male,25.0,2nd
no,male,42.0,2nd
yes,female,42.0,2nd
yes,male,0.833299994,2nd
yes,male,26.0,2nd
yes,female,22.0,2nd
yes,female,35.0,2nd
no,male,,2nd
no,male,19.0,2nd
no,female,44.0,2nd
no,male,54.0,2nd
no,male,52.0,2nd
no,male,37.0,2nd
no,female,29.0,2nd
yes,female,25.0,2nd
yes,female,45.0,2nd
no,male,29.0,2nd
yes,female,28.0,2nd
no,male,29.0,2nd
no,male,28.0,2nd
yes,male,24.0,2nd
yes,female,8.0,2nd
no,male,31.0,2nd
yes,female,31.0,2nd
yes,female,22.0,2nd
no,female,30.0,2nd
no,female,,2nd
no,male,21.0,2nd
no,male,,2nd
yes,male,8.0,2nd
no,male,18.0,2nd
yes,female,48.0,2nd
yes,female,28.0,2nd
no,male,32.0,2nd
no,male,17.0,2nd
no,male,29.0,2nd
yes,female,24.0,2nd
no,male,25.0,2nd
no,male,18.0,2nd
yes,female,18.0,2nd
yes,female,34.0,2nd
no,male,54.0,2nd
yes,male,8.0,2nd
no,male,42.0,2nd
yes,female,34.0,2nd
yes,female,27.0,2nd
yes,female,30.0,2nd
no,male,23.0,2nd
no,male,21.0,2nd
no,male,18.0,2nd
no,male,40.0,2nd
yes,female,29.0,2nd
no,male,18.0,2nd
no,male,36.0,2nd
no,male,,2nd
no,female,38.0,2nd
no,male,35.0,2nd
no,male,38.0,2nd
no,male,34.0,2nd
yes,female,34.0,2nd
no,male,16.0,2nd
no,male,26.0,2nd
no,male,47.0,2nd
no,male,21.0,2nd
no,male,21.0,2nd
no,male,24.0,2nd
no,male,24.0,2nd
no,male,34.0,2nd
no,male,30.0,2nd
no,male,52.0,2nd
no,male,30.0,2nd
yes,male,0.666700006,2nd
yes,female,24.0,2nd
no,male,44.0,2nd
yes,female,6.0,2nd
no,male,28.0,2nd
yes,male,62.0,2nd
no,male,30.0,2nd
yes,female,7.0,2nd
no,male,43.0,2nd
yes,female,45.0,2nd
yes,female,24.0,2nd
yes,female,24.0,2nd
no,male,49.0,2nd
yes,female,48.0,2nd
yes,female,55.0,2nd
no,male,24.0,2nd
no,male,32.0,2nd
no,male,21.0,2nd
no,female,18.0,2nd
yes,female,20.0,2nd
no,male,23.0,2nd
no,male,36.0,2nd
yes,female,54.0,2nd
no,male,50.0,2nd
no,male,44.0,2nd
yes,female,29.0,2nd
no,male,21.0,2nd
yes,male,42.0,2nd
no,male,63.0,2nd
no,female,60.0,2nd
no,male,33.0,2nd
yes,female,17.0,2nd
no,male,42.0,2nd
yes,female,24.0,2nd
no,male,47.0,2nd
no,male,24.0,2nd
no,male,22.0,2nd
no,male,32.0,2nd
yes,female,23.0,2nd
no,male,34.0,2nd
yes,female,24.0,2nd
no,female,22.0,2nd
yes,female,,2nd
no,male,35.0,2nd
yes,female,45.0,2nd
no,male,57.0,2nd
no,male,,2nd
no,male,31.0,2nd
no,female,26.0,2nd
no,male,30.0,2nd
no,male,,2nd
yes,female,1.0,2nd
yes,female,3.0,2nd
no,male,25.0,2nd
yes,female,22.0,2nd
yes,female,17.0,2nd
yes,female,,2nd
yes,female,34.0,2nd
no,male,36.0,2nd
no,male,24.0,2nd
no,male,61.0,2nd
no,male,50.0,2nd
yes,female,42.0,2nd
no,female,57.0,2nd
no,male,,2nd
yes,male,1.0,2nd
no,male,31.0,2nd
yes,female,24.0,2nd
no,male,,2nd
no,male,30.0,2nd
no,male,40.0,2nd
no,male,32.0,2nd
no,male,30.0,2nd
no,male,46.0,2nd
yes,female,13.0,2nd
yes,female,41.0,2nd
yes,male,19.0,2nd
no,male,39.0,2nd
no,male,48.0,2nd
no,male,70.0,2nd
no,male,27.0,2nd
no,male,54.0,2nd
no,male,39.0,2nd
no,male,16.0,2nd
no,male,62.0,2nd
no,male,32.5,2nd
yes,female,14.0,2nd
yes,male,2.0,2nd
yes,male,3.0,2nd
no,male,36.5,2nd
no,male,26.0,2nd
no,male,19.0,2nd
no,male,28.0,2nd
yes,male,20.0,2nd
yes,female,29.0,2nd
no,male,39.0,2nd
yes,male,22.0,2nd
yes,male,,2nd
no,male,23.0,2nd
yes,male,29.0,2nd
no,male,28.0,2nd
no,male,,2nd
yes,female,50.0,2nd
no,male,19.0,2nd
no,male,,2nd
no,male,41.0,2nd
yes,female,21.0,2nd
yes,female,19.0,2nd
no,male,43.0,2nd
yes,female,32.0,2nd
no,male,34.0,2nd
yes,male,30.0,2nd
no,male,27.0,2nd
yes,female,2.0,2nd
yes,female,8.0,2nd
yes,female,33.0,2nd
no,male,36.0,2nd
no,male,34.0,2nd
yes,female,30.0,2nd
yes,female,28.0,2nd
no,male,23.0,2nd
yes,male,0.833299994,2nd
yes,male,3.0,2nd
yes,female,24.0,2nd
yes,female,50.0,2nd
no,male,19.0,2nd
yes,female,21.0,2nd
no,male,26.0,2nd
no,male,25.0,2nd
no,male,27.0,2nd
yes,female,25.0,2nd
yes,female,18.0,2nd
yes,female,20.0,2nd
yes,female,30.0,2nd
no,male,59.0,2nd
yes,female,30.0,2nd
no,male,35.0,2nd
yes,female,40.0,2nd
no,male,25.0,2nd
no,male,41.0,2nd
no,male,25.0,2nd
no,male,18.5,2nd
no,male,14.0,2nd
yes,female,50.0,2nd
no,male,23.0,2nd
yes,female,28.0,2nd
yes,female,27.0,2nd
no,male,29.0,2nd
no,female,27.0,2nd
no,male,40.0,2nd
yes,female,31.0,2nd
no,male,30.0,2nd
no,male,23.0,2nd
yes,female,31.0,2nd
no,male,,2nd
yes,female,12.0,2nd
yes,female,40.0,2nd
yes,female,32.5,2nd
no,male,27.0,2nd
yes,female,29.0,2nd
yes,male,2.0,2nd
yes,female,4.0,2nd
yes,female,29.0,2nd
yes,female,0.916700006,2nd
yes,female,5.0,2nd
no,male,36.0,2nd
yes,female,33.0,2nd
no,male,66.0,2nd
no,male,,2nd
yes,male,31.0,2nd
yes,male,,2nd
yes,female,26.0,2nd
no,female,24.0,2nd
no,male,42.0,3rd
no,male,13.0,3rd
no,male,16.0,3rd
yes,female,35.0,3rd
yes,female,16.0,3rd
yes,male,25.0,3rd
yes,male,20.0,3rd
yes,female,18.0,3rd
no,male,30.0,3rd
no,male,26.0,3rd
no,female,40.0,3rd
yes,male,0.833299994,3rd
yes,female,18.0,3rd
yes,male,26.0,3rd
no,male,26.0,3rd
no,male,20.0,3rd
no,male,24.0,3rd
no,male,25.0,3rd
no,male,35.0,3rd
no,male,18.0,3rd
no,male,32.0,3rd
yes,female,19.0,3rd
no,male,4.0,3rd
no,female,6.0,3rd
no,female,2.0,3rd
yes,female,17.0,3rd
no,female,38.0,3rd
no,female,9.0,3rd
no,female,11.0,3rd
no,male,39.0,3rd
yes,male,27.0,3rd
no,male,26.0,3rd
no,female,39.0,3rd
no,male,20.0,3rd
no,male,26.0,3rd
no,male,25.0,3rd
no,female,18.0,3rd
no,male,24.0,3rd
