pclass,survived,sex,age,sibsp,parch
1st,survived,female,29.0,0,0
1st,survived,male,0.916700006,1,2
1st,died,female,2.0,1,2
1st,died,male,30.0,1,2
1st,died,female,25.0,1,2
1st,survived,male,48.0,0,0
1st,survived,female,63.0,1,0
1st,died,male,39.0,0,0
1st,survived,female,53.0,2,0
1st,died,male,71.0,0,0
1st,died,male,47.0,1,0
1st,survived,female,18.0,1,0
1st,survived,female,24.0,0,0
1st,survived,female,26.0,0,0
1st,survived,male,80.0,0,0
1st,died,male,,0,0
1st,died,male,24.0,0,1
1st,survived,female,50.0,0,1
1st,survived,female,32.0,0,0
1st,died,male,36.0,0,0
1st,survived,male,37.0,1,1
1st,survived,female,47.0,1,1
1st,survived,male,26.0,0,0
1st,survived,female,42.0,0,0
1st,survived,female,29.0,0,0
1st,died,male,25.0,0,0
1st,survived,male,25.0,1,0
1st,survived,female,19.0,1,0
1st,survived,female,35.0,0,0
1st,survived,male,28.0,0,0
1st,died,male,45.0,0,0
1st,survived,male,40.0,0,0
1st,survived,female,30.0,0,0
1st,survived,female,58.0,0,0
1st,died,male,42.0,0,0
1st,survived,female,45.0,0,0
1st,survived,female,22.0,0,1
1st,survived,male,,0,0
1st,died,male,41.0,0,0
1st,died,male,48.0,0,0
1st,died,male,,0,0
1st,survived,female,44.0,0,0
1st,survived,female,59.0,2,0
1st,survived,female,60.0,0,0
1st,survived,female,41.0,0,0
1st,died,male,45.0,0,0
1st,died,male,,0,0
1st,survived,male,42.0,0,0
1st,survived,female,53.0,0,0
1st,survived,male,36.0,0,1
1st,survived,female,58.0,0,1
1st,died,male,33.0,0,0
1st,died,male,28.0,0,0
1st,died,male,17.0,0,0
1st,survived,male,11.0,1,2
1st,survived,female,14.0,1,2
1st,survived,male,36.0,1,2
1st,survived,female,36.0,1,2
1st,died,male,49.0,0,0
1st,survived,female,,0,0
1st,died,male,36.0,1,0
1st,survived,female,76.0,1,0
1st,died,male,46.0,1,0
1st,survived,female,47.0,1,0
1st,survived,male,27.0,1,0
1st,survived,female,33.0,1,0
1st,survived,female,36.0,0,0
1st,survived,female,30.0,0,0
1st,survived,male,45.0,0,0
1st,survived,female,,0,1
1st,died,male,,0,0
1st,died,male,27.0,1,0
1st,survived,female,26.0,1,0
1st,survived,female,22.0,0,0
1st,died,male,,0,0
1st,died,male,47.0,0,0
1st,survived,female,39.0,1,1
1st,died,male,37.0,1,1
1st,survived,female,64.0,0,2
1st,survived,female,55.0,2,0
1st,died,male,,0,0
1st,died,male,70.0,1,1
1st,survived,female,36.0,0,2
1st,survived,female,64.0,1,1
1st,died,male,39.0,1,0
1st,survived,female,38.0,1,0
1st,survived,male,51.0,0,0
1st,survived,male,27.0,0,0
1st,survived,female,33.0,0,0
1st,died,male,31.0,1,0
1st,survived,female,27.0,1,2
1st,survived,male,31.0,1,0
1st,survived,female,17.0,1,0
1st,survived,male,53.0,1,1
1st,survived,male,4.0,0,2
1st,survived,female,54.0,1,1
1st,died,male,50.0,1,0
1st,survived,female,27.0,1,1
1st,survived,female,48.0,1,0
1st,survived,female,48.0,1,0
1st,survived,male,49.0,1,0
1st,died,male,39.0,0,0
1st,survived,female,23.0,0,1
1st,survived,female,38.0,0,0
1st,survived,female,54.0,1,0
1st,died,female,36.0,0,0
1st,died,male,,0,0
1st,survived,female,,0,0
1st,survived,female,,0,0
1st,survived,male,36.0,0,0
1st,died,male,30.0,0,0
1st,survived,female,24.0,3,2
1st,survived,female,28.0,3,2
1st,survived,female,23.0,3,2
1st,died,male,19.0,3,2
1st,died,male,64.0,1,4
1st,survived,female,60.0,1,4
1st,survived,female,30.0,0,0
1st,died,male,,0,0
1st,survived,male,50.0,2,0
1st,survived,male,43.0,1,0
1st,survived,female,,1,0
1st,survived,female,22.0,0,2
1st,survived,male,60.0,1,1
1st,survived,female,48.0,1,1
1st,died,male,,0,0
1st,died,male,37.0,1,0
1st,survived,female,35.0,1,0
1st,died,male,47.0,0,0
1st,survived,female,35.0,0,0
1st,survived,female,22.0,0,1
1st,survived,female,45.0,0,1
1st,died,male,24.0,0,0
1st,survived,male,49.0,1,0
1st,survived,female,,1,0
1st,died,male,71.0,0,0
1st,survived,male,53.0,0,0
1st,survived,female,19.0,0,0
1st,died,male,38.0,0,1
1st,survived,female,58.0,0,1
1st,survived,male,23.0,0,1
1st,survived,female,45.0,0,1
1st,died,male,46.0,0,0
1st,survived,male,25.0,1,0
1st,survived,female,25.0,1,0
1st,survived,male,48.0,1,0
1st,survived,female,49.0,1,0
1st,died,male,,0,0
1st,died,male,45.0,1,0
1st,survived,female,35.0,1,0
1st,died,male,40.0,0,0
1st,survived,male,27.0,0,0
1st,survived,male,,0,0
1st,survived,female,24.0,0,0
1st,died,male,55.0,1,1
1st,survived,female,52.0,1,1
1st,died,male,42.0,0,0
1st,died,male,,0,0
1st,died,male,55.0,0,0
1st,survived,female,16.0,0,1
1st,survived,female,44.0,0,1
1st,survived,female,51.0,1,0
1st,died,male,42.0,1,0
1st,survived,female,35.0,1,0
1st,survived,male,35.0,0,0
1st,survived,male,38.0,1,0
1st,died,male,,0,0
1st,survived,female,35.0,1,0
1st,survived,female,38.0,0,0
1st,died,female,50.0,0,0
1st,survived,male,49.0,0,0
1st,died,male,46.0,0,0
1st,died,male,50.0,0,0
1st,died,male,32.5,0,0
1st,died,male,58.0,0,0
1st,died,male,41.0,1,0
1st,survived,female,,1,0
1st,survived,male,42.0,1,0
1st,survived,female,45.0,1,0
1st,died,male,,0,0
1st,survived,female,39.0,0,0
1st,survived,female,49.0,0,0
1st,survived,female,30.0,0,0
1st,survived,male,35.0,0,0
1st,died,male,,0,0
1st,died,male,42.0,0,0
1st,survived,female,55.0,0,0
1st,survived,female,16.0,0,1
1st,survived,female,51.0,0,1
1st,died,male,29.0,0,0
1st,survived,female,21.0,0,0
1st,died,male,30.0,0,0
1st,survived,female,58.0,0,0
1st,survived,female,15.0,0,1
1st,died,male,30.0,0,0
1st,survived,female,16.0,0,0
1st,survived,male,,0,0
1st,died,male,19.0,1,0
1st,survived,female,18.0,1,0
1st,survived,female,24.0,0,0
1st,died,male,46.0,0,0
1st,died,male,54.0,0,0
1st,survived,male,36.0,0,0
1st,died,male,28.0,1,0
1st,survived,female,,1,0
1st,died,male,65.0,0,0
1st,died,male,44.0,2,0
1st,survived,female,33.0,1,0
1st,survived,female,37.0,1,0
1st,survived,male,30.0,1,0
1st,died,male,55.0,0,0
1st,died,male,47.0,0,0
1st,died,male,37.0,0,1
1st,survived,female,31.0,1,0
1st,survived,female,23.0,1,0
1st,died,male,58.0,0,2
1st,survived,female,19.0,0,2
1st,died,male,64.0,0,0
1st,survived,female,39.0,0,0
1st,survived,male,,0,0
1st,survived,female,22.0,0,1
1st,died,male,65.0,0,1
1st,died,male,28.5,0,0
1st,died,male,,0,0
1st,died,male,45.5,0,0
1st,died,male,23.0,0,0
1st,died,male,29.0,1,0
1st,survived,female,22.0,1,0
1st,died,male,18.0,1,0
1st,survived,female,17.0,1,0
1st,survived,female,30.0,0,0
1st,survived,male,52.0,0,0
1st,died,male,47.0,0,0
1st,survived,female,56.0,0,1
