Year,Wheat,Wages
1565,41.0,5.0
1570,45.0,5.05
1575,42.0,5.08
1580,49.0,5.12
1585,41.5,5.15
1590,47.0,5.25
1595,64.0,5.54
1600,27.0,5.61
1605,33.0,5.69
1610,32.0,5.78
1615,33.0,5.94
1620,35.0,6.01
1625,33.0,6.12
1630,45.0,6.22
1635,33.0,6.3
1640,39.0,6.37
1645,53.0,6.45
1650,42.0,6.5
1655,40.5,6.6
1660,46.5,6.75
1665,32.0,6.8
1670,37.0,6.9
1675,43.0,7.0
1680,35.0,7.3
1685,27.0,7.6
1690,40.0,8.0
1695,50.0,8.5
1700,30.0,9.0
1705,32.0,10.0
1710,44.0,11.0
1715,33.0,11.75
1720,29.0,12.5
1725,39.0,13.0
1730,26.0,13.3
1735,32.0,13.6
1740,27.0,14.0
1745,27.5,14.5
1750,31.0,15.0
1755,35.5,15.7
1760,31.0,16.5
1765,43.0,17.6
1770,47.0,18.5
1775,44.0,19.5
1780,46.0,21.0
1785,42.0,23.0
1790,47.5,25.5
1795,76.0,27.5
1800,79.0,28.5
1805,81.0,29.5
1810,99.0,30.0
1815,78.0,
1820,54.0,
1821,54.0,
