iso3c,country,jci,tmis,agperc,indperc,literacy_cnts,literacy_ba,leperc,partydom,turnout
ANG,Angola,,3,66.5,13.0,,8,38.0,,
BDI,Burundi,20,20,88.6,3.45,9.0,10,80.0,81,26
BEN,Dahomey (Benin),46,42,52.1,10.35,8.0,5,55.5,16,20
BFA,Upper Volta,12,20,89.15,6.95,8.2,7,50.0,60,22
BWA,Botswana,,0,89.35,3.2,19.6,30,97.0,87,23
CAF,Central African Republic,7,26,92.7,2.15,14.6,5,31.0,89,8
CIV,Ivory Coast,3,3,86.65,2.35,11.4,20,27.0,100,45
CMR,Cameroon,2,0,77.2,5.3,8.8,10,27.0,50,30
COD,Zaire,35,20,81.35,9.8,19.2,40,34.0,25,20
COG,Congo-Brazzaville,31,33,46.75,19.15,16.4,23,47.0,58,34
COM,Comoros,,6,,,,,,,
CPV,Cape Verde,,0,,,,,,,
DJI,Djibouti,,0,,,,5,50.0,77,
ETH,Ethiopia,13,20,86.1,5.15,5.4,5,40.0,,13
GAB,Gabon,3,3,83.8,7.8,12.3,13,30.0,50,34
GHA,Ghana,32,48,61.1,15.4,27.4,30,44.0,57,11
GIN,Guinea,19,10,86.45,7.3,10.0,10,48.0,77,22
GMB,Gambia,0,4,83.6,7.4,5.0,10,41.0,60,37
GNB,Guinea-Bissau,,9,88.95,4.2,,3,60.0,,
GNQ,Equatorial Guinea,,15,81.8,6.7,,25,85.0,39,33
KEN,Kenya,1,5,83.95,6.1,25.0,25,40.0,54,22
LBR,Liberia,6,12,78.15,10.65,9.2,10,44.0,99,27
LSO,Lesotho,,0,91.55,2.7,,60,99.0,42,52
MDG,Madagascar,,18,91.1,2.95,37.5,40,39.5,,
MLI,Mali,8,9,92.5,3.4,6.0,5,43.0,76,18
MOZ,Mozambique,,3,77.05,10.1,,3,38.4,,
MRT,Mauritania,1,16,89.35,3.4,3.4,5,82.0,100,38
MUS,Mauritius,,0,,,,,,,
MWI,Malawi,3,1,90.8,3.2,21.8,10,46.0,99,3
NER,Niger,9,15,93.75,1.8,2.5,3,54.0,77,12
NGA,Nigeria,20,19,66.45,12.1,15.4,20,29.0,28,16
RWA,Rwanda,10,8,94.3,1.35,10.0,10,89.0,78,46
SDN,Sudan,35,26,83.85,7.0,9.0,13,41.0,8,10
SEN,Senegal,8,3,81.65,6.0,6.7,7,38.0,83,28
SLE,Sierra Leone,19,16,74.6,13.25,9.2,10,45.0,46,8
SOM,Somalia,10,15,86.3,5.15,5.2,5,95.0,76,20
STP,Sao Tome and Principe,,1,,,,,,,
SWZ,Swaziland,,0,85.1,5.05,,30,90.0,80,62
SYC,Seychelles,,6,,,,,,,
TCD,Chad,12,9,92.25,3.15,7.3,5,46.0,68,19
TGO,Togo,26,14,76.4,9.5,12.5,10,44.0,60,23
TZA,Tanzania,3,4,87.65,4.4,12.1,15,19.0,83,1
UGA,Uganda,22,37,87.65,4.1,29.2,30,27.0,52,15
ZMB,Zambia,3,7,75.75,7.9,44.8,40,37.0,70,37
ZWE,Zimbabwe,,4,66.45,12.35,26.5,25,68.0,62,38
