year,uid,stateabb,therm_dem,therm_gop,therm_bmp,mpti,age,educat,urbanism,pid7,incomeperc,race4,unemployed,polint,distrust_govt,govt_crooked,govt_waste,govt_biginterests
1978,19780001,FL,80,50,65,65,56,3,2,1,1,1,1,2,3,2,3,1
1978,19780002,IA,50,50,50,50,76,1,2,4,2,1,0,3,3,2,3,1
1978,19780003,OH,40,60,50,40,69,3,1,7,3,1,0,4,2,1,3,0
1978,19780004,PA,60,60,60,50,38,3,2,3,4,1,0,4,3,3,3,1
1978,19780005,PA,85,60,73,63,56,1,2,3,3,1,0,3,3,2,3,1
1978,19780006,PA,50,50,50,50,51,4,2,2,3,1,0,2,3,3,3,1
1978,19780007,MN,70,40,55,65,44,7,2,3,4,1,0,3,3,2,3,1
1978,19780008,GA,,,,,29,2,1,2,2,2,0,1,3,,3,1
1978,19780009,GA,60,60,60,50,19,5,2,2,2,1,0,3,3,3,2,0
1978,19780010,NY,,,,,51,2,3,1,1,4,0,4,2,2,3,1
1978,19780011,NC,,,,,57,2,3,5,,1,0,3,3,2,3,1
1978,19780012,MN,70,40,55,65,23,3,2,2,2,1,0,2,3,2,3,1
1978,19780013,MN,85,85,85,50,85,1,2,1,1,1,0,4,2,1,3,0
1978,19780014,CA,75,65,70,55,55,6,2,3,4,1,0,3,2,2,3,1
1978,19780015,CA,50,50,50,50,20,2,2,4,1,3,1,1,3,2,3,
1978,19780016,PA,97,0,49,99,64,2,2,1,4,1,0,4,3,1,3,0
1978,19780017,FL,60,0,30,80,47,5,3,2,4,1,0,2,3,2,3,1
1978,19780018,FL,30,70,50,30,77,5,3,6,2,1,0,2,3,3,3,1
1978,19780019,AL,80,15,48,83,21,2,1,6,1,2,0,2,2,1,3,0
1978,19780020,OH,,,,,89,1,3,1,1,1,0,2,3,,,1
1978,19780021,OH,85,85,85,50,71,4,3,2,,1,0,3,3,2,3,1
1978,19780022,MI,70,85,78,43,33,3,2,5,3,1,0,3,3,2,3,1
1978,19780023,IL,70,70,70,50,78,5,1,7,,1,0,4,3,2,3,0
1978,19780024,FL,50,50,50,50,20,2,2,4,3,1,1,3,3,3,3,1
1978,19780025,IN,97,50,74,74,29,2,2,2,4,1,0,2,3,3,2,0
1978,19780026,IN,85,50,68,68,77,1,2,1,2,1,0,1,4,3,3,1
1978,19780027,IN,85,70,78,58,30,3,3,2,3,1,0,3,2,2,3,0
1978,19780028,IN,70,70,70,50,69,1,2,5,2,1,0,4,4,3,3,1
1978,19780029,AL,,,,,45,6,1,5,4,1,0,4,3,,3,1
1978,19780030,MN,50,90,70,30,88,4,1,6,2,1,0,4,3,2,3,1
1978,19780031,MN,50,60,55,45,21,4,2,6,2,1,0,2,3,2,3,1
1978,19780032,MS,85,70,78,58,51,4,3,2,3,1,0,3,2,2,2,0
1978,19780033,MS,,,,,75,1,3,3,1,1,0,1,3,,,1
1978,19780034,FL,70,60,65,55,32,4,3,2,4,1,0,4,3,2,3,1
1978,19780035,FL,50,50,50,50,61,3,3,4,,1,0,2,3,,3,1
1978,19780036,WY,60,70,65,45,78,1,3,5,1,1,0,3,3,3,3,1
1978,19780037,WY,50,80,65,35,24,3,3,7,3,1,0,3,2,3,3,1
1978,19780038,CA,70,70,70,50,24,5,2,6,2,1,0,4,4,3,3,1
1978,19780039,MO,70,40,55,65,30,6,3,2,2,1,0,2,2,2,2,0
1978,19780040,MO,50,50,50,50,23,5,3,3,1,1,0,4,2,1,3,1
1978,19780041,MO,,,,,79,1,3,6,1,1,0,1,3,3,3,1
1978,19780042,IA,85,40,63,73,65,4,1,1,2,1,0,3,4,2,3,1
1978,19780044,AR,50,50,50,50,21,2,3,4,2,2,1,2,3,2,2,1
1978,19780045,AR,,,,,19,3,3,4,2,1,0,2,3,3,2,1
1978,19780046,AR,50,50,50,50,20,4,3,6,2,1,0,2,3,2,3,
1978,19780047,CA,70,85,78,43,57,3,2,6,4,1,0,3,3,3,3,1
1978,19780048,CA,,70,,,71,2,2,6,3,1,0,4,3,2,3,1
1978,19780049,FL,70,30,50,70,80,3,3,1,2,1,0,4,3,2,3,1
1978,19780050,FL,50,97,74,27,76,1,3,7,2,1,0,4,4,3,3,1
1978,19780051,MO,,,,,24,2,3,4,3,1,0,2,3,3,3,0
1978,19780052,MO,30,85,58,23,20,5,3,7,1,1,0,2,3,3,3,1
1978,19780054,IN,85,85,85,50,36,6,3,3,,1,0,3,3,3,3,1
1978,19780055,KY,,,,,27,4,1,7,1,1,0,3,3,3,3,1
1978,19780056,KY,75,50,63,63,25,6,1,2,4,1,0,4,2,2,3,1
1978,19780057,CA,50,50,50,50,35,5,2,3,3,1,0,1,3,3,3,1
1978,19780058,CA,50,75,63,38,52,2,2,6,4,1,0,2,2,2,3,0
1978,19780059,UT,40,60,50,40,79,2,1,6,2,1,0,2,2,2,2,0
1978,19780060,UT,70,50,60,60,60,3,1,2,1,1,0,1,2,2,3,1
1978,19780061,PA,70,70,70,50,40,2,2,3,3,1,0,1,3,3,3,1
1978,19780062,PA,97,65,81,66,65,2,2,1,3,1,0,3,2,3,3,
1978,19780063,WY,,,,,22,3,3,4,,4,0,1,4,2,3,1
1978,19780064,WY,50,50,50,50,29,4,3,3,3,4,0,2,3,2,3,1
1978,19780065,WY,80,50,65,65,28,4,3,3,2,1,0,1,2,3,3,1
1978,19780066,IA,60,60,60,50,43,3,1,4,3,1,0,3,3,3,3,1
1978,19780067,OH,70,60,65,55,31,3,2,2,,1,0,2,3,3,3,1
1978,19780068,OH,97,50,74,74,28,3,2,1,4,1,0,1,2,1,2,0
1978,19780069,IA,70,45,58,63,73,1,1,2,2,2,0,1,3,1,3,1
1978,19780070,AR,97,50,74,74,55,1,3,1,2,2,0,3,2,2,2,0
1978,19780071,AR,85,30,58,78,55,1,3,2,1,2,0,2,3,3,3,
1978,19780072,AR,,,,,86,1,3,2,1,2,0,1,1,3,1,1
