site,parcel,code,island,id,plot,trt,ears,harvwt
DBAN,I,58,1,3.0,3.0,111,43.5,5.16
LFAN,I,58,1,40.0,4.0,111,40.5,2.93
NSAN,I,58,1,185.5,5.5,111,20.0,1.73
ORAN,I,58,1,256.5,4.5,111,42.5,6.79
OVAN,I,58,1,219.5,3.5,111,31.5,3.255
TEAN,I,58,1,77.0,5.0,111,32.5,2.65
WEAN,I,58,1,115.0,7.0,111,43.5,5.04
WLAN,I,58,1,151.0,7.0,111,50.0,2.02
DBAN,II,58,1,15.5,15.5,111,46.0,4.805
LFAN,II,58,1,51.0,15.0,111,46.5,4.77
NSAN,II,58,1,193.5,13.5,111,34.0,3.17
ORAN,II,58,1,268.0,16.0,111,44.0,7.365
OVAN,II,58,1,229.5,13.5,111,39.0,4.275
TEAN,II,58,1,88.5,16.5,111,41.5,3.19
WEAN,II,58,1,119.5,11.5,111,43.5,4.6
WLAN,II,58,1,158.0,14.0,111,56.0,2.665
DBAN,III,58,1,22.5,22.5,111,47.0,5.065
LFAN,III,58,1,60.0,24.0,111,42.5,4.33
NSAN,III,58,1,205.0,25.0,111,27.0,1.49
ORAN,III,58,1,275.0,23.0,111,41.5,6.435
OVAN,III,58,1,238.0,22.0,111,41.0,5.565
TEAN,III,58,1,93.0,21.0,111,36.0,2.79
WEAN,III,58,1,129.5,21.5,111,45.5,6.34
WLAN,III,58,1,166.0,22.0,111,50.5,3.16
DBAN,IV,58,1,29.0,29.0,111,41.0,4.51
LFAN,IV,58,1,67.5,31.5,111,43.5,4.8
NSAN,IV,58,1,212.5,32.5,111,25.0,1.97
ORAN,IV,58,1,283.5,31.5,111,45.0,7.07
OVAN,IV,58,1,249.0,33.0,111,46.5,6.235
TEAN,IV,58,1,103.5,31.5,111,41.0,3.515
WEAN,IV,58,1,140.5,32.5,111,46.0,6.125
WLAN,IV,58,1,177.5,33.5,111,45.5,3.52
