Month,Animal,State,Count
1976 Jul,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1976 Aug,"Bulls, bullocks and steers",Australian Capital Territory,2100.0
1976 Sep,"Bulls, bullocks and steers",Australian Capital Territory,2100.0
1976 Oct,"Bulls, bullocks and steers",Australian Capital Territory,1900.0
1976 Nov,"Bulls, bullocks and steers",Australian Capital Territory,2100.0
1976 Dec,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1977 Jan,"Bulls, bullocks and steers",Australian Capital Territory,1800.0
1977 Feb,"Bulls, bullocks and steers",Australian Capital Territory,1900.0
1977 Mar,"Bulls, bullocks and steers",Australian Capital Territory,2700.0
1977 Apr,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1977 May,"Bulls, bullocks and steers",Australian Capital Territory,2500.0
1977 Jun,"Bulls, bullocks and steers",Australian Capital Territory,2900.0
1977 Jul,"Bulls, bullocks and steers",Australian Capital Territory,2400.0
1977 Aug,"Bulls, bullocks and steers",Australian Capital Territory,2400.0
1977 Sep,"Bulls, bullocks and steers",Australian Capital Territory,2200.0
1977 Oct,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1977 Nov,"Bulls, bullocks and steers",Australian Capital Territory,2400.0
1977 Dec,"Bulls, bullocks and steers",Australian Capital Territory,2200.0
1978 Jan,"Bulls, bullocks and steers",Australian Capital Territory,2400.0
1978 Feb,"Bulls, bullocks and steers",Australian Capital Territory,2600.0
1978 Mar,"Bulls, bullocks and steers",Australian Capital Territory,2800.0
1978 Apr,"Bulls, bullocks and steers",Australian Capital Territory,2600.0
1978 May,"Bulls, bullocks and steers",Australian Capital Territory,2900.0
1978 Jun,"Bulls, bullocks and steers",Australian Capital Territory,3000.0
1978 Jul,"Bulls, bullocks and steers",Australian Capital Territory,2500.0
1978 Aug,"Bulls, bullocks and steers",Australian Capital Territory,2800.0
1978 Sep,"Bulls, bullocks and steers",Australian Capital Territory,2600.0
1978 Oct,"Bulls, bullocks and steers",Australian Capital Territory,2800.0
1978 Nov,"Bulls, bullocks and steers",Australian Capital Territory,2700.0
1978 Dec,"Bulls, bullocks and steers",Australian Capital Territory,2400.0
1979 Jan,"Bulls, bullocks and steers",Australian Capital Territory,2400.0
1979 Feb,"Bulls, bullocks and steers",Australian Capital Territory,2600.0
1979 Mar,"Bulls, bullocks and steers",Australian Capital Territory,2300.0
1979 Apr,"Bulls, bullocks and steers",Australian Capital Territory,1700.0
1979 May,"Bulls, bullocks and steers",Australian Capital Territory,2000.0
1979 Jun,"Bulls, bullocks and steers",Australian Capital Territory,2000.0
1979 Jul,"Bulls, bullocks and steers",Australian Capital Territory,1600.0
1979 Aug,"Bulls, bullocks and steers",Australian Capital Territory,1600.0
