dbh,wood,bark,root,rootsk,branch,species,fac26
90,5528,,460.0,,,E. maculata,z
106,13650,,1500.0,665.0,,E. pilularis,2
112,11200,,1100.0,680.0,,E. pilularis,2
34,1000,,430.0,40.0,,E. pilularis,2
130,,,3000.0,1030.0,,E. maculata,z
86,7027,,550.0,290.0,94,E. botryoides,z
39,1086,,220.0,48.0,,E. maculata,z
50,,,524.0,74.0,,E. pilularis,2
30,,,150.0,27.0,,E. pilularis,2
39,,,245.0,28.0,,E. pilularis,2
103,15396,1800,1400.0,653.0,,E. pilularis,2
50,3047,,240.0,98.0,83,E. botryoides,z
110,17841,,2000.0,474.0,,E. pilularis,2
77,,,600.0,280.0,,E. pilularis,2
5,,,7.0,0.3,,E. pilularis,2
7,,,6.0,0.4,,E. pilularis,2
26,,,85.0,19.0,,E. pilularis,2
8,,,6.2,0.5,,E. pilularis,2
8,,,7.0,0.4,,E. pilularis,2
9,,,10.0,0.7,,E. pilularis,2
14,,,25.0,3.1,,E. pilularis,2
85,,,1900.0,317.0,,E. pilularis,2
6,,,8.0,0.2,,E. pilularis,2
24,,,112.0,14.0,,E. botryoides,z
46,,,175.0,63.0,,E. pilularis,2
28,,,88.0,30.0,,E. botryoides,z
6,,,6.0,0.3,,Acacia mabellae,z
4,,,1.2,0.07,,E. maculata,z
36,1130,,,,,E. pilularis,2
22,440,,,,,E. pilularis,2
54,4082,,,,58,E. maculata,z
37,1387,,125.0,27.0,56,E. botryoides,z
44,2479,,135.0,45.0,97,E. botryoides,z
17,192,59,,,18,E. pilularis,2
130,25116,,,,,E. maculata,z
13,126,,30.0,3.0,,E. pilularis,2
11,98,,17.0,2.0,,E. maculata,z
15,190,,21.0,9.0,21,E. maculata,z
15,168,,26.0,4.4,17,E. pilularis,2
12,110,,18.0,4.0,16,E. maculata,z
13,170,,,,17,E. pilularis,2
14,151,,,,11,E. maculata,z
16,170,,24.0,13.0,,E. pilularis,2
11,81,,20.0,2.2,,E. pilularis,2
60,4220,667,,,274,E. maculata,z
100,16196,1653,,,371,E. maculata,z
50,2957,,,,,E. botryoides,z
145,22300,1808,2250.0,977.0,,E. maculata,z
7,13,,,,,E. maculata,z
7,17,,,,,E. maculata,z
6,11,,,,,E. maculata,z
7,16,,,,,E. maculata,z
8,20,7,,,7,E. maculata,z
9,31,,,,,E. maculata,z
12,60,20,,,11,E. maculata,
4,6,,,,,E. maculata,z
5,6,,,,,E. maculata,z
7,21,,,,,E. maculata,z
4,4,,,,,E. maculata,z
4,3,,,,,E. maculata,z
23,353,,135.0,13.0,35,Acacia mabellae,z
20,208,,,,41,Acacia mabellae,z
23,445,,,,50,Acacia mabellae,z
54,3300,,,,142,E. maculata,z
24,590,,,,,Acacia mabellae,z
43,2200,328,,,144,E. maculata,z
41,1575,,,,133,E. maculata,z
55,4350,696,,,151,E. maculata,z
55,3000,,,,279,E. maculata,z
11,74,,20.0,1.0,8,E. pilularis,2
3,3,,0.3,0.05,,E. pilularis,2
10,56,,20.0,2.0,8,E. pilularis,2
4,5,,,,,E. pilularis,2
5,15,,,,,E. pilularis,2
7,27,,,,,E. pilularis,2
6,12,,,,,E. pilularis,2
8,25,,,,,E. pilularis,2
5,8,,,,,E. pilularis,2
