age,weight,heart,lung,liver,spleen,stomach,leftkid,rightkid,kidney,intestines
33,27.5,127.7,605.0,855.0,52.5,338.2,107.9,107.5,215,885.0
10,24.3,93.2,436.0,435.4,24.5,120.4,62.8,63.9,127,711.4
10,22.0,84.5,380.0,530.0,31.3,237.6,53.5,58.0,112,765.0
10,18.5,85.4,493.9,542.0,30.8,193.1,66.0,73.2,139,849.6
12,28.0,182.0,,949.0,46.0,400.0,,,238,
18,23.8,130.0,550.0,1100.0,51.0,443.2,145.9,147.3,293,1210.0
19,18.5,98.8,470.0,627.2,40.0,265.9,92.7,88.5,181,959.0
23,18.0,117.3,592.5,632.9,28.9,280.8,86.1,86.0,172,855.4
31,34.0,180.0,605.0,1040.0,45.0,425.0,125.0,120.0,245,1540.0
33,28.5,150.4,799.9,1047.1,41.3,476.2,124.5,123.9,248,1644.0
44,35.8,145.5,995.0,1525.0,90.0,475.6,176.0,156.3,332,2405.0
46,30.3,140.0,785.0,1210.0,60.2,360.3,127.3,104.9,232,1345.0
46,33.0,168.1,910.0,1195.0,89.3,384.9,123.4,125.2,249,1460.0
50,42.0,205.0,1115.0,1415.0,80.0,560.0,145.0,160.0,305,1745.0
50,37.5,205.0,1142.6,1099.8,57.5,543.0,143.3,131.1,274,1372.0
60,55.0,320.9,1465.0,2250.0,96.5,961.8,226.5,200.7,427,2805.0
59,50.5,255.0,1250.0,2115.0,135.0,850.0,200.0,215.0,415,2675.0
66,57.5,370.0,1580.0,2195.0,140.0,720.0,220.0,230.0,450,2490.0
68,67.5,465.0,2000.0,2990.0,350.0,865.0,255.0,275.0,530,2880.0
68,53.5,332.8,1474.4,2124.2,149.6,730.0,227.6,229.3,457,2497.0
72,73.0,449.0,,2715.0,127.0,1044.0,,,605,
73,54.5,282.5,1220.0,2795.0,136.5,919.0,277.9,262.8,541,2515.0
73,68.5,355.0,1790.0,3875.0,145.0,1390.0,290.0,335.0,625,3535.0
80,74.0,310.0,1510.0,3130.0,118.3,985.8,285.0,300.0,585,3410.0
84,68.0,532.0,,2937.0,160.0,1209.0,,,620,
96,97.0,667.0,,4241.0,213.0,1542.0,,,757,
106,101.0,440.0,2735.0,3580.0,305.0,1260.0,368.4,391.7,760,3570.0
108,128.0,1012.0,,5172.0,284.0,1734.0,,,888,
118,95.0,505.0,2380.0,3720.0,425.0,1245.0,385.0,400.0,785,3565.0
120,179.0,1075.0,,8309.0,,2500.0,,,1410,
