Ca,pH
340.0,7.0
224.0,7.0
279.0,7.0
261.0,7.0
449.0,7.0
267.0,7.0
302.0,7.0
269.0,7.0
303.0,7.0
403.0,7.0
278.0,7.0
255.0,7.0
296.0,7.0
301.0,7.0
483.0,7.0
393.0,7.0
618.0,7.0
307.0,7.0
297.0,7.0
293.0,7.0
248.0,7.0
259.0,7.0
337.0,7.0
251.0,7.0
259.0,7.0
246.0,7.0
245.0,7.0
247.0,7.0
291.0,7.0
289.0,7.0
281.0,7.0
385.0,7.0
271.0,7.0
300.0,7.0
315.0,7.0
317.0,7.0
348.0,7.0
405.0,7.0
522.0,7.0
324.0,7.0
365.0,7.0
216.0,7.0
290.0,7.0
259.0,7.0
259.0,7.0
318.0,7.0
255.0,7.0
207.0,7.0
204.0,7.0
345.0,7.0
261.0,7.0
376.0,7.0
335.0,7.0
267.0,7.0
275.0,7.0
250.0,7.0
261.0,7.0
311.0,7.0
318.0,7.0
491.0,7.0
339.0,7.0
528.0,7.0
248.0,7.0
398.0,7.0
435.0,7.0
352.0,7.0
382.0,7.0
361.0,7.0
308.0,7.0
246.0,7.0
270.0,7.0
502.0,7.0
454.0,7.0
414.0,7.0
398.0,7.0
386.0,7.0
263.0,7.0
281.0,7.0
283.0,7.0
316.0,7.0
325.0,7.0
290.0,7.0
311.0,7.0
331.0,7.0
290.0,7.0
297.0,7.0
289.0,7.0
276.0,7.0
287.0,7.0
314.0,7.0
500.0,7.0
381.0,7.0
346.0,7.0
357.0,7.0
531.0,7.0
225.0,7.0
275.0,7.0
334.0,7.0
439.0,7.0
349.0,7.0
780.0,7.0
394.0,7.0
365.0,7.0
322.0,7.0
374.0,7.0
346.0,7.0
432.0,7.0
523.0,7.0
385.0,7.0
666.0,7.0
525.0,7.0
429.0,7.0
449.0,7.0
536.0,7.0
515.0,7.0
274.0,7.0
383.0,7.0
280.0,7.0
268.0,7.0
274.0,7.0
252.0,7.0
268.0,7.0
262.0,7.0
298.0,7.0
238.0,7.0
259.0,7.0
256.0,7.0
637.0,7.0
366.6,7.0
397.8,7.0
399.3,7.0
417.6,7.0
396.2,7.0
394.2,7.0
352.8,7.0
365.1,7.0
375.8,7.0
379.6,7.0
366.1,7.0
486.8,7.0
500.9,7.0
343.6,7.0
462.1,7.0
335.7,7.0
284.1,7.0
287.9,7.0
303.7,7.0
244.4,7.0
345.6,7.0
389.6,7.0
286.2,7.0
290.1,7.0
