LateSept,LateApril,BillApril,AGE
true,false,0.0,24
false,true,3.261,26
false,false,15.549,34
false,false,29.547,37
false,false,19.131,57
false,false,20.024,37
false,false,473.944,29
false,false,0.567,23
false,false,3.719,28
false,false,13.912,35
false,false,3.731,34
false,true,13.668,51
false,false,2.87,41
true,true,36.894,30
false,false,55.512,29
true,false,30.211,23
false,true,19.104,24
false,false,195.599,49
true,false,0.0,49
true,false,0.0,29
false,false,0.93,39
false,false,0.316,39
true,true,46.012,26
false,false,0.0,40
false,false,8.292,23
false,false,30.046,23
true,false,-0.189,27
false,false,19.617,30
false,false,0.257,47
false,false,11.4,26
false,false,36.923,27
true,false,23.68,33
false,false,75.589,32
false,false,8.981,54
false,false,5.293,58
false,false,-1.884,30
false,false,177.413,40
false,false,18.66,22
true,false,0.0,25
false,false,9.477,31
false,false,179.224,33
false,false,65.97,25
false,false,4.451,22
false,false,69.802,37
false,false,29.197,30
false,false,0.0,29
false,false,0.0,22
false,false,0.0,46
false,false,11.873,32
false,false,20.063,24
true,false,39.362,42
false,false,33.258,43
false,false,0.464,49
true,false,45.319,25
true,false,16.54,29
false,false,2.53,45
false,false,8.321,34
false,false,129.918,34
false,true,1.414,34
false,false,364.089,29
false,false,15.571,28
false,false,0.83,39
true,true,28.264,29
false,false,0.0,46
false,false,0.0,51
false,true,7.918,57
true,false,4.326,56
true,false,4.25,30
true,false,7.319,29
true,false,5.982,22
false,false,0.39,31
true,true,63.526,29
false,false,3.151,32
true,false,0.0,37
false,false,25.82,32
false,false,18.543,24
false,false,10.03,25
false,false,0.291,45
false,false,6.411,22
true,false,0.0,44
false,false,29.889,33
false,false,0.196,26
false,false,19.771,30
false,false,94.058,44
false,false,19.482,49
false,false,120.418,33
false,false,0.39,45
false,false,0.766,32
false,false,1.19,35
true,true,11.97,44
true,true,149.531,53
false,false,0.0,39
false,false,0.0,27
false,false,0.0,37
false,false,19.323,23
false,false,30.835,35
false,false,9.956,43
false,false,40.788,27
false,false,7.899,22
false,false,0.15,38
false,false,1.43,32
false,false,34.056,30
false,false,469.961,63
false,false,24.094,22
true,false,55.305,26
false,false,26.529,24
false,false,1.15,36
false,false,5.263,52
false,false,126.568,38
true,false,-0.103,35
false,false,107.289,31
false,false,17.393,47
true,true,149.415,41
false,false,59.713,24
false,false,19.957,41
false,true,21.201,24
false,false,0.326,28
true,false,18.186,26
false,false,7.959,34
false,false,1.203,38
true,true,51.143,37
true,false,0.0,40
true,false,0.0,48
true,false,198.889,35
false,false,15.63,27
true,false,0.0,23
false,false,104.993,52
false,false,95.927,36
false,false,7.077,51
true,false,26.547,55
true,false,5.906,23
true,false,1.737,41
false,false,188.108,34
false,false,228.203,46
false,false,-0.78,22
false,true,13.891,34
false,false,30.229,27
false,false,5.708,33
false,false,0.0,51
false,false,18.995,24
true,false,0.0,47
false,false,0.416,28
true,false,18.065,23
false,false,15.846,29
false,false,0.339,29
false,true,10.138,28
false,false,9.1,27
true,false,59.875,34
true,false,12.034,23
true,false,0.869,60
false,false,55.251,32
false,false,31.826,25
true,false,0.0,41
false,false,169.311,56
false,false,14.206,26
false,false,48.699,34
false,false,94.031,37
false,false,122.324,30
true,true,154.105,45
true,false,14.083,57
true,false,28.321,41
true,true,0.54,27
false,false,0.423,47
false,false,160.22,34
false,false,27.756,46
false,false,77.254,27
false,false,13.453,50
false,false,-0.246,27
false,true,88.29,35
false,false,28.806,22
false,false,24.641,37
false,false,0.8,30
false,false,7.725,22
true,false,-3.272,24
true,false,0.0,29
true,true,71.345,56
false,false,5.38,30
true,true,22.361,30
false,false,14.906,22
false,false,11.486,29
false,false,1.256,37
false,false,17.46,35
false,false,70.064,47
false,false,19.395,24
false,false,1.62,25
true,false,16.448,38
true,false,16.24,32
true,true,189.915,47
true,false,14.636,34
true,true,20.487,31
false,false,43.328,32
true,false,22.873,27
false,false,17.042,29
false,false,0.0,24
false,false,0.658,36
true,true,40.035,24
false,false,1.5,34
false,false,19.247,22
false,false,1.151,34
true,false,0.0,22
false,false,0.0,38
false,true,10.833,31
false,false,0.487,26
false,false,122.135,26
false,false,146.511,48
false,false,19.337,43
false,false,0.0,47
false,false,0.0,41
false,false,49.568,24
false,false,1.709,50
false,false,85.632,24
true,false,1.222,38
false,false,31.339,43
false,false,8.032,39
true,false,309.959,27
false,true,0.78,42
true,false,-0.946,36
true,false,78.245,36
false,false,63.208,31
false,false,0.0,38
true,false,120.238,40
false,false,330.121,45
false,false,212.508,35
false,false,33.263,33
true,false,29.957,37
false,false,128.839,28
false,false,0.0,44
false,false,19.175,37
true,false,18.858,23
true,false,0.0,24
false,false,1.308,24
true,false,10.104,23
false,false,46.557,26
true,true,150.052,34
false,false,19.421,33
false,false,19.942,35
false,false,29.497,27
false,false,2.293,31
false,false,214.694,50
false,false,16.383,41
true,false,2.285,28
false,false,15.874,39
false,false,29.399,27
false,false,0.0,32
false,true,0.079,40
false,false,0.0,40
false,false,0.794,75
false,false,32.904,27
false,false,25.358,25
false,false,17.484,46
true,false,29.998,26
false,false,0.0,28
false,false,106.828,26
false,false,84.426,28
false,false,2.486,29
false,false,28.538,25
false,false,21.361,48
false,false,2.21,33
false,false,0.0,43
true,false,162.402,48
false,false,36.739,29
false,false,28.309,29
false,false,12.652,38
false,false,0.338,37
false,false,16.872,37
false,false,0.316,25
false,true,9.411,23
false,false,27.5,49
false,false,35.673,48
true,false,2.614,27
false,false,18.126,32
false,false,0.0,34
true,false,0.0,58
false,false,11.905,33
false,false,0.0,28
false,false,15.085,36
true,false,22.535,40
false,false,0.316,26
false,false,19.703,33
false,false,101.299,31
false,false,0.0,27
false,false,43.414,44
false,false,70.204,30
false,false,56.265,28
false,false,98.457,32
false,false,0.586,46
true,false,46.549,38
false,false,97.622,46
true,false,51.365,25
false,false,4.311,46
false,false,-339.603,33
true,false,0.0,22
true,true,2.566,43
false,false,10.182,27
true,false,0.0,29
false,false,133.99,31
false,false,1.82,29
false,false,131.629,36
false,false,30.771,36
true,false,0.203,34
false,false,64.513,37
false,false,0.0,36
false,false,14.458,40
false,false,12.51,25
false,false,7.414,27
false,false,0.4,26
false,false,0.0,36
true,false,0.0,27
true,true,14.514,55
false,false,11.736,27
false,false,2.077,38
false,false,132.845,34
false,false,14.34,40
false,false,59.983,49
false,false,6.441,27
false,false,19.346,23
false,false,53.652,36
true,false,0.485,53
true,false,24.883,46
