semester,sex,exam1,exam2,exam3,course_grade
2000-1,Man,84.5,69.5,86.5,76.2564
2000-1,Man,80.0,74.0,67.0,75.3882
2000-1,Man,56.0,70.0,71.5,67.0564
2000-1,Man,64.0,61.0,67.5,63.4538
2000-1,Man,90.5,72.5,75.0,72.3949
2000-1,Man,74.0,78.5,84.5,71.4128
2000-1,Man,60.5,44.0,58.0,56.0949
2000-1,Man,89.0,82.0,88.0,78.0103
2000-1,Woman,87.5,86.5,95.0,82.9026
2000-1,Man,91.0,98.0,88.0,89.0846
2000-1,Man,79.5,88.0,56.0,72.9769
2000-1,Man,96.0,91.5,78.0,82.5282
2000-1,Man,55.0,79.5,72.0,69.9872
2000-1,Man,80.0,83.5,70.0,67.7256
2000-1,Woman,64.5,83.5,77.0,80.3051
2000-1,Man,73.0,90.0,96.0,74.8744
2000-1,Man,83.0,79.0,65.0,71.1615
2000-1,Man,72.0,91.0,90.0,76.5615
2000-1,Woman,57.9,53.0,47.0,56.9903
2000-1,Man,89.0,83.5,78.5,80.8026
2000-1,Woman,69.0,57.0,88.0,69.4308
2000-1,Woman,91.0,91.0,95.5,92.0051
2000-1,Man,68.0,84.5,64.0,67.9051
2000-1,Man,83.0,89.5,93.0,79.7872
2000-1,Man,72.0,77.5,67.0,67.1256
2000-1,Woman,56.0,45.0,61.0,58.6308
2000-1,Man,55.0,71.0,72.0,67.8308
2000-1,Woman,68.5,64.0,93.0,77.6903
2000-1,Man,68.5,79.5,50.5,69.9308
2000-1,Man,70.0,71.0,76.0,69.6769
2000-1,Man,75.0,81.0,81.5,68.0923
2000-1,Man,68.5,66.0,58.0,60.3128
2000-1,Man,54.0,84.0,88.0,72.3821
2000-1,Man,79.6,67.0,72.0,67.4787
2000-1,Man,85.0,61.0,44.5,66.2364
2000-1,Man,82.0,86.5,92.5,83.3231
2000-1,Woman,65.0,83.5,87.0,77.6436
2000-1,Woman,76.0,50.0,91.5,70.9462
2000-1,Man,94.5,67.0,96.0,86.0133
2000-1,Man,72.0,67.0,90.0,72.0269
2000-1,Man,65.5,82.5,79.0,77.0282
2000-1,Man,61.5,80.5,81.5,68.2821
2000-1,Man,65.0,50.0,43.5,43.2733
2000-1,Man,63.0,82.0,88.0,70.1031
2000-1,Man,75.0,66.5,76.0,65.0846
2000-1,Man,69.5,70.5,76.0,68.6538
2000-1,Woman,60.0,95.0,91.0,83.0508
2000-1,Man,84.0,88.0,67.0,75.0856
2000-1,Man,90.0,99.5,87.5,74.4718
2000-1,Woman,62.5,85.5,85.5,74.4821
2000-1,Man,88.5,86.5,70.0,77.9526
2000-2,Man,74.5,83.0,62.4,78.7554
2000-2,Man,73.5,69.5,74.5,69.0228
2000-2,Man,75.0,60.5,80.9,68.6502
2000-2,Man,76.5,76.0,61.0,73.6702
2000-2,Woman,90.5,68.0,59.0,69.7842
2000-2,Man,88.0,77.5,90.5,84.1474
2000-2,Man,87.2727,58.0,28.0,49.1931
2000-2,Man,81.9,86.0,62.0,73.9116
2000-2,Man,65.5,90.0,61.8,68.5425
2000-2,Woman,84.5,80.5,72.5,81.2088
2000-2,Man,88.9,67.0,76.0,80.5554
2000-2,Man,70.0,56.0,81.5,68.7839
2000-2,Man,73.0,48.0,55.0,65.3088
2000-2,Man,86.0,77.0,82.0,79.6035
2000-2,Man,68.0,60.0,59.0,58.4316
2000-2,Woman,82.0,74.0,81.5,76.6842
2000-2,Man,86.4,72.0,69.5,67.5625
2000-2,Man,74.0,83.0,79.9,74.573
2000-2,Man,92.3,76.0,97.0,87.0288
2000-2,Man,57.0,70.0,56.0,65.3947
2000-2,Man,62.5,41.0,77.8,59.8863
2000-2,Man,75.5,62.5,79.7,73.5435
2000-2,Man,67.0,58.0,45.8,58.3828
2000-2,Man,73.0,78.0,77.3,79.2354
2000-2,Man,93.0,75.0,96.0,71.3228
2000-2,Man,81.5,73.0,69.5,65.5295
