site,totabund,density,meandepth,year,period,sweptarea
1,76,0.0020702809561044,804,1978,1977-1989,36710.0
2,161,0.00351979909464717,808,2001,2000-2002,45741.25390625
3,39,0.000980515033006668,809,2001,2000-2002,39775.0
4,410,0.00803921557962894,848,1979,1977-1989,51000.0
5,177,0.00593337509781122,853,2002,2000-2002,29831.251953125
6,695,0.0218005012720823,960,1980,1977-1989,31880.0
7,352,0.00919060129672289,977,1981,1977-1989,38300.0
8,674,0.0176163092255592,982,1979,1977-1989,38260.0
9,624,0.0139910308644176,985,1982,1977-1989,44600.0
10,736,0.0139923952519894,986,1980,1977-1989,52600.0
11,332,0.0111292684450746,1000,2002,2000-2002,29831.251953125
12,529,0.0132581451907754,1016,1983,1977-1989,39900.0
13,355,0.00968357920646667,1017,1979,1977-1989,36660.0
14,178,0.00531026301905513,1024,1978,1977-1989,33520.0
15,60,0.00134529103524983,1025,1981,1977-1989,44600.0
16,276,0.00541176507249475,1027,1980,1977-1989,51000.0
17,54,0.00155934202484787,1036,1978,1977-1989,34630.0
18,264,0.0066373348236084,1053,2001,2000-2002,39775.0
19,103,0.00258956593461335,1065,2001,2000-2002,39775.0
20,347,0.00838164333254099,1100,1979,1977-1989,41400.0
21,168,0.00422375882044435,1110,2002,2000-2002,39775.0
22,205,0.00294513697735965,1144,2001,2000-2002,69606.2578125
23,1230,0.0309239476919174,1200,2002,2000-2002,39775.0
24,100,0.0125470506027341,1205,1981,1977-1989,7970.0
25,332,0.00834695156663656,1212,2001,2000-2002,39775.0
26,636,0.0209970287978649,1217,1982,1977-1989,30290.0
27,665,0.0143939387053251,1257,1980,1977-1989,46200.0
28,205,0.00513784494251013,1263,1979,1977-1989,39900.0
29,392,0.00819740723818541,1265,1980,1977-1989,47820.0
30,141,0.00442283600568771,1272,1981,1977-1989,31880.0
31,567,0.0136956516653299,1284,1982,1977-1989,41400.0
32,185,0.00465116277337074,1300,2002,2000-2002,39775.0
33,402,0.00830406881868839,1312,1980,1977-1989,48410.0
34,522,0.0126086957752705,1360,1981,1977-1989,41400.0
35,72,0.00197474402375519,1368,2001,2000-2002,36460.41796875
36,212,0.00531328283250332,1379,1981,1977-1989,39900.0
37,421,0.00677175493910909,1390,1979,1977-1989,62170.0
38,233,0.0046863597817719,1430,2002,2000-2002,49718.75390625
39,249,0.00650810217484832,1440,1982,1977-1989,38260.0
40,1026,0.0207650270313025,1448,1979,1977-1989,49410.0
