case,site,Pop,sex,age,hdlngth,skullw,totlngth,taill,footlgth,earconch,eye,chest,belly
2,1,Vic,f,6,92.5,57.6,91.5,36.5,72.5,51.2,16.0,28.5,33.0
3,1,Vic,f,6,94.0,60.0,95.5,39.0,75.4,51.9,15.5,30.0,34.0
4,1,Vic,f,6,93.2,57.1,92.0,38.0,76.1,52.2,15.2,28.0,34.0
5,1,Vic,f,2,91.5,56.3,85.5,36.0,71.0,53.2,15.1,28.5,33.0
6,1,Vic,f,1,93.1,54.8,90.5,35.5,73.2,53.6,14.2,30.0,32.0
8,1,Vic,f,6,94.8,57.6,91.0,37.0,72.7,53.9,14.5,29.0,34.0
9,1,Vic,f,9,93.4,56.3,91.5,37.0,72.4,52.9,15.5,28.0,33.0
10,1,Vic,f,6,91.8,58.0,89.5,37.5,70.9,53.4,14.4,27.5,32.0
11,1,Vic,f,9,93.3,57.2,89.5,39.0,77.2,51.3,14.9,31.0,34.0
12,1,Vic,f,5,94.9,55.6,92.0,35.5,71.7,51.0,15.3,28.0,33.0
17,1,Vic,f,1,94.7,67.7,89.5,36.5,73.2,53.2,14.7,29.0,31.0
19,1,Vic,f,5,94.4,55.4,90.5,35.0,73.4,53.9,15.2,28.0,32.0
20,1,Vic,f,4,94.8,56.3,89.0,38.0,73.8,52.4,15.5,27.0,36.0
21,1,Vic,f,3,95.9,58.1,96.5,39.5,77.9,52.9,14.2,30.0,40.0
23,1,Vic,f,4,92.5,56.1,89.0,36.0,72.8,53.3,15.4,28.0,35.0
27,1,Vic,f,2,90.5,54.5,85.0,35.0,70.3,50.8,14.2,23.0,28.0
29,1,Vic,f,3,92.8,56.0,88.0,35.0,74.9,51.8,14.0,24.0,32.0
30,1,Vic,f,2,92.1,54.4,84.0,33.5,70.6,50.8,14.5,24.5,33.0
32,1,Vic,f,4,94.3,56.7,94.0,39.0,74.8,52.0,14.9,28.0,34.0
37,2,Vic,f,2,89.3,54.8,82.5,35.0,71.2,52.0,13.6,28.0,31.5
39,2,Vic,f,1,84.7,51.5,75.0,34.0,68.7,53.4,13.0,25.0,25.0
40,2,Vic,f,3,91.0,55.0,84.5,36.0,72.8,51.4,13.6,27.0,30.0
41,2,Vic,f,5,88.4,57.0,83.0,36.5,,40.3,15.9,27.0,30.5
43,2,Vic,f,2,90.0,55.5,81.0,32.0,72.0,49.4,13.4,29.0,31.0
50,3,other,f,5,91.6,56.4,88.0,38.0,65.0,47.2,14.9,28.0,36.0
51,3,other,f,5,95.6,59.6,85.0,36.0,64.0,43.9,17.4,28.0,38.5
53,3,other,f,3,93.1,58.1,91.0,38.0,67.4,46.0,16.5,26.0,33.5
57,4,other,f,4,95.1,59.4,93.0,41.0,67.2,45.3,14.5,31.0,39.0
60,4,other,f,2,91.3,57.7,88.0,39.0,63.1,47.0,14.4,26.0,30.0
62,5,other,f,3,91.3,58.0,90.5,39.0,65.5,41.3,16.0,27.0,32.0
63,5,other,f,6,92.0,56.4,88.5,38.0,64.1,46.3,15.2,25.5,28.5
64,5,other,f,3,96.9,56.5,89.5,38.5,63.0,45.1,17.1,25.5,33.0
65,5,other,f,5,93.5,57.4,88.5,38.0,68.2,41.7,14.0,29.0,38.5
66,5,other,f,3,90.4,55.8,86.0,36.5,63.2,44.2,15.7,26.5,34.0
70,5,other,f,7,91.9,56.4,87.0,38.0,65.4,44.1,13.0,27.0,34.0
74,6,other,f,4,88.7,52.0,83.0,38.0,61.5,45.9,14.7,26.0,34.0
82,6,other,f,4,86.0,54.0,82.0,36.5,60.7,42.9,15.4,26.0,32.0
83,6,other,f,3,90.0,53.8,81.5,36.0,62.0,43.3,14.0,25.0,29.0
86,6,other,f,3,88.2,53.2,86.5,38.5,60.3,43.7,13.6,26.0,31.0
88,7,other,f,2,89.6,58.0,87.5,38.0,66.7,43.5,16.0,25.5,31.5
99,7,other,f,3,93.3,56.2,86.5,38.5,64.8,43.8,14.0,28.0,35.0
102,7,other,f,6,92.4,55.0,89.0,38.0,63.5,45.4,13.0,25.0,30.0
104,7,other,f,3,93.6,59.9,89.0,40.0,67.6,46.0,14.8,28.5,33.5
