Income_Centered,Education,Age,Participation,Support
0.0065710032,3.5,23.666666,0,1.0
0.011074998,1.5,42.0,0,1.0
0.0024240003,4.0,43.0,0,1.0
0.0076499963,6.0,21.0,0,0.5
0.010000998,2.0,33.0,0,1.0
0.018976999,6.0,64.0,0,1.0
0.012900003,5.5,37.5,0,0.5
0.006392003,2.0,19.0,0,0.0
0.011972001,4.0,17.4,0,0.5
0.0090729985,5.0,33.599998,0,0.0
0.0043589976,3.3333333,29.0,0,1.0
0.013053003,6.0,37.0,0,1.0
0.002562,6.0,23.0,0,1.0
0.0032850006,5.0,43.0,0,0.5
0.0048719971,3.0,15.333333,0,1.0
0.016988,5.5,53.0,0,0.5
0.0018439975,,8.5,0,1.0
0.0096390005,3.0,29.0,0,1.0
0.011452998,2.5,18.333334,0,1.0
0.012044,4.0,34.0,0,0.5
0.016884001,3.0,23.666666,0,1.0
0.016691001,1.0,46.5,0,0.5
0.0018000018,,19.0,0,1.0
0.018477002,6.0,11.0,0,0.5
0.013495001,4.6666665,22.5,0,1.0
0.0020089995,4.6666665,32.0,0,1.0
0.0084169982,2.0,17.0,0,1.0
0.013059999,6.0,21.0,0,0.5
0.0077590002,3.5,49.0,0,0.5
0.0077229985,2.0,34.5,0,0.0
0.0084470008,3.0,66.0,0,0.5
0.0084470008,3.0,66.0,0,0.5
0.0096799964,3.0,11.666667,0,1.0
0.010059002,3.5,60.0,0,0.0
0.011446001,2.0,15.0,0,1.0
0.007334,2.0,15.0,0,0.5
0.0093910033,5.0,45.333332,0,0.0
0.009864999,2.0,23.0,0,1.0
0.0038640001,4.5,21.666666,0,1.0
0.0046920017,2.0,41.0,0,0.5
0.015010001,2.6666667,17.0,0,1.0
0.0027549963,3.0,20.0,0,1.0
0.0089250011,6.0,22.25,0,0.0
0.0036619988,2.3333333,31.0,0,1.0
0.012351999,1.5,19.0,0,1.0
0.018666001,4.3333335,35.333332,0,1.0
0.00039199973,4.5,39.0,0,0.5
0.0041239993,4.5,39.0,0,0.5
0.0050299936,5.0,13.75,0,1.0
0.014595,3.5,14.0,0,0.5
0.018976999,6.0,31.0,0,1.0
0.015990006,6.0,23.142857,0,1.0
0.009993,4.5,14.0,0,0.5
0.017837999,4.5,42.5,0,1.0
0.0089690024,3.0,10.6,0,1.0
0.011469999,6.0,45.333332,0,1.0
0.014011997,3.0,39.666668,0,0.0
0.0071519995,3.5,15.2,0,0.5
0.0097529991,4.0,26.25,0,1.0
0.010509999,,41.0,0,1.0
0.0045010024,2.5,22.200001,0,0.5
0.0065710032,4.5,20.333334,0,0.5
0.014120997,6.0,12.5,0,1.0
0.0041449987,6.0,14.666667,0,1.0
0.010619001,,14.5,0,0.0
0.016215997,3.0,22.666666,0,1.0
0.015497001,1.0,32.0,0,0.5
0.0069870008,3.0,56.5,0,1.0
0.013053003,4.0,60.0,0,0.0
0.013414997,6.0,11.0,0,1.0
0.019719997,5.0,40.0,0,0.5
0.0048719971,3.0,14.333333,0,1.0
0.018474,5.5,13.333333,0,1.0
0.0087949988,5.0,54.0,0,1.0
0.0032020011,3.5,11.25,0,0.5
0.0075669982,1.0,30.0,0,1.0
0.012989001,4.0,35.5,0,1.0
0.0059499983,4.0,33.5,0,1.0
0.011462001,4.0,19.666666,0,1.0
0.016136998,1.5,27.666666,0,1.0
0.0054599964,3.0,36.0,0,1.0
0.00034500027,3.6666667,22.142857,0,1.0
0.010811004,2.0,35.0,0,0.0
0.0086890021,3.0,17.75,0,0.5
0.018427001,6.0,30.6,0,0.5
0.011388998,2.5,27.75,0,1.0
0.016441999,3.0,27.0,0,0.5
0.0096710008,5.0,60.0,0,1.0
0.014783003,5.0,30.666666,0,1.0
0.016367005,6.0,12.0,0,1.0
0.0049020005,4.0,13.25,0,0.5
0.007960001,3.0,46.0,0,1.0
0.0046919985,4.0,37.333332,0,0.5
0.0094470037,3.5,19.0,0,0.5
0.0059819976,4.5,18.4,0,0.5
0.0091919992,3.3333333,36.0,0,1.0
0.016032996,2.0,16.0,0,0.5
0.0059609995,4.0,29.0,0,1.0
0.014631001,5.5,32.666668,0,1.0
0.0056299968,3.0,12.666667,0,1.0
0.0054209987,3.0,51.5,0,1.0
0.0084470008,3.0,50.0,0,0.0
0.012815,6.0,18.714285,0,1.0
0.014448998,4.0,18.666666,0,1.0
0.0060809986,3.0,11.0,0,0.5
0.003426003,3.0,21.25,0,1.0
0.014472001,4.0,29.4,0,0.5
0.019465001,1.0,11.0,0,0.5
0.0068500065,5.5,40.0,0,0.5
0.004145002,4.5,51.333332,0,0.5
0.0029490017,4.0,13.0,0,1.0
0.0097050024,4.0,18.25,0,1.0
