gpa,studyweek,sleepnight,out,gender
3.89,50,6.0,3.0,female
3.9,15,6.0,1.0,female
3.75,15,7.0,1.0,female
3.6,10,6.0,4.0,male
4.0,25,7.0,3.0,female
3.15,20,7.0,3.0,male
3.25,15,6.0,1.0,female
3.925,10,8.0,3.0,female
3.428,12,8.0,2.0,female
3.8,2,8.0,4.0,male
3.9,10,8.0,1.0,female
2.9,30,6.0,2.0,female
3.925,30,7.0,2.0,female
3.65,21,9.0,3.0,female
3.75,10,8.5,3.5,female
4.67,14,6.5,3.0,male
3.1,12,7.5,3.5,male
3.8,12,8.0,1.0,female
3.4,4,9.0,3.0,female
3.575,45,6.5,1.5,female
3.85,6,7.0,2.5,female
3.4,10,7.0,3.0,female
3.5,12,8.0,2.0,male
3.6,13,6.0,3.5,female
3.825,35,8.0,4.0,female
3.925,10,8.0,3.0,female
4.0,40,8.0,3.0,female
3.425,14,9.0,3.0,female
3.75,30,6.0,0.0,female
3.15,8,6.0,0.0,female
3.4,8,6.5,2.0,female
3.7,20,7.0,1.0,female
3.36,40,7.0,1.0,female
3.7,15,7.0,1.5,male
3.7,25,5.0,1.0,female
3.6,10,7.0,2.0,female
3.825,18,7.0,1.5,female
3.2,15,6.0,1.0,female
3.5,30,8.0,3.0,male
3.5,11,7.0,1.5,female
3.0,28,6.0,1.5,female
3.98,4,7.0,1.5,female
3.7,4,5.0,1.0,male
3.81,25,7.5,2.5,female
4.0,42,5.0,1.0,female
3.1,3,7.0,2.0,male
3.4,42,9.0,2.0,male
3.5,25,8.0,2.0,male
3.65,20,6.0,2.0,female
3.7,7,8.0,2.0,female
3.1,6,8.0,1.0,female
4.0,20,7.0,3.0,female
3.35,45,6.0,2.0,female
3.541,30,7.5,1.5,female
2.9,20,6.0,3.0,female
