hrsrelax,mntlhlth,hrs1,degree,grass
2,3,55,BACHELOR,
4,6,45,BACHELOR,LEGAL
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
3,0,45,JUNIOR COLLEGE,
,,,JUNIOR COLLEGE,
0,0,40,HIGH SCHOOL,NOT LEGAL
5,10,48,HIGH SCHOOL,
5,0,26,JUNIOR COLLEGE,
,,,HIGH SCHOOL,
3,0,40,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,,,JUNIOR COLLEGE,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2,5,50,BACHELOR,NOT LEGAL
5,0,40,HIGH SCHOOL,NOT LEGAL
10,0,25,HIGH SCHOOL,
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
0,0,20,GRADUATE,
2,15,89,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
3,30,25,JUNIOR COLLEGE,LEGAL
1,10,40,BACHELOR,
4,0,20,BACHELOR,LEGAL
6,0,20,GRADUATE,LEGAL
,,,GRADUATE,LEGAL
,,,JUNIOR COLLEGE,
,,,BACHELOR,
6,0,60,HIGH SCHOOL,
5,0,40,GRADUATE,LEGAL
,0,3,BACHELOR,LEGAL
4,0,40,GRADUATE,
,,,HIGH SCHOOL,LEGAL
,,,GRADUATE,
3,5,40,BACHELOR,LEGAL
3,5,35,GRADUATE,LEGAL
4,0,24,HIGH SCHOOL,
3,0,60,GRADUATE,LEGAL
,,34,GRADUATE,
,,,HIGH SCHOOL,
2,10,40,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
5,0,50,HIGH SCHOOL,LEGAL
2,0,50,HIGH SCHOOL,
0,0,32,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
2,,40,BACHELOR,LEGAL
,,,BACHELOR,
,,,GRADUATE,NOT LEGAL
,,,BACHELOR,LEGAL
2,15,46,LT HIGH SCHOOL,NOT LEGAL
2,0,36,BACHELOR,NOT LEGAL
4,0,30,HIGH SCHOOL,NOT LEGAL
6,5,40,BACHELOR,
3,0,40,BACHELOR,NOT LEGAL
3,0,36,JUNIOR COLLEGE,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4,1,40,BACHELOR,
3,0,40,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
2,0,48,HIGH SCHOOL,LEGAL
6,3,35,GRADUATE,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
3,0,50,JUNIOR COLLEGE,
5,0,20,JUNIOR COLLEGE,LEGAL
2,20,50,BACHELOR,
,,,HIGH SCHOOL,
1,4,68,HIGH SCHOOL,
8,30,50,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2,3,40,GRADUATE,
8,0,35,HIGH SCHOOL,NOT LEGAL
1,0,20,JUNIOR COLLEGE,LEGAL
3,3,9,HIGH SCHOOL,
,,,HIGH SCHOOL,
4,0,40,BACHELOR,NOT LEGAL
4,0,52,BACHELOR,
2,15,35,HIGH SCHOOL,NOT LEGAL
2,5,40,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
2,0,30,LT HIGH SCHOOL,NOT LEGAL
2,0,41,BACHELOR,
0,0,40,BACHELOR,
4,0,35,LT HIGH SCHOOL,NOT LEGAL
1,4,38,JUNIOR COLLEGE,
,,,LT HIGH SCHOOL,NOT LEGAL
2,,70,BACHELOR,NOT LEGAL
2,0,35,HIGH SCHOOL,
,0,48,HIGH SCHOOL,
4,0,9,GRADUATE,NOT LEGAL
,,,BACHELOR,NOT LEGAL
2,0,32,HIGH SCHOOL,
2,,35,HIGH SCHOOL,NOT LEGAL
3,0,50,HIGH SCHOOL,
2,0,65,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
8,30,7,GRADUATE,
4,0,24,BACHELOR,
3,0,60,BACHELOR,
2,3,40,GRADUATE,
,,,LT HIGH SCHOOL,LEGAL
,,,BACHELOR,NOT LEGAL
4,30,40,GRADUATE,
2,0,30,HIGH SCHOOL,
3,1,50,GRADUATE,NOT LEGAL
,,,BACHELOR,
4,0,40,BACHELOR,NOT LEGAL
4,0,24,HIGH SCHOOL,LEGAL
3,,45,GRADUATE,NOT LEGAL
2,0,12,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
5,4,30,HIGH SCHOOL,NOT LEGAL
1,0,30,LT HIGH SCHOOL,NOT LEGAL
,,,JUNIOR COLLEGE,
5,1,40,HIGH SCHOOL,LEGAL
18,0,15,HIGH SCHOOL,
4,0,40,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
2,0,89,BACHELOR,
3,0,30,LT HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
2,20,40,LT HIGH SCHOOL,
8,0,40,LT HIGH SCHOOL,NOT LEGAL
4,2,50,GRADUATE,LEGAL
1,2,50,LT HIGH SCHOOL,LEGAL
14,0,32,LT HIGH SCHOOL,
6,1,40,HIGH SCHOOL,LEGAL
2,1,24,HIGH SCHOOL,
2,0,60,HIGH SCHOOL,NOT LEGAL
3,0,24,GRADUATE,
2,2,50,HIGH SCHOOL,
,,,HIGH SCHOOL,
12,0,20,HIGH SCHOOL,LEGAL
2,0,45,BACHELOR,
1,3,40,GRADUATE,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
4,0,28,LT HIGH SCHOOL,NOT LEGAL
2,2,38,LT HIGH SCHOOL,
,,9,HIGH SCHOOL,LEGAL
3,0,25,GRADUATE,
2,0,40,BACHELOR,LEGAL
5,0,62,HIGH SCHOOL,
4,0,47,LT HIGH SCHOOL,
1,0,40,LT HIGH SCHOOL,
2,0,40,HIGH SCHOOL,LEGAL
2,14,40,HIGH SCHOOL,
0,0,37,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
4,0,47,BACHELOR,
5,15,29,HIGH SCHOOL,NOT LEGAL
4,0,40,HIGH SCHOOL,LEGAL
2,5,25,GRADUATE,LEGAL
8,0,55,BACHELOR,NOT LEGAL
4,1,30,HIGH SCHOOL,NOT LEGAL
4,30,25,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,
,,,BACHELOR,
1,0,60,HIGH SCHOOL,LEGAL
4,0,44,GRADUATE,NOT LEGAL
6,0,38,HIGH SCHOOL,LEGAL
5,0,50,HIGH SCHOOL,LEGAL
4,0,60,GRADUATE,
1,14,75,HIGH SCHOOL,NOT LEGAL
,,,JUNIOR COLLEGE,
2,0,27,HIGH SCHOOL,NOT LEGAL
1,0,40,LT HIGH SCHOOL,LEGAL
5,0,50,BACHELOR,
,,,BACHELOR,LEGAL
8,3,45,GRADUATE,
5,4,30,JUNIOR COLLEGE,NOT LEGAL
3,5,,GRADUATE,LEGAL
8,29,45,HIGH SCHOOL,LEGAL
1,2,52,HIGH SCHOOL,LEGAL
4,0,72,BACHELOR,
5,0,40,BACHELOR,NOT LEGAL
4,2,50,BACHELOR,LEGAL
1,3,45,BACHELOR,LEGAL
2,4,52,JUNIOR COLLEGE,NOT LEGAL
3,10,70,BACHELOR,LEGAL
4,0,40,HIGH SCHOOL,
6,0,20,GRADUATE,LEGAL
5,0,40,GRADUATE,LEGAL
3,0,60,BACHELOR,NOT LEGAL
,,,GRADUATE,
,,,GRADUATE,NOT LEGAL
8,0,50,HIGH SCHOOL,LEGAL
2,0,40,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
4,0,9,GRADUATE,LEGAL
,,,GRADUATE,
