id,year,age,race,sex,hispaniccat,educ,partyid,relactiv,abany,abdefect,abnomore,abhlth,abpoor,abrape,absingle,pid,hispanic
1,1972,23,White,Female,,16,"Ind,Near Dem",,,1,1,1,1,1,1,2,
2,1972,70,White,Male,,10,Not Str Democrat,,,1,0,1,0,1,1,1,
3,1972,48,White,Female,,12,Independent,,,1,1,1,1,1,1,3,
4,1972,27,White,Female,,17,Not Str Democrat,,,0,0,1,1,1,1,1,
5,1972,61,White,Female,,12,Strong Democrat,,,1,1,1,1,1,1,0,
6,1972,26,White,Male,,14,"Ind,Near Dem",,,1,1,1,1,1,1,2,
7,1972,28,White,Male,,13,"Ind,Near Dem",,,1,0,1,0,1,1,2,
8,1972,27,White,Male,,16,"Ind,Near Dem",,,1,1,1,1,1,1,2,
9,1972,21,Black,Female,,12,Strong Democrat,,,1,0,1,0,,0,0,
10,1972,30,Black,Female,,12,Strong Democrat,,,1,0,1,1,1,0,0,
11,1972,30,Black,Female,,13,Strong Democrat,,,0,0,,,,,0,
12,1972,56,Black,Male,,6,Not Str Republican,,,0,0,0,1,0,1,5,
13,1972,54,Black,Male,,9,Strong Democrat,,,1,0,0,0,,0,0,
14,1972,49,Black,Female,,8,Not Str Democrat,,,1,1,1,1,1,1,1,
15,1972,41,Black,Male,,9,Strong Democrat,,,1,1,1,0,0,0,0,
16,1972,54,Black,Male,,14,Strong Democrat,,,1,0,1,0,1,0,0,
17,1972,24,White,Male,,14,"Ind,Near Rep",,,0,0,1,0,0,0,4,
18,1972,62,White,Female,,8,"Ind,Near Rep",,,1,0,1,0,1,0,4,
19,1972,46,White,Female,,17,"Ind,Near Dem",,,1,1,1,1,1,1,2,
20,1972,21,White,Female,,14,"Ind,Near Rep",,,1,0,1,0,1,1,4,
21,1972,57,White,Male,,12,"Ind,Near Dem",,,0,0,1,0,1,1,2,
22,1972,58,White,Male,,11,Not Str Democrat,,,1,1,1,1,1,1,1,
23,1972,21,White,Male,,13,"Ind,Near Dem",,,1,1,1,1,1,1,2,
24,1972,26,White,Female,,12,"Ind,Near Rep",,,1,0,1,1,1,1,4,
25,1972,71,White,Female,,16,Strong Republican,,,1,1,1,1,1,0,6,
26,1972,53,White,Female,,12,"Ind,Near Rep",,,0,0,0,0,1,0,4,
27,1972,42,White,Male,,12,Independent,,,1,1,1,1,1,1,3,
28,1972,42,White,Female,,12,"Ind,Near Dem",,,1,,1,1,1,0,2,
29,1972,20,White,Male,,12,Independent,,,0,0,1,0,0,0,3,
30,1972,23,White,Male,,9,Not Str Republican,,,1,0,1,1,0,0,5,
31,1972,26,White,Male,,6,Strong Republican,,,1,1,1,,,,6,
32,1972,25,White,Female,,14,"Ind,Near Rep",,,1,0,1,0,1,0,4,
33,1972,26,White,Male,,16,Strong Democrat,,,1,1,1,1,1,1,0,
34,1972,78,White,Female,,8,Not Str Republican,,,0,0,0,0,0,0,5,
35,1972,21,White,Male,,12,"Ind,Near Dem",,,1,0,1,0,0,0,2,
36,1972,27,White,Male,,14,Not Str Democrat,,,0,0,1,1,1,0,1,
37,1972,58,White,Female,,13,Not Str Republican,,,1,1,1,1,1,1,5,
38,1972,35,White,Female,,10,Not Str Democrat,,,1,0,1,1,1,1,1,
39,1972,58,White,Male,,6,Strong Republican,,,1,0,1,0,1,0,6,
40,1972,51,White,Female,,12,Not Str Republican,,,,0,1,0,1,0,5,
41,1972,76,White,Female,,8,Strong Democrat,,,1,0,1,0,1,0,0,
42,1972,53,White,Male,,14,Not Str Republican,,,1,0,0,0,1,0,5,
43,1972,39,White,Male,,8,"Ind,Near Rep",,,0,0,1,0,0,0,4,
44,1972,64,White,Female,,8,"Ind,Near Dem",,,1,0,1,0,1,0,2,
45,1972,50,White,Female,,8,Not Str Republican,,,0,0,1,0,1,0,5,
46,1972,27,White,Female,,12,Independent,,,1,0,1,0,1,0,3,
47,1972,25,White,Male,,14,Not Str Democrat,,,1,1,1,1,1,0,1,
48,1972,49,White,Male,,12,Other Party,,,1,0,1,1,1,1,,
49,1972,40,White,Male,,9,Not Str Democrat,,,1,0,1,0,0,0,1,
50,1972,43,White,Male,,8,Strong Republican,,,1,0,1,0,0,0,6,
51,1972,46,White,Male,,10,Strong Democrat,,,1,1,1,1,1,1,0,
52,1972,37,White,Male,,14,"Ind,Near Dem",,,0,0,0,0,0,0,2,
53,1972,46,White,Male,,9,"Ind,Near Dem",,,1,1,1,1,1,1,2,
54,1972,22,White,Female,,12,"Ind,Near Rep",,,1,0,1,0,1,0,4,
55,1972,53,White,Female,,10,Strong Democrat,,,1,1,1,1,1,1,0,
56,1972,35,White,Male,,12,Independent,,,1,0,1,1,1,0,3,
57,1972,31,White,Female,,14,Strong Democrat,,,1,0,1,1,1,0,0,
58,1972,30,White,Female,,12,Strong Democrat,,,1,0,1,0,0,0,0,
59,1972,37,White,Female,,12,Strong Democrat,,,1,0,1,1,1,1,0,
60,1972,57,White,Female,,11,Not Str Democrat,,,1,1,1,1,1,1,1,
61,1972,39,White,Male,,12,Not Str Republican,,,1,1,1,1,1,0,5,
62,1972,62,White,Female,,9,Not Str Republican,,,0,0,1,0,1,0,5,
63,1972,51,White,Male,,12,Strong Republican,,,1,1,1,0,1,0,6,
64,1972,43,White,Male,,11,Strong Republican,,,0,0,1,0,1,0,6,
65,1972,39,White,Male,,12,Not Str Republican,,,1,0,1,0,1,0,5,
66,1972,52,White,Female,,8,Other Party,,,1,1,1,1,1,1,,
67,1972,30,White,Male,,12,Other Party,,,1,0,1,1,1,1,,
68,1972,47,White,Female,,12,Independent,,,1,1,1,1,1,1,3,
69,1972,31,White,Female,,12,"Ind,Near Dem",,,1,0,1,0,1,1,2,
70,1972,25,White,Male,,16,Not Str Republican,,,1,0,1,0,1,0,5,
71,1972,45,White,Male,,7,Not Str Democrat,,,1,0,1,0,1,0,1,
