sex,height
Male,75.0
Male,70.0
Male,68.0
Male,74.0
Male,61.0
Female,65.0
Female,66.0
Female,62.0
Female,66.0
Male,67.0
Male,72.0
Male,72.0
Male,69.0
Male,68.0
Male,69.0
Male,66.0
Male,75.0
Female,64.0
Female,60.0
Male,67.0
Male,66.0
Male,64.0
Male,70.0
Male,73.0
Male,72.0
Male,69.0
Male,69.0
Male,72.0
Female,64.0
Male,72.0
Male,75.0
Male,71.0
Female,67.0
Female,66.0
Female,67.0
Male,69.0
Male,68.0
Female,66.75
Male,72.0
Female,63.0
Male,69.0
Male,68.0
Female,63.0
Male,60.0
Male,73.0
Male,74.0
Male,74.0
Male,66.0
Male,68.0
Male,73.0
Male,70.0
Male,68.0
Male,73.0
Male,70.5
Female,64.96062992125984
Male,71.0
Male,70.0
Male,67.0
Male,69.0
Male,67.0
Male,69.0
Male,73.0
Male,74.0
Male,70.0
Male,66.0
Male,72.0
Female,65.0
Male,65.0
Male,70.0
Male,73.0
Male,67.0
Male,72.0
Male,68.0
Male,68.0
Female,65.0
Male,72.0
Male,71.0
Female,65.0
Female,72.0
Male,69.0
Male,70.0
Male,72.0
Male,72.0
Female,62.0
Female,65.0
Male,70.0
Male,60.0
Male,67.0
Female,62.0
Male,71.0
Female,63.0
Male,68.0
Female,64.1732
Female,64.0
Male,71.0
Male,68.5
Female,62.0
Female,78.74015748031496
Male,70.0
Male,72.0
Female,71.0
Male,71.0
Female,69.6
Female,65.0
Male,70.0
Female,61.0
Female,63.0
Male,70.0
Male,67.0
Female,62.0
Male,68.0
Male,73.0
Female,66.5
Male,69.0
Male,74.0
Male,71.5
Male,76.0
Male,69.0
Male,74.0
Male,74.5
Male,69.0
Female,66.0
Female,64.0
Male,78.0
Male,67.0
Female,69.0
Female,67.0
Female,63.0
Male,74.0
Female,62.0
Female,69.0
Female,64.0
Male,71.0
Female,62.5
Male,68.0
Female,67.0
Male,71.0
Male,74.0
Male,75.0
Female,65.0
Male,68.0
Female,65.0
Female,66.0
Male,72.0
Male,73.0
Male,71.0
Male,74.0
Female,63.0
Male,73.0
