kids,morekids,boys2,girls2,boy1st,boy2nd,samesex,multi2nd,age,agefstm,black,hispan,worked,weeks,hours,labinc,faminc,nonmomi,educ,agesq
2,0,0,0,1,0,0,0,35,27,1,0,0,0,0,0.0,44.45000076293945,44.45000076293945,14,1225
3,1,0,0,0,1,0,0,32,20,1,0,1,40,40,14.704700469970703,38.04750061035156,23.34280014038086,12,1024
2,0,1,0,1,1,1,0,30,19,1,0,1,52,35,20.16254997253418,20.5928897857666,0.43032997846603394,12,900
2,0,0,0,1,0,0,0,33,23,1,0,1,50,40,21.002220153808594,83.98788452148438,62.98569107055664,14,1089
2,0,0,1,0,0,1,0,31,26,1,0,1,26,48,21.862890243530273,88.82649993896484,66.96363067626953,12,961
2,0,0,0,1,0,0,0,35,24,1,0,1,52,40,40.398590087890625,58.965782165527344,18.567190170288086,16,1225
3,1,0,0,1,0,0,0,28,18,1,0,1,52,40,29.503881454467773,73.84888458251953,44.34503173828125,16,784
3,1,1,0,1,1,1,0,30,19,1,0,1,52,40,13.655119895935059,61.946590423583984,48.29146957397461,12,900
2,0,0,0,0,1,0,0,23,19,1,0,1,52,35,12.605530738830566,29.40941047668457,16.80388069152832,12,529
2,0,0,0,1,0,0,0,32,22,1,0,1,52,40,27.29974937438965,84.41825103759766,57.118499755859375,12,1024
2,0,0,0,1,0,0,0,31,18,1,0,0,0,0,0.0,36.70403289794922,36.70403289794922,13,961
2,0,0,0,1,0,0,0,28,19,0,1,1,10,40,1.7947900295257568,6.780330181121826,4.98553991317749,6,784
3,1,0,1,0,0,1,0,33,26,1,0,1,48,38,12.605530738830566,67.19450378417969,54.5890007019043,14,1089
2,0,0,1,0,0,1,0,29,21,1,0,1,52,40,29.3989200592041,60.89699935913086,31.498090744018555,13,841
2,0,1,0,1,1,1,0,21,17,1,0,1,52,40,13.655119895935059,40.74494171142578,27.08983039855957,12,441
3,1,0,0,1,0,0,1,28,17,1,0,0,0,0,0.0,31.498090744018555,31.498090744018555,12,784
3,1,0,1,0,0,1,0,35,17,1,0,1,47,8,18.903051376342773,44.11412811279297,25.211061477661133,12,1225
3,1,0,0,1,0,0,0,25,18,1,0,1,50,40,18.903051376342773,22.90196990966797,3.99891996383667,9,625
4,1,0,0,1,0,0,0,33,22,1,0,1,17,40,7.441569805145264,52.605281829833984,45.163719177246094,20,1089
2,0,1,0,1,1,1,0,29,20,1,0,1,52,40,37.795589447021484,73.4920654296875,35.696441650390625,13,841
3,1,0,0,0,1,0,0,32,20,1,0,1,52,40,17.328670501708984,34.5523796081543,17.22372055053711,12,1024
3,1,0,0,0,1,0,0,28,19,0,1,0,0,0,0.0,37.795589447021484,37.795589447021484,11,784
2,0,1,0,1,1,1,0,22,19,1,0,1,24,40,8.407190322875977,16.814380645751953,8.407190322875977,12,484
2,0,0,0,1,0,0,0,25,18,1,0,1,52,38,14.704700469970703,31.508590698242188,16.80388069152832,12,625
2,0,1,0,1,1,1,0,27,20,1,0,0,0,0,0.0,20.750329971313477,20.750329971313477,12,729
3,1,0,1,0,0,1,0,33,25,1,0,1,40,40,14.704700469970703,41.16477966308594,26.460079193115234,16,1089
3,1,1,0,1,1,1,0,22,15,1,0,1,36,40,3.99891996383667,22.90196990966797,18.903051376342773,10,484
2,0,0,0,1,0,0,0,27,19,1,0,1,38,40,14.368840217590332,52.510807037353516,38.1419677734375,13,729
2,0,0,0,1,0,0,0,30,19,1,0,1,52,40,21.002220153808594,39.485443115234375,18.48322105407715,12,900
2,0,0,0,1,0,0,0,22,19,1,0,0,0,0,0.0,46.19231033325195,46.19231033325195,16,484
2,0,0,1,0,0,1,0,29,20,1,0,1,52,35,13.235289573669434,35.09815979003906,21.862890243530273,10,841
4,1,0,0,1,0,0,0,33,26,1,0,1,36,40,35.696441650390625,76.87168884277344,41.1752815246582,18,1089
2,0,1,0,1,1,1,0,29,19,1,0,1,52,40,6.308020114898682,31.519079208374023,25.211061477661133,12,841
4,1,1,0,1,1,1,0,26,18,1,0,1,4,40,10.506360054016113,67.20500183105469,56.69866180419922,12,676
2,0,0,1,0,0,1,0,33,23,1,0,0,0,0,0.0,37.84809112548828,37.84809112548828,12,1089
2,0,0,0,0,1,0,0,31,25,1,0,1,52,40,38.845191955566406,103.93006134033203,65.08487701416016,16,961
3,1,0,0,1,0,0,0,25,17,1,0,1,12,30,2.5295000076293945,27.61463165283203,25.08510971069336,12,625
3,1,0,0,0,1,0,0,34,19,1,0,0,0,0,0.0,12.605530738830566,12.605530738830566,12,1156
2,0,0,0,1,0,0,0,28,23,1,0,1,52,40,28.013471603393555,56.404781341552734,28.39130973815918,18,784
3,1,0,0,0,1,0,1,29,22,1,0,1,52,40,25.200580596923828,60.89699935913086,35.696441650390625,17,841
2,0,1,0,1,1,1,0,25,18,1,0,1,50,40,17.853469848632812,45.15321731567383,27.29974937438965,12,625
2,0,0,0,0,1,0,0,26,21,1,0,1,36,5,3.893970012664795,20.697839736938477,16.80388069152832,14,676
3,1,0,0,1,0,0,0,26,21,1,0,0,0,0,0.0,12.6160306930542,12.6160306930542,16,676
2,0,0,1,0,0,1,0,34,19,1,0,1,52,40,16.258089065551758,35.16115951538086,18.903051376342773,12,1156
2,0,0,0,0,1,0,0,25,18,1,0,1,52,40,31.498090744018555,62.996192932128906,31.498090744018555,11,625
2,0,0,1,0,0,1,0,29,20,1,0,1,48,40,12.605530738830566,33.513282775878906,20.90777015686035,15,841
