player,team,position,salary
Brandon Webb,Arizona Diamondbacks,Pitcher,8500.0
Danny Haren,Arizona Diamondbacks,Pitcher,8250.0
Chris Snyder,Arizona Diamondbacks,Catcher,5250.0
Edwin Jackson,Arizona Diamondbacks,Pitcher,4600.0
Adam LaRoche,Arizona Diamondbacks,First Baseman,4500.0
Chad Qualls,Arizona Diamondbacks,Pitcher,4185.0
Chris B. Young,Arizona Diamondbacks,Outfielder,3450.0
Stephen Drew,Arizona Diamondbacks,Shortstop,3400.0
Conor Jackson,Arizona Diamondbacks,First Baseman,3100.0
Kelly Johnson,Arizona Diamondbacks,Second Baseman,2350.0
Aaron Heilman,Arizona Diamondbacks,Pitcher,2150.0
Bobby Howry,Arizona Diamondbacks,Pitcher,2000.0
Miguel Montero,Arizona Diamondbacks,Catcher,2000.0
Mark Reynolds,Arizona Diamondbacks,Third Baseman,833.333
Augie Ojeda,Arizona Diamondbacks,Shortstop,825.0
Blaine Boyer,Arizona Diamondbacks,Pitcher,725.0
Justin Upton,Arizona Diamondbacks,Outfielder,708.333
Rodrigo Lopez,Arizona Diamondbacks,Pitcher,650.0
Juan C. Gutierrez,Arizona Diamondbacks,Pitcher,411.0
Leonel Rosales,Arizona Diamondbacks,Pitcher,409.5
Tony Abreu,Arizona Diamondbacks,Shortstop,407.0
Gerardo Parra,Arizona Diamondbacks,Outfielder,405.5
Esmerling Vasquez,Arizona Diamondbacks,Pitcher,404.5
Ian Kennedy,Arizona Diamondbacks,Pitcher,403.0
Rusty Ryal,Arizona Diamondbacks,Third Baseman,401.0
Jordan Norberto,Arizona Diamondbacks,Pitcher,400.0
Derek Lowe,Atlanta Braves,Pitcher,15000.0
Chipper Jones,Atlanta Braves,Third Baseman,14000.0
Tim Hudson,Atlanta Braves,Pitcher,9000.0
Kenshin Kawakami,Atlanta Braves,Pitcher,7333.666
Billy Wagner,Atlanta Braves,Pitcher,6750.0
Brian McCann,Atlanta Braves,Catcher,5700.0
Nate McLouth,Atlanta Braves,Outfielder,5000.0
Takashi Saito,Atlanta Braves,Pitcher,3200.0
Melky Cabrera,Atlanta Braves,Outfielder,3100.0
Matt Diaz,Atlanta Braves,Outfielder,2550.0
Omar Infante,Atlanta Braves,Shortstop,2225.0
Troy Glaus,Atlanta Braves,First Baseman,1750.0
David Ross,Atlanta Braves,Catcher,1600.0
Peter Moylan,Atlanta Braves,Pitcher,1150.0
Eric Hinske,Atlanta Braves,First Baseman,1000.0
Jair Jurrjens,Atlanta Braves,Pitcher,480.0
Eric O'Flaherty,Atlanta Braves,Pitcher,440.0
Martin Prado,Atlanta Braves,Second Baseman,440.0
Yunel Escobar,Atlanta Braves,Shortstop,435.0
Tommy Hanson,Atlanta Braves,Pitcher,435.0
Jesse Chavez,Atlanta Braves,Pitcher,415.0
Jo-Jo Reyes,Atlanta Braves,Pitcher,410.0
Kris Medlen,Atlanta Braves,Pitcher,407.5
Jordan Schafer,Atlanta Braves,Outfielder,402.5
Brooks Conrad,Atlanta Braves,Second Baseman,400.0
Diory Hernandez,Atlanta Braves,Shortstop,400.0
Jason Heyward,Atlanta Braves,Outfielder,400.0
Kevin Millwood,Baltimore Orioles,Pitcher,12000.0
