Strip,Conc,Length
S01,1.0,15.8
S01,2.0,20.8
S01,3.0,22.6
S01,4.0,23.8
S02,1.0,20.6
S02,2.0,26.8
S02,3.0,28.4
S02,4.0,27.0
S03,0.25,7.2
S03,0.5,15.4
S03,1.0,22.8
S03,2.0,27.4
S04,0.25,2.2
S04,0.5,9.0
S04,1.0,16.6
S05,0.25,2.0
S05,0.5,6.0
S05,1.0,15.2
S06,0.25,5.0
S06,0.5,9.2
S06,1.0,14.2
S07,1.0,28.0
S07,2.0,32.0
S08,0.25,5.6
S08,1.0,26.0
S09,0.5,15.4
S09,1.0,23.2
S10,0.25,11.8
S10,1.0,29.0
S11,0.25,11.0
S11,0.5,18.8
S11,1.0,26.2
S12,1.0,26.0
S12,2.0,33.8
S13,1.0,24.2
S13,2.0,28.8
S14,0.5,15.0
S14,1.0,24.0
S15,0.5,20.8
S15,1.0,29.0
S16,1.0,18.2
S16,2.0,25.8
S16,3.0,30.0
S16,4.0,32.2
S17,1.0,21.5
S17,2.0,28.4
S17,3.0,32.0
S17,4.0,29.6
S18,1.0,15.4
S18,2.0,19.0
S18,3.0,19.4
S19,1.0,29.0
S19,2.0,34.0
S19,3.0,37.0
S20,1.0,22.2
S20,2.0,29.0
S20,3.0,32.2
S21,1.0,23.0
S21,2.0,27.4
S21,3.0,30.4
