lang,IQ,class,GS,SES,COMB
46,15.0,180,29,23,0
45,14.5,180,29,10,0
33,9.5,180,29,15,0
46,11.0,180,29,23,0
20,8.0,180,29,10,0
30,9.5,180,29,10,0
30,9.5,180,29,23,0
57,13.0,180,29,10,0
36,9.5,180,29,13,0
36,11.0,180,29,15,0
29,5.5,180,29,10,0
40,14.0,180,29,18,0
41,9.0,180,29,15,0
47,10.5,180,29,20,0
33,10.0,180,29,10,0
37,11.0,180,29,20,0
29,6.5,180,29,13,0
26,4.0,180,29,10,0
37,11.0,180,29,10,0
40,11.0,180,29,15,0
27,11.0,180,29,10,0
43,12.5,180,29,13,0
39,11.5,180,29,10,0
21,10.0,180,29,10,0
42,10.0,180,29,10,0
21,11.5,280,19,15,1
27,10.5,280,19,15,1
16,8.0,280,19,20,1
31,7.5,280,19,15,1
21,7.5,280,19,10,1
18,6.5,280,19,23,1
32,11.5,280,19,10,1
28,10.5,1082,25,15,1
33,10.5,1082,25,20,1
38,12.5,1082,25,20,1
14,8.0,1082,25,10,1
39,11.0,1082,25,33,1
23,9.5,1280,31,27,1
43,10.5,1280,31,33,1
25,8.5,1280,31,33,1
24,7.5,1280,31,28,1
41,11.0,1280,31,37,1
32,10.5,1280,31,30,1
26,10.5,1280,31,20,1
21,9.5,1280,31,40,1
37,10.0,1280,31,20,1
30,11.5,1280,31,17,1
41,9.5,1280,31,20,1
31,9.0,1280,31,50,1
27,8.0,1280,31,20,1
33,7.5,1280,31,27,1
29,8.5,1280,31,40,1
31,14.0,1580,35,40,1
18,8.5,1580,35,20,1
37,13.0,1580,35,40,1
22,10.5,1580,35,25,1
43,15.0,1580,35,20,1
9,9.0,1580,35,30,1
41,10.0,1580,35,30,1
46,12.0,1580,35,20,1
34,11.0,1680,28,23,1
47,11.0,1680,28,33,1
44,12.5,1680,28,27,1
50,13.0,1680,28,27,1
45,12.5,1680,28,23,1
43,11.0,1680,28,30,1
34,11.5,1680,28,35,1
35,11.0,1680,28,37,1
22,9.5,1880,28,23,0
27,9.5,1880,28,15,0
45,15.0,1880,28,50,0
45,11.5,1880,28,27,0
38,13.0,1880,28,35,0
24,10.5,1880,28,33,0
50,13.0,1880,28,25,0
22,11.0,1880,28,20,0
43,14.0,1880,28,30,0
28,13.5,1880,28,28,0
38,10.5,1880,28,33,0
20,9.5,1880,28,25,0
40,15.5,1880,28,33,0
47,12.0,1880,28,50,0
20,11.0,1880,28,15,0
28,11.0,1880,28,25,0
33,13.0,1880,28,50,0
21,11.5,1880,28,30,0
44,12.5,1880,28,38,0
43,12.0,1880,28,20,0
18,10.0,1880,28,35,0
31,10.5,1880,28,50,0
21,11.5,1880,28,35,0
41,11.0,1880,28,35,0
48,14.5,2180,19,20,0
43,13.0,2180,19,18,0
32,8.5,2180,19,18,0
17,11.5,2180,19,20,0
27,8.5,2180,19,20,0
55,13.0,2180,19,28,0
45,12.5,2180,19,28,0
36,13.5,2180,19,18,0
24,8.0,2180,19,18,0
35,9.0,2180,19,18,0
43,11.5,2180,19,23,0
48,13.0,2180,19,23,0
38,14.5,2180,19,23,0
44,12.0,2180,19,20,0
47,12.0,2180,19,18,0
36,13.5,2180,19,23,0
41,11.5,2180,19,25,0
41,12.0,2480,35,23,0
26,10.0,2480,35,20,0
52,14.0,2480,35,20,0
43,12.5,2480,35,10,0
54,13.0,2480,35,20,0
49,11.5,2480,35,30,0
51,15.5,2480,35,20,0
47,13.5,2480,35,23,0
51,12.0,2480,35,17,0
51,12.0,2480,35,23,0
34,8.5,2480,35,20,0
51,10.5,2480,35,23,0
