nuclide,z,n,element,radius,radius_uncert,abundance,abundance_uncert,is_stable,half_life,half_life_uncert,isospin,decay_1,decay_1_pct,decay_1_pct_uncert,decay_2,decay_2_pct,decay_2_pct_uncert,decay_3,decay_3_pct,decay_3_pct_uncert,magnetic_dipole,magnetic_dipole_uncert,electric_quadrupole,electric_quadrupole_uncert,atomic_mass,atomic_mass_uncert,mass_excess,mass_excess_uncert
^{1}_{1}H0,1,0,H,0.8783,0.0086,0.999855,0.000078,true,,,,,,,,,,,,,2.792847351,9e-9,,,1007825.031898,0.000014,7288.971064,0.000013
^{2}_{1}H1,1,1,H,2.1421,0.0088,0.000145,0.000078,true,,,,,,,,,,,,,0.857438231,5e-9,0.0028578,3e-7,2014101.777844,0.000015,13135.722895,0.000015
^{3}_{1}H2,1,2,H,1.7591,0.0363,,,false,388781328.00697297,631138.51949184,,B-,1.0,,,,,,,,2.97896246,1.4e-8,,,3016049.28132,0.00008,14949.8109,0.00008
^{4}_{1}H3,1,3,H,,,,,false,,,1,N,1.0,,,,,,,,,,,,4026431.867,107.354,24621.129,100.0
^{5}_{1}H4,1,4,H,,,,,false,8.608258774931799e-23,6.49679907542023e-24,,2N,1.0,,,,,,,,,,,,5035311.492,96.02,32892.447,89.443
^{6}_{1}H5,1,5,H,,,,,false,2.94346912949281e-22,8.35565430307637e-23,,,,,,,,,,,,,,,6044955.437,272.816,41875.725,254.127
^{7}_{1}H6,1,6,H,,,,,false,5.06930794523762e-21,2.81628219179868e-20,,,,,,,,,,,,,,,7052749.0,1078.0,49135.0,1004.0
^{3}_{2}He1,2,1,He,1.9661,0.003,2e-6,2e-6,true,,,,,,,,,,,,,-2.12762531,3e-8,,,3016029.32197,0.00006,14931.21888,0.00006
^{4}_{2}He2,2,2,He,1.6755,0.0028,0.9999979999999999,2e-6,true,,,0,,,,,,,,,,,,,,4002603.25413,0.00016,2424.91587,0.00015
^{5}_{2}He3,2,3,He,,,,,false,7.04070547949669e-22,0.0,1/2,N,,,,,,,,,,,,,5012057.224,21.47,11231.234,20.0
^{6}_{2}He4,2,4,He,2.066,0.0111,,,false,0.8067,0.0015,1,B-,1.0,,,,,,,,,,,,6018885.889,0.057,17592.095,0.053
^{7}_{2}He5,2,5,He,,,,,false,3.04158476714257e-21,4.0554463561901e-22,3/2,N,,,,,,,,,,,,,7027990.652,8.115,26073.128,7.559
^{8}_{2}He6,2,6,He,1.9239,0.0306,,,false,0.1191,0.0012,2,B-,1.0,,B-N,0.16,0.01,,,,,,,,8033934.388,0.095,31609.683,0.089
^{9}_{2}He7,2,7,He,,,,,false,,,5/2,N,1.0,,,,,,,,,,,,9043946.414,50.259,40935.826,46.816
^{10}_{2}He8,2,8,He,,,,,false,1.5207923835712901e-21,1.01386158904752e-21,3,N,1.0,,,,,,,,,,,,10052815.306,99.676,49197.147,92.848
^{4}_{3}Li1,3,1,Li,,,,,false,,,1,P,1.0,,,,,,,,,,,,4027185.561,227.733,25323.19,212.132
^{5}_{3}Li2,3,2,Li,,,,,false,3.70924971602753e-22,0.0,1/2,P,,,,,,,,,,,,,5012537.8,53.677,11678.887,50.0
^{6}_{3}Li3,3,3,Li,2.589,0.039,0.048499999999999995,0.0171,true,,,0,,,,,,,,,,0.822043,3e-6,-0.000806,6e-6,6015122.88742,0.00155,14086.88044,0.00144
^{7}_{3}Li4,3,4,Li,2.444,0.042,0.9515,0.0171,true,,,1/2,,,,,,,,,,3.256407,0.000012,-0.04,0.0003,7016003.43426,0.0045,14907.10463,0.00419
^{8}_{3}Li5,3,5,Li,2.339,0.044,,,false,0.8399,0.0009,1,B-A,1.0,,B-,1.0,,,,,1.6535,0.00002,0.0314,0.0002,8022486.244,0.05,20945.805,0.047
^{9}_{3}Li6,3,6,Li,2.245,0.046,,,false,0.1783,0.0004,3/2,B-,1.0,,B-N,0.508,0.002,,,,3.43666,0.00006,-0.0304,0.0002,9026790.191,0.2,24954.905,0.186
^{10}_{3}Li7,3,7,Li,,,,,false,,,2,N,1.0,,,,,,,,,,,,10035483.453,13.656,33052.628,12.721
^{11}_{3}Li8,3,8,Li,2.482,0.043,,,false,0.00875,0.00014,5/2,B-,1.0,,B-N,,,,,,3.6711,0.0002,-0.0333,0.0005,11043723.581,0.66,40728.259,0.615
^{12}_{3}Li9,3,9,Li,,,,,false,,,,N,1.0,,,,,,,,,,,,12052613.942,32.213,49009.577,30.006
^{6}_{4}Be2,4,2,Be,,,,,false,4.95910559860202e-21,3.2341993034361e-22,1,A,1.0,,2P,1.0,,,,,,,,,6019726.409,5.848,18375.034,5.448
^{7}_{4}Be3,4,3,Be,2.646,0.016,,,false,4598208.0,5184.0,1/2,EC,1.0,,,,,,,,-1.39928,4e-6,,,7016928.714,0.076,15768.998,0.071
^{8}_{4}Be4,4,4,Be,,,,,false,8.190982317260071e-17,3.67638344580793e-18,0,A,1.0,,,,,,,,,,,,8005305.102,0.037,4941.672,0.035
^{9}_{4}Be5,4,5,Be,2.519,0.012,1.0,,true,,,1/2,,,,,,,,,,-1.17743,5e-6,0.0529,0.0004,9012183.062,0.082,11348.451,0.076
^{10}_{4}Be6,4,6,Be,2.355,0.017,,,false,47650958221633.9,1262277038983.68,1,B-,1.0,,,,,,,,,,,,10013534.692,0.086,12607.487,0.081
^{11}_{4}Be7,4,7,Be,2.463,0.015,,,false,13.76,0.07,3/2,B-,1.0,,B-A,0.031,,B-P,8.3e-6,,-1.6816,0.0008,,,11021661.08,0.255,20177.169,0.238
^{12}_{4}Be8,4,8,Be,,,,,false,0.02146,0.00005,2,B-,1.0,,B-N,0.005,0.0003,,,,,,,,12026922.082,2.048,25077.761,1.909
^{13}_{4}Be9,4,9,Be,,,,,false,2.7e-21,1.8e-21,,N,,,,,,,,,,,,,13036134.506,10.929,33659.08,10.18
^{14}_{4}Be10,4,10,Be,,,,,false,0.00435,0.00017,,B-,1.0,,B-N,0.81,0.04,B-2N,0.05,0.02,,,,,14042892.92,141.97,39954.502,132.245
