Year,Hare,Lynx
1845,19580.0,30090.0
1846,19600.0,45150.0
1847,19610.0,49150.0
1848,11990.0,39520.0
1849,28040.0,21230.0
1850,58000.0,8420.0
1851,74600.0,5560.0
1852,75090.0,5080.0
1853,88480.0,10170.0
1854,61280.0,19600.0
1855,74670.0,32910.0
1856,88060.0,34380.0
1857,68510.0,29590.0
1858,32189.999999999996,21300.0
1859,12640.0,13690.0
1860,21490.0,7650.0
1861,30350.0,4080.0
1862,2180.0,4090.0
1863,152650.0,14330.0
1864,148360.0,38220.0
1865,85810.0,60780.0
1866,41410.0,70770.0
1867,14750.0,72770.0
1868,2280.0,42680.0
1869,5910.0,16390.0
1870,9950.0,9830.0
1871,10440.0,5800.0
1872,70640.0,5260.0
1873,50120.0,18910.0
1874,50130.0,30950.0
1875,101250.0,31180.0
1876,97120.0,46340.0
1877,86510.0,45770.0
1878,72170.0,44150.0
1879,38320.0,36330.0
1880,10110.0,12030.0
1881,7740.0,12600.0
1882,9670.0,18340.0
1883,43120.0,35140.0
1884,52210.0,43770.0
1885,134850.0,65690.0
1886,134860.0,79350.0
1887,103790.0,51650.0
1888,46100.0,32590.000000000004
1889,15030.0,22450.0
1890,24200.0,16160.0
1891,41650.0,14120.0
1892,52340.0,20380.0
1893,53780.0,33330.0
1894,70400.0,46000.0
1895,85810.0,51410.0
1896,56690.0,46430.0
1897,16590.0,33680.0
1898,6160.0,18010.0
1899,2300.0,8860.0
1900,12820.0,7130.0
1901,4720.0,9470.0
1902,4730.0,14860.0
1903,37220.0,31470.0
1904,69720.0,60570.0
1905,57780.0,63510.0
1906,28680.0,54700.0
1907,23370.0,6300.0
1908,21540.0,3410.0
1909,26340.0,5440.0
1910,53100.0,11650.0
1911,68480.0,20350.0
1912,75580.0,32880.0
1913,57920.0,39550.0
1914,40970.0,43360.0
1915,24950.0,40830.0
1916,12590.0,30360.0
1917,4970.0,17180.0
1918,4500.0,6820.0
1919,11210.0,3190.0
1920,56600.0,3520.0
1921,69630.0,9940.0
1922,77740.0,20300.0
1923,80530.0,31990.0
1924,73380.0,42360.0
1925,36930.0,49080.0
1926,4640.0,53990.0
1927,2540.0,52250.0
1928,1800.0,37700.0
1929,2390.0,19140.0
1930,4230.0,6980.0
1931,19520.0,8310.0
1932,82110.0,16010.000000000002
1933,89760.0,24820.0
1934,81660.0,29700.0
1935,15760.0,35400.0
