name,party,state,money_pro,money_con,years,stance,chamber
"Ackerman, Gary", D,NY,13350.0,14800,30,unknown,house
"Adams, Sandra", R,FL,3500.0,5650,2,unknown,house
"Aderholt, Robert", R,AL,4779.0,23944,16,unknown,house
"Akin, Todd", R,MO,2500.0,8200,12,no,house
"Alexander, Rodney", R,LA,3500.0,2700,10,no,house
"Altmire, Jason", D,PA,24250.0,10650,6,unknown,house
"Amash, Justin", R,MI,6750.0,1700,2,no,house
"Amodei, Mark", R,NV,,,2,yes,house
"Andrews, Robert", D,NJ,9000.0,6400,24,no,house
"Austria, Steve", R,OH,4500.0,36474,4,unknown,house
"Baca, Joe", D,CA,12500.0,3800,14,yes,house
"Bachmann, Michele", R,MN,35690.0,37900,6,no,house
"Bachus, Spencer", R,AL,9500.0,6750,20,no,house
"Baldwin, Tammy", D,WI,25400.0,11600,14,leaning no,house
"Barletta, Lou", R,PA,4200.0,8450,2,unknown,house
"Barrow, John", D,GA,55550.0,10300,8,yes,house
"Bartlett, Roscoe", R,MD,750.0,2400,20,unknown,house
"Barton, Joe", R,TX,58500.0,27150,28,unknown,house
"Bass, Charles", R,NH,36300.0,11250,2,leaning no,house
"Bass, Karen", D,CA,52400.0,16800,2,yes,house
"Becerra, Xavier", D,CA,90944.0,28200,20,unknown,house
"Benishek, Dan", R,MI,5620.0,7550,2,no,house
"Berg, Rick", R,ND,7300.0,12800,2,unknown,house
"Berkley, Shelley", D,NV,11211.0,7300,14,unknown,house
"Berman, Howard", D,CA,286400.0,73539,30,yes,house
"Biggert, Judy", R,IL,12750.0,7500,14,no,house
"Bilbray, Brian", R,CA,16000.0,30000,8,unknown,house
"Bilirakis, Gus", R,FL,13050.0,2000,8,unknown,house
"Bishop, Timothy", D,NY,36200.0,21450,10,leaning no,house
"Bishop, Rob", R,UT,950.0,11400,10,leaning no,house
"Bishop Jr., Sanford", D,GA,9150.0,17000,20,unknown,house
"Black, Diane", R,TN,9750.0,,2,unknown,house
"Blackburn, Marsha", R,TN,85750.0,16750,10,yes,house
"Blumenauer, Earl", D,OR,6750.0,25850,18,no,house
"Boehner, John", R,OH,109600.0,72920,2,unknown,house
"Bonner, Jo", R,AL,3750.0,15600,10,unknown,house
"Bono Mack, Mary", R,CA,173890.0,30926,16,yes,house
"Boren, Dan", D,OK,5400.0,6300,8,unknown,house
"Boswell, Leonard", D,IA,16100.0,,16,unknown,house
"Boustany Jr., Charles", R,LA,7500.0,13350,8,unknown,house
"Brady, Kevin", R,TX,15000.0,19000,16,unknown,house
"Brady, Robert", D,PA,36400.0,3000,16,unknown,house
"Braley, Bruce", D,IA,28200.0,16000,6,no,house
"Brooks, Mo", R,AL,1000.0,23150,2,unknown,house
"Broun, Paul", R,GA,9629.0,2000,6,no,house
"Brown, Corrine", D,FL,2500.0,13200,20,unknown,house
"Buchanan, Vern", R,FL,34300.0,42050,6,unknown,house
"Bucshon, Larry", R,IN,1700.0,3250,2,unknown,house
"Buerkle, Ann Marie", R,NY,2900.0,900,2,unknown,house
"Burgess, Michael", R,TX,20000.0,15500,10,unknown,house
"Burton, Dan", R,IN,1250.0,,30,unknown,house
"Butterfield, G.", D,NC,21000.0,2000,10,unknown,house
"Calvert, Ken", R,CA,24000.0,15400,20,unknown,house
"Camp, Dave", R,MI,31000.0,62350,22,unknown,house
"Campbell, John", R,CA,6000.0,32700,8,no,house
"Canseco, Francisco", R,TX,4900.0,500,2,unknown,house
"Cantor, Eric", R,VA,103700.0,122650,12,unknown,house
"Capito, Shelley", R,WV,12000.0,10800,12,unknown,house
"Capps, Lois", D,CA,37350.0,7950,16,unknown,house
"Capuano, Michael", D,MA,20750.0,26600,14,leaning no,house
"Cardoza, Dennis", D,CA,15250.0,3500,10,unknown,house
"Carnahan, Russ", D,MO,21800.0,12500,8,unknown,house
"Carney, John", D,DE,14300.0,1750,2,unknown,house
"Carson, Andre", D,IN,6000.0,1400,6,no,house
"Carter, John", R,TX,12000.0,33000,10,no,house
"Cassidy, Bill", R,LA,17000.0,3400,4,unknown,house
"Castor, Kathy", D,FL,20750.0,8500,6,unknown,house
"Chabot, Steven", R,OH,10800.0,27100,2,yes,house
"Chaffetz, Jason", R,UT,12000.0,23407,4,no,house
"Chandler, Ben", D,KY,9000.0,8250,10,unknown,house
