state,demVote,year,south
Alabama,84.76,1932,true
Arizona,67.03,1932,false
Arkansas,86.27,1932,true
California,58.41,1932,false
Colorado,54.81,1932,false
Connecticut,47.4,1932,false
Delaware,48.11,1932,false
Florida,74.49,1932,true
Georgia,91.6,1932,true
Idaho,58.7,1932,false
Illinois,55.23,1932,false
Indiana,54.67,1932,false
Iowa,57.69,1932,false
Kansas,53.56,1932,false
Kentucky,59.06,1932,false
Louisiana,92.79,1932,true
Maine,43.19,1932,false
Maryland,61.5,1932,false
Massachusetts,50.64,1932,false
Michigan,52.36,1932,false
Minnesota,59.91,1932,false
Mississippi,95.98,1932,true
Missouri,63.69,1932,false
Montana,58.8,1932,false
Nebraska,62.98,1932,false
Nevada,69.41,1932,false
New Hampshire,48.99,1932,false
New Jersey,49.48,1932,false
New Mexico,62.72,1932,false
New York,54.07,1932,false
North Carolina,69.93,1932,true
North Dakota,69.59,1932,false
Ohio,49.88,1932,false
Oklahoma,73.3,1932,false
Oregon,58.0,1932,false
Pennsylvania,45.33,1932,false
Rhode Island,55.08,1932,false
South Carolina,98.03,1932,true
South Dakota,63.62,1932,false
Tennessee,66.48,1932,true
Texas,88.19,1932,true
Utah,56.52,1932,false
Vermont,41.08,1932,false
Virginia,68.46,1932,true
Washington,57.46,1932,false
West Virginia,54.47,1932,false
Wisconsin,63.46,1932,false
Wyoming,56.07,1932,false
Alabama,86.38,1936,true
Arizona,69.85,1936,false
Arkansas,81.79,1936,true
California,66.95,1936,false
Colorado,60.37,1936,false
Connecticut,55.32,1936,false
Delaware,54.62,1936,false
Florida,76.08,1936,true
Georgia,87.1,1936,true
Idaho,62.96,1936,false
Illinois,57.7,1936,false
Indiana,56.63,1936,false
Iowa,54.41,1936,false
Kansas,53.67,1936,false
Kentucky,58.51,1936,false
Louisiana,88.82,1936,true
Maine,41.52,1936,false
Maryland,62.35,1936,false
Massachusetts,51.22,1936,false
Michigan,56.33,1936,false
Minnesota,61.84,1936,false
Mississippi,97.03,1936,true
Missouri,60.76,1936,false
Montana,69.28,1936,false
Nebraska,57.14,1936,false
Nevada,72.81,1936,false
New Hampshire,49.73,1936,false
New Jersey,59.54,1936,false
New Mexico,62.69,1936,false
New York,58.85,1936,false
North Carolina,73.4,1936,true
North Dakota,59.6,1936,false
Ohio,57.99,1936,false
Oklahoma,66.83,1936,false
Oregon,64.41,1936,false
Pennsylvania,56.88,1936,false
Rhode Island,52.96,1936,false
South Carolina,98.57,1936,true
South Dakota,54.02,1936,false
Tennessee,68.77,1936,true
Texas,87.08,1936,true
Utah,69.34,1936,false
