time,value
1956.0,5.149
1956.25,6.372
1956.5,7.068
1956.75,5.908
1957.0,5.359
1957.25,6.531
1957.5,7.365
1957.75,5.982
1958.0,5.244
1958.25,6.785
1958.5,7.576
1958.75,6.036
1959.0,5.317
1959.25,6.889
1959.5,7.702
1959.75,6.247
1960.0,5.582
1960.25,7.534
1960.5,8.388
1960.75,6.605
1961.0,5.592
1961.25,7.428
1961.5,8.377
1961.75,6.426
1962.0,5.73
1962.25,7.66
1962.5,8.494
1962.75,6.647
1963.0,5.899
1963.25,7.891
1963.5,8.905
1963.75,6.721
1964.0,5.983
1964.25,8.135
1964.5,8.958
1964.75,6.922
1965.0,6.088
1965.25,8.377
1965.5,9.116
1965.75,6.911
1966.0,6.067
1966.25,8.494
1966.5,9.717
1966.75,7.28
1967.0,6.236
1967.25,8.599
1967.5,10.15
1967.75,7.258
1968.0,6.193
1968.25,9.263
1968.5,10.784
1968.75,7.902
1969.0,6.615
1969.25,9.654
1969.5,13.262
1969.75,10.646
1970.0,12.439
1970.25,17.789
1970.5,22.958
1970.75,19.656
1971.0,18.696
1971.25,24.244
1971.5,28.065
1971.75,23.768
1972.0,24.083
1972.25,33.855
1972.5,39.663
1972.75,34.572
1973.0,34.459
1973.25,40.881
1973.5,47.617
1973.75,39.426
1974.0,37.674
1974.25,47.976
1974.5,51.563
1974.75,42.66
1975.0,39.177
1975.25,49.424
1975.5,55.003
1975.75,46.824
1976.0,44.225
1976.25,57.572
1976.5,65.088
1976.75,53.76
1977.0,49.312
1977.25,63.723
1977.5,74.308
1977.75,57.734
1978.0,55.753
1978.25,70.994
1978.5,77.7
1978.75,65.012
1979.0,58.554
1979.25,74.172
1979.5,87.601
1979.75,71.143
1980.0,68.305
1980.25,91.494
1980.5,103.355
1980.75,82.828
1981.0,87.838
1981.25,109.885
1981.5,119.783
1981.75,100.887
1982.0,92.566
1982.25,116.031
1982.5,126.61
1982.75,97.691
1983.0,91.901
1983.25,118.398
1983.5,123.589
1983.75,104.15
1984.0,97.129
1984.25,116.333
1984.5,130.379
1984.75,111.173
1985.0,102.607
1985.25,119.591
1985.5,131.551
1985.75,107.312
1986.0,98.451
1986.25,126.824
1986.5,136.76
1986.75,112.228
1987.0,106.125
1987.25,129.905
1987.5,158.412
1987.75,123.315
1988.0,115.582
1988.25,136.809
1988.5,157.408
1988.75,125.375
1989.0,116.596
1989.25,149.075
1989.5,175.104
1989.75,139.375
1990.0,124.901
1990.25,151.83
1990.5,160.848
1990.75,122.942
1991.0,111.133
1991.25,141.27
1991.5,159.795
1991.75,125.346
1992.0,117.445
1992.25,150.854
1992.5,174.431
1992.75,129.196
1993.0,106.065
1993.25,149.055
1993.5,162.808
1993.75,138.06
1994.0,127.348
1994.25,158.957
1994.5,184.13
1994.75,141.995
1995.0,129.358
1995.25,167.376
1995.5,181.0
1995.75,145.0
1996.0,133.0
1996.25,162.0
1996.5,184.0
1996.75,146.0
1997.0,135.0
1997.25,171.0
1997.5,183.0
1997.75,151.0
1998.0,141.0
1998.25,174.0
1998.5,191.0
1998.75,157.0
1999.0,145.0
1999.25,182.0
1999.5,198.0
1999.75,165.0
2000.0,164.0
2000.25,199.0
2000.5,213.0
2000.75,173.0
2001.0,177.0
2001.25,205.0
2001.5,218.0
2001.75,185.0
2002.0,166.0
2002.25,204.0
2002.5,228.0
2002.75,186.0
2003.0,172.0
2003.25,204.0
2003.5,232.0
2003.75,188.0
2004.0,173.0
2004.25,215.0
2004.5,227.0
2004.75,190.0
2005.0,170.0
2005.25,206.0
2005.5,221.0
2005.75,180.0
2006.0,171.0
2006.25,224.0
2006.5,233.0
2006.75,192.0
2007.0,187.0
2007.25,234.0
2007.5,245.0
2007.75,205.0
2008.0,194.0
2008.25,229.0
2008.5,249.0
2008.75,203.0
2009.0,196.0
2009.25,238.0
2009.5,252.0
2009.75,210.0
2010.0,205.0
2010.25,236.0
