business_name,inspection_score,Year,NumberofLocations,Weekend
MCGINLEYS PUB,94,2017,9,false
VILLAGE INN #1,86,2015,66,false
RONNIE SUSHI 2,80,2016,79,false
FRED MEYER - RETAIL FISH,96,2003,86,false
PHO GRILL,83,2017,53,false
TACO KING #2,95,2008,89,false
AJ'S RIB-A-GO-GO,94,2017,28,false
MT SPURR SCHOOL,100,2005,37,false
RAY'S PLACE LLC,92,2007,109,false
SOUTHSIDE BISTRO,91,2005,59,false
TACO BELL #18131,98,2015,45,false
NEW ASIA RESTAURANT,94,2015,32,false
JOJO'S HYPER BEAN LLC,96,2017,11,false
MULDOON ELEMENTARY SCHOOL,100,2006,40,false
SWEET PINK PEPPER,92,2001,154,false
KING CAREER CENTER EARLY CHILDHOOD,100,2008,25,false
CHILD'S EARLY LEARNING CENTER,91,2006,29,false
BURGER JIM #1,88,2009,101,false
EMBASSY SUITES - SPA,100,2017,12,false
HUMPY'S SUB-ZERO,93,2016,38,false
DRAGON RESTAURANT,85,2016,191,false
FIORI D'ITALIA,92,2007,39,false
"ALASKA CLUB SOUTH, THE",100,2008,54,false
EAST HIGH SCHOOL/P & R,100,2000,18,false
SAND LAKE ELEMENTARY SCHOOL,100,2015,19,false
GALLO'S LOUNGE,94,2007,32,false
BRIGHT BEGINNINGS EARLY LEARNING,89,2007,134,false
BENSON SECONDARY SCHOOL,100,2009,43,false
ESPRESSO ESPRESSIONS CAFE & EATERY,90,2009,110,false
DIMOND HIGH SCHOOL,100,2003,34,false
SHRIMP GUYS SEAFOOD #2,100,2015,8,false
SOUTHSIDE BISTRO,94,2007,59,false
BEAR MOUNTAIN GRILL,99,2000,81,false
5TH AVENUE DELI,86,2007,70,false
CAPONE'S PIZZA,91,2006,61,false
LOS ARCOS RESTAURANT-BAR,100,2007,13,false
BPX EXPLORATION CAFE,93,2008,43,false
BURGER JIM #1,81,2007,101,false
CROWNE PLAZA HOTEL/JUNO,82,2017,59,false
ORIENTAL GARDEN,82,2016,23,false
FRED MEYER - BAKERY,100,2007,88,false
"HEALTH COURT FOODS, INC.",100,2017,5,false
PEKING WOK,72,2009,271,false
PEKING WOK,83,2009,271,false
BRIGHT BEGINNINGS ELC-EAGLE RIVER,100,2015,69,false
SULLIVAN ARENA N E,100,2007,19,false
NEW SAGAYA MIDTOWN MARKET - DELI,82,2006,87,false
GINGER,94,2017,58,false
SUBWAY STORE #23885,98,2016,26,false
MOUNTAIN VIEW ELEM SCHOOL,100,2007,45,false
ARCTIC ROADRUNNER #2,91,2017,36,false
PEGGYS RESTAURANT,87,2007,86,false
VILLAGE INN #1,90,2006,66,false
EAGLE RIVER ELEMENTARY SCHOOL,100,2003,35,false
DRAGON RESTAURANT,91,2007,191,false
PROVIDENCE HOSPITAL KITCHEN,100,2007,42,false
VILLAGE INN #2,96,2004,81,false
EMBASSY SUITES - POOL,100,2017,11,false
HUFFMAN SCHOOL,100,2000,37,false
COZY MARKET,100,2017,6,false
SUBWAY OF ALASKA #14372,98,2009,62,false
BELLA VISTA,98,2001,56,false
UNCLE JOE'S PIZZERIA #4,98,2006,40,false
ROMANO'S BAR,100,2000,20,false
TEXAS ROADHOUSE - BAR,100,2015,11,false
H2OASIS ALASKA TUB,100,2008,58,false
ANCHORAGE CORRECTIONAL FACILITY WEST,93,2016,58,false
CENTURY THEATRE,100,2006,31,false
HOLIDAY STATIONSTORE #607 SNACK,93,2009,39,false
CARRS #1807 - SERVICE MEAT,100,2000,27,false
GORSUCH BOY SCOUT CAMP,92,2006,34,false
SICILY'S PIZZA,90,2016,323,false
CARRS #1817 - BAKERY,91,2003,45,false
BASKIN ROBBINS,95,2016,75,false
PEKING WOK,100,2015,271,false
HILAND MOUNTAIN CORRECTIONAL CTR,86,2008,51,false
CARRS #1802 - DELI,90,2004,56,false
LAKE HOOD ELEMENTARY,100,2007,36,false
BABYCAKES,100,2017,5,false
UAA - BEAR NECESSITIES,100,2015,13,false
PEANUT FARM SPORTS BAR & GRILL,95,2019,50,false
TRAILSIDE ELEMENTARY SCHOOL,100,2004,38,false
MCDONALD'S,100,2000,646,false
DARWINS THEORY BAR,95,2009,15,false
BUSH COMPANY #2,87,2016,32,false
DON JOSE'S MEXICAN RESTAURANT,94,2000,140,false
LAHN PAD-THAI RESTAURANT,96,2008,102,false
FAIRFIELD INN & SUITES - HOT TUB,100,2007,28,false
TWIN DRAGON,76,2007,127,false
RAINBOW VIDEO & ORIENTAL STORE,99,2000,17,false
KOBE TEPPAYAKI HOUSE,84,2019,151,false
FRED MEYER - DELI,93,2005,189,false
SPARE ROOM (HAROLD'S),89,2007,30,false
MEKONG RESTAURANT,86,2007,86,false
F STREET STATION,93,2005,30,false
FAITH DAY CARE & LEARNING CENTER,96,2008,43,false
HUMPY'S GREAT ALASKAN ALEHOUSE,98,2006,78,false
CAMP FIRE - ABBOTT LOOP,94,2002,32,false
SUBWAY OF ALASKA #4803,99,2007,53,false
SILVERTIP GRILL,73,2005,62,false
K STREET CONVENIENCE-DELI,100,2015,11,false
HULA HANDS RESTAURANT,86,2007,181,false
LUIGI'S PIZZA,79,2009,117,false
SILK RESTAURANT,85,2017,35,false
APA GROCERIES,93,2001,47,false
SIDE STREET ESPRESSO,98,2008,16,false
PEANUT FARM SPORTS BAR & GRILL,95,2019,50,false
WESTMARK - SOLSTICE CAFE,93,2005,47,false
SHRIMP GUYS SEAFOOD #2,100,2017,8,false
RONNIE SUSHI 2,91,2016,79,false
ICHIBAN RESTAURANT,86,2008,125,false
H2OASIS INDOOR WATERPARK RESTAURANT,100,2005,95,false
HEARTH ARTISAN PIZZA,92,2017,21,false
MCDONALD'S,87,2009,646,false
ORGANIC OASIS HEALTH FOODS,85,2008,96,false
DING HOW RESTAURANT,87,2017,196,false
CHUGIAK HIGH SCHOOL,100,2007,42,false
CARRS #1812 - ORIENT EXPRESS,97,2017,34,false
THAI SIAM RESTAURANT,81,2015,56,false
"PERFECT CUP PLUS, THE",81,2009,91,false
KALADI BROTHERS COFFEE - DOWNSTAIRS,95,2009,30,false
L'AROMA BAKERY & DELI - RESTAURANT,87,2015,161,false
NORTHERN LIGHTS ABC SCHOOL,100,2006,36,false
HARLEY'S OLD THYME CAFE,97,2017,5,false
BAXTER ELEMENTARY SCHOOL,100,2006,38,false
JAVA THE HUT,81,2009,79,false
LUIGI'S PIZZA,88,2016,117,false
CARL'S JR RESTAURANT,90,2017,254,false
FRED MEYER - DELI,95,2017,189,false
KALADI BROTHERS COFFEE,95,2007,99,false
SPRING HILL ELEM CAFETERIA,100,2008,37,false
ANCHORAGE COMMUNITY YMCA - POOL,100,2005,53,false
CARRS #1807 - GROCERY,93,2001,36,false
CARRS #1805 - GROCERY,94,2008,42,false
NORDSTROM - CAFE EXPRESS,93,2007,38,false
UAA - CUDDY CENTER,94,2005,57,false
HANSHEW MIDDLE SCHOOL,100,2007,40,false
HUMPY'S GREAT ALASKAN ALEHOUSE,90,2002,78,false
BRIGHT BEGINNINGS ELC-EAGLE RIVER,95,2015,69,false
MEKONG RESTAURANT,82,2007,86,false
ANCH HILTON - HOOPER BAY,88,2008,76,false
WENDY'S #1,99,2003,63,false
TACO BELL #2181,100,2009,35,false
5TH AVENUE DELI,88,2007,70,false
VIP DBA YOUNG BIN RESTAURANT,90,2004,115,false
CARRS #520 - GROCERY,95,2001,36,false
CHILDREN'S WORLD,88,2008,58,false
BRADLEY HOUSE,98,2004,54,false
JOY CHILD DEVELOPMENT CENTER,98,2006,38,false
KINLEY'S RESTAURANT & BAR INC,98,2002,71,false
SIMON & SEAFORTS,88,2006,74,false
AFC SUSHI #71 @ FRED MEYER #71,100,2006,28,false
ANCH HILTON - HOOPER BAY,90,2006,76,false
POLAR BAR,93,2009,28,false
JALAPENOS MEXICAN RESTAURANT,82,2016,104,false
KALADI BROTHERS COFFEE - DOWNSTAIRS,91,2015,30,false
PTARMIGAN ELEMENTARY SCHOOL,99,2000,39,false
H2OASIS ALASKA TUB,100,2009,58,false
GALLO'S MEXICAN RESTAURANT,79,2018,274,false
CARRS #1813 - SALAD BAR,95,2002,52,false
ANCHORAGE COMFORT INN SNACKBAR,93,2003,41,false
PIZZA OLYMPIA,95,2004,69,false
BENNY'S FOOD WAGON,97,2017,77,false
BLUE LINE PUB,89,2003,45,false
VFW POST 9785,93,2004,50,false
SNO FLO LLC,90,2018,9,false
