year_start,year_end,total_snow
1920,1921,671.0
1921,1922,723.0
1922,1923,565.0
1923,1924,551.0
1924,1925,674.0
1925,1926,373.0
1926,1927,588.0
1927,1928,405.0
1928,1929,554.0
1929,1930,390.0
1930,1931,444.0
1931,1932,751.0
1932,1933,624.0
1933,1934,316.0
1934,1935,543.0
1935,1936,605.0
1936,1937,693.0
1937,1938,511.0
1938,1939,573.0
1939,1940,313.0
1940,1941,529.0
1941,1942,446.0
1942,1943,529.0
1943,1944,
1944,1945,
1945,1946,
1946,1947,529.0
1947,1948,661.0
1948,1949,
1949,1950,
1950,1951,
1951,1952,
1952,1953,
1953,1954,
1954,1955,708.0
1955,1956,1000.0
1956,1957,619.0
1957,1958,602.0
1958,1959,646.0
1959,1960,564.0
1960,1961,685.0
1961,1962,545.0
1962,1963,452.0
1963,1964,429.0
1964,1965,538.0
1965,1966,583.0
1966,1967,692.0
1967,1968,502.0
1968,1969,829.0
1969,1970,649.0
1970,1971,884.0
1971,1972,1122.0
1972,1973,577.0
1973,1974,1070.0
1974,1975,820.0
1975,1976,858.0
1976,1977,414.0
1977,1978,598.0
1978,1979,583.0
1979,1980,645.0
1980,1981,460.0
1981,1982,779.0
1982,1983,681.0
1983,1984,727.0
1984,1985,711.0
1985,1986,589.0
1986,1987,574.0
1987,1988,626.0
1988,1989,755.0
1989,1990,723.0
1990,1991,725.0
1991,1992,499.0
1992,1993,550.0
1993,1994,593.0
1994,1995,732.0
1995,1996,658.0
1996,1997,938.0
1997,1998,674.0
1998,1999,1032.5
1999,2000,753.0
2000,2001,491.0
2001,2002,837.0
2002,2003,575.0
2003,2004,674.0
2004,2005,409.0
2005,2006,758.0
2006,2007,665.0
2007,2008,947.0
2008,2009,734.0
2009,2010,609.0
2010,2011,907.0
2011,2012,698.0
2012,2013,741.0
2013,2014,590.0
2014,2015,266.0
2015,2016,698.0
2016,2017,703.0
2017,2018,738.0
2018,2019,543.0
2019,2020,530.0
