year,value,lb,ub
1980,162.35625,50.0,271.0
1981,154.04375,50.0,251.0
1982,141.371875,40.0,250.0
1983,153.59375,37.0,321.0
1984,141.753125,30.0,280.0
1985,144.3,40.0,250.0
1986,141.740625,30.0,258.0
1987,135.365625,25.0,242.0
1988,136.682291666666,30.0,220.0
1989,136.567708333333,30.0,261.0
1990,118.4375,40.0,188.0
1991,113.40625,30.0,218.0
1992,111.328125,28.0,181.0
1993,101.802083333333,40.0,179.0
1994,103.010416666666,32.0,169.0
1995,86.609375,27.0,161.0
1996,82.640625,28.0,153.0
1997,83.625,35.0,127.0
1998,84.1875,34.0,143.0
1999,87.4270833333333,31.0,158.0
2000,78.5729166666666,26.0,161.0
2001,82.03125,29.0,151.0
2002,74.2916666666666,22.0,139.0
2003,78.7083333333333,15.0,173.0
2004,72.46875,20.0,143.0
2005,74.4635416666666,16.0,143.0
2006,66.9895833333333,22.0,138.0
2007,62.0625,19.0,136.0
2008,53.3489583333333,17.0,96.0
2009,47.1401041666666,13.0,96.0
2010,40.85,10.9,84.3
2011,33.715625,8.0,68.0
2012,31.1052083333333,8.0,65.4
2013,27.2453125,7.0,61.9
2014,27.0572916666666,8.6,54.0
2015,23.28125,5.0,39.0
2016,15.8,4.1,28.0
2017,14.7796875,3.0,29.0
2018,14.609375,3.8,20.0
2019,12.846875,3.0,31.6
2020,10.340625,3.0,16.4
