Country,Salary,YearsCodedJob,OpenSource,Hobby,CompanySizeNumber,Remote,CareerSatisfaction,Data_scientist,Database_administrator,Desktop_applications_developer,Developer_with_stats_math_background,DevOps,Embedded_developer,Graphic_designer,Graphics_programming,Machine_learning_specialist,Mobile_developer,Quality_assurance_engineer,Systems_administrator,Web_developer
United Kingdom,100000.0,20,0,1,5000,Remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,130000.0,20,1,1,1000,Remote,9,0,0,0,0,1,1,0,0,0,0,1,0,1
United States,175000.0,16,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,64516.1290322581,4,0,0,1000,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
India,6636.32359418588,1,0,1,5000,Not remote,5,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,65000.0,1,0,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,110000.0,13,0,1,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,53763.4408602151,4,1,0,5000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,109400.0,7,1,1,20,Not remote,8,0,0,1,0,0,0,0,0,0,1,0,0,0
Germany,83870.9677419355,17,1,1,20,Not remote,9,0,0,1,1,0,0,0,0,0,0,0,0,0
United States,51000.0,1,0,0,20,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,32500.0,1,1,0,10,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,30000.0,1,0,1,20,Not remote,5,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,90000.0,10,1,0,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,115000.0,4,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,93000.0,9,0,0,500,Not remote,7,0,0,1,1,1,0,0,0,0,0,1,0,0
United States,92500.0,14,1,1,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
United Kingdom,32500.0,2,0,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,43750.0,1,1,1,1,Not remote,5,1,1,1,1,0,0,1,1,0,0,0,0,1
United Kingdom,113750.0,20,1,1,20,Not remote,9,0,0,1,0,1,0,0,0,0,1,0,0,1
United States,80000.0,5,0,0,500,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,100000.0,14,0,1,20,Not remote,7,0,1,0,0,1,0,0,0,0,0,0,1,1
United States,120000.0,4,0,1,20,Not remote,10,0,1,1,1,1,0,0,0,0,1,0,1,1
United Kingdom,131250.0,14,0,0,20,Not remote,10,0,0,0,0,0,0,1,1,0,1,0,0,1
India,6606.95933049479,1,1,1,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,10752.688172043,1,0,1,10,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,1,1
Canada,87121.2121212121,10,0,0,20,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,54545.4545454545,8,0,0,1000,Not remote,10,0,1,0,0,0,0,0,0,0,0,0,1,1
United States,50000.0,15,1,1,1,Remote,10,0,1,0,0,0,0,0,0,0,0,0,1,1
United States,50000.0,2,1,1,10,Not remote,4,0,1,0,0,0,0,0,0,0,1,0,0,1
United States,185000.0,20,1,0,100,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,160000.0,11,1,1,500,Remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,63000.0,6,0,1,20,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,67000.0,6,0,1,1000,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,103000.0,15,1,1,500,Remote,8,0,1,0,0,0,0,0,0,0,0,0,0,0
United States,65000.0,2,0,1,5000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,63750.0,17,0,1,500,Not remote,5,0,0,1,0,1,0,0,0,0,0,0,0,1
United States,115000.0,8,1,0,20,Remote,6,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,170000.0,18,0,1,10000,Remote,3,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,81060.6060606061,17,1,1,1000,Not remote,8,0,0,0,1,0,0,0,0,0,0,0,0,0
United Kingdom,77500.0,10,0,1,100,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,97000.0,9,0,1,100,Remote,5,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,120000.0,7,1,1,100,Remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,59139.7849462366,5,0,0,100,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,0
United Kingdom,75000.0,8,1,1,500,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,53763.4408602151,5,0,1,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,110000.0,4,1,1,10000,Remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0
United States,85000.0,2,1,1,20,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,38484.8484848485,2,0,1,500,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,165000.0,8,0,1,10000,Not remote,9,0,0,0,1,0,0,0,0,0,0,0,0,0
United States,100000.0,5,0,1,1,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,61000.0,7,0,0,1000,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,150000.0,20,1,1,1000,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,1,1
Germany,47311.8279569892,2,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,110000.0,20,0,0,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,88000.0,1,0,1,20,Not remote,2,0,0,0,1,0,0,0,0,0,0,0,0,1
Germany,40000.0,3,1,1,20,Not remote,7,1,0,0,0,0,0,0,0,0,0,0,1,1
United Kingdom,150000.0,17,1,1,1000,Not remote,8,1,0,0,0,0,0,0,0,1,0,0,0,0
United States,137500.0,8,1,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,90000.0,13,0,1,500,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
India,5652.62076053443,2,0,0,10000,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
United Kingdom,62500.0,14,0,1,1,Remote,7,1,0,1,0,1,0,0,0,0,0,0,1,1
United States,110000.0,17,0,1,5000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,82000.0,3,1,0,10000,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
India,7752.16561444722,2,1,1,20,Not remote,10,0,0,0,1,0,0,0,0,0,0,0,0,1
United States,104000.0,3,0,1,10000,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,37878.7878787879,4,0,0,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,52500.0,3,1,1,500,Not remote,7,1,0,1,1,1,0,0,1,1,0,0,0,0
United States,100501.0,15,0,1,500,Not remote,0,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,93000.0,8,0,1,20,Remote,5,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,90000.0,9,1,1,1000,Not remote,4,0,1,0,0,0,0,0,0,0,0,0,0,1
Canada,53030.303030303,7,0,0,10,Not remote,5,0,0,0,0,0,0,0,0,0,1,0,0,0
Canada,99478.7878787879,20,0,0,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,75000.0,1,0,0,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,95000.0,7,0,0,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,73200.0,10,0,1,10,Remote,8,0,1,0,0,1,0,0,0,0,0,0,1,1
United States,140000.0,15,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,86000.0,20,0,1,1,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0
India,11745.7054764352,5,1,1,1000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,90000.0,2,0,0,20,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0
United States,160000.0,10,1,1,20,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,1,1
United Kingdom,32000.0,3,0,1,100,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,35483.8709677419,2,1,1,20,Not remote,9,0,0,0,0,0,0,0,1,0,0,0,0,1
United States,60000.0,3,0,0,100,Not remote,5,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,106400.0,19,0,1,1000,Remote,6,0,0,1,0,0,0,0,0,0,0,0,1,1
