name,height,mass,hair_color,skin_color,eye_color,birth_year,sex,gender,homeworld,species
Luke Skywalker,172,77.0,blond,fair,blue,19.0,male,masculine,Tatooine,Human
C-3PO,167,75.0,,gold,yellow,112.0,none,masculine,Tatooine,Droid
R2-D2,96,32.0,,"white, blue",red,33.0,none,masculine,Naboo,Droid
Darth Vader,202,136.0,none,white,yellow,41.9,male,masculine,Tatooine,Human
Leia Organa,150,49.0,brown,light,brown,19.0,female,feminine,Alderaan,Human
Owen Lars,178,120.0,"brown, grey",light,blue,52.0,male,masculine,Tatooine,Human
Beru Whitesun Lars,165,75.0,brown,light,blue,47.0,female,feminine,Tatooine,Human
R5-D4,97,32.0,,"white, red",red,,none,masculine,Tatooine,Droid
Biggs Darklighter,183,84.0,black,light,brown,24.0,male,masculine,Tatooine,Human
Obi-Wan Kenobi,182,77.0,"auburn, white",fair,blue-gray,57.0,male,masculine,Stewjon,Human
Anakin Skywalker,188,84.0,blond,fair,blue,41.9,male,masculine,Tatooine,Human
Wilhuff Tarkin,180,,"auburn, grey",fair,blue,64.0,male,masculine,Eriadu,Human
Chewbacca,228,112.0,brown,unknown,blue,200.0,male,masculine,Kashyyyk,Wookiee
Han Solo,180,80.0,brown,fair,brown,29.0,male,masculine,Corellia,Human
Greedo,173,74.0,,green,black,44.0,male,masculine,Rodia,Rodian
Jabba Desilijic Tiure,175,1358.0,,"green-tan, brown",orange,600.0,hermaphroditic,masculine,Nal Hutta,Hutt
Wedge Antilles,170,77.0,brown,fair,hazel,21.0,male,masculine,Corellia,Human
Jek Tono Porkins,180,110.0,brown,fair,blue,,,,Bestine IV,
Yoda,66,17.0,white,green,brown,896.0,male,masculine,,Yoda's species
Palpatine,170,75.0,grey,pale,yellow,82.0,male,masculine,Naboo,Human
Boba Fett,183,78.2,black,fair,brown,31.5,male,masculine,Kamino,Human
IG-88,200,140.0,none,metal,red,15.0,none,masculine,,Droid
Bossk,190,113.0,none,green,red,53.0,male,masculine,Trandosha,Trandoshan
Lando Calrissian,177,79.0,black,dark,brown,31.0,male,masculine,Socorro,Human
Lobot,175,79.0,none,light,blue,37.0,male,masculine,Bespin,Human
Ackbar,180,83.0,none,brown mottle,orange,41.0,male,masculine,Mon Cala,Mon Calamari
Mon Mothma,150,,auburn,fair,blue,48.0,female,feminine,Chandrila,Human
Arvel Crynyd,,,brown,fair,brown,,male,masculine,,Human
Wicket Systri Warrick,88,20.0,brown,brown,brown,8.0,male,masculine,Endor,Ewok
Nien Nunb,160,68.0,none,grey,black,,male,masculine,Sullust,Sullustan
Qui-Gon Jinn,193,89.0,brown,fair,blue,92.0,male,masculine,,Human
Nute Gunray,191,90.0,none,mottled green,red,,male,masculine,Cato Neimoidia,Neimodian
Finis Valorum,170,,blond,fair,blue,91.0,male,masculine,Coruscant,Human
Padmé Amidala,185,45.0,brown,light,brown,46.0,female,feminine,Naboo,Human
Jar Jar Binks,196,66.0,none,orange,orange,52.0,male,masculine,Naboo,Gungan
Roos Tarpals,224,82.0,none,grey,orange,,male,masculine,Naboo,Gungan
Rugor Nass,206,,none,green,orange,,male,masculine,Naboo,Gungan
Ric Olié,183,,brown,fair,blue,,male,masculine,Naboo,Human
Watto,137,,black,"blue, grey",yellow,,male,masculine,Toydaria,Toydarian
Sebulba,112,40.0,none,"grey, red",orange,,male,masculine,Malastare,Dug
Quarsh Panaka,183,,black,dark,brown,62.0,male,masculine,Naboo,Human
Shmi Skywalker,163,,black,fair,brown,72.0,female,feminine,Tatooine,Human
Darth Maul,175,80.0,none,red,yellow,54.0,male,masculine,Dathomir,Zabrak
Bib Fortuna,180,,none,pale,pink,,male,masculine,Ryloth,Twi'lek
Ayla Secura,178,55.0,none,blue,hazel,48.0,female,feminine,Ryloth,Twi'lek
