type,brand,color,origin
dress shirt,Stafford,white,Ethiopia
dress shirt,Stafford,white,Indonesia
dress shirt,Arrow,white plaid,Bangladesh
dress shirt,Van Heusen,white plaid,Vietnam
dress shirt,Uniqlo,white plaid,China
dress shirt,Van Heusen,white plaid,Indonesia
dress shirt,Saddlebred,white plaid,Nicaragua
dress shirt,Stafford,white plaid,Vietnam
dress shirt,Saddlebred,white plaid,Nicaragua
dress shirt,Van Heusen,white plaid,Indonesia
dress shirt,Van Heusen,white,Bangladesh
dress shirt,Van Heusen,white stripe,Indonesia
dress shirt,Saddlebred,orange,Nicaragua
dress shirt,Chaps,pink plaid,Bangladesh
dress shirt,Saddlebred,pink,Nicaragua
dress shirt,Kirkland,purple plaid,Indonesia
dress shirt,Tudors,purple plaid,Turkey
dress shirt,Stafford,purple plaid,Vietnam
dress shirt,Van Heusen,red plaid,Vietnam
dress shirt,Stafford,red plaid,Vietnam
dress shirt,Saddlebred,red,Nicaragua
dress shirt,Stafford,purple stripe,Vietnam
dress shirt,Stafford,purple plaid,Ethiopia
dress shirt,Kirkland,purple dotted,Indonesia
dress shirt,Stafford,green,Indonesia
dress shirt,Saddlebred,green,Nicaragua
dress shirt,Saddlebred,blue,Nicaragua
dress shirt,Saddlebred,blue,Nicaragua
dress shirt,Kirkland,blue plaid,Indonesia
dress shirt,Buttoned Down,blue plaid,Indonesia
dress shirt,Stafford,blue,Vietnam
dress shirt,Good Threads,blue plaid,China
dress shirt,Buttoned Down,blue plaid,Indonesia
dress shirt,Stafford,blue,Vietnam
dress shirt,Saddlebred,gray,Nicaragua
dress shirt,Stafford,gray,Indonesia
dress shirt,Stafford,gray,Vietnam
dress shirt,Buttoned Down,black plaid,Indonesia
pants,Van Heusen,blue,Kenya
pants,Apt. 9,blue,Bahrain
pants,Apt. 9,blue,Vietnam
pants,Saddlebred,gray,Vietnam
pants,Greg Norman,blue,Jordan
pants,Greg Norman,blue,Jordan
pants,Greg Norman,blue,Jordan
pants,Haggar,blue,Bangladesh
pants,Saddlebred,gray,Indonesia
pants,Greg Norman,gray,Jordan
pants,Saddlebred,gray,Vietnam
pants,Greg Norman,black,Vietnam
pants,Apt. 9,gray,China
pants,Apt. 9,black,Vietnam
pants,Apt. 9,black,China
pants,Greg Norman,black,Vietnam
pants,Greg Norman,black,Vietnam
pants,Haggar,gray,Bangladesh
pants,Kenneth Cole,gray,Vietnam
polo,Apt. 9,green,China
polo,Marc Anthony,teal,Guatemala
polo,Croft & Barrow,blue,Vietnam
polo,Apt. 9,blue,China
polo,Sonoma,blue,Indonesia
polo,Marc Anthony,purple,Guatemala
polo,Vantage,purple,Pakistan
polo,Marc Anthony,blue,Indonesia
polo,Nike,black,Vietnam
polo,Towncraft,blue,Vietnam
polo,Apt. 9,purple,China
polo,Sonoma,blue,Indonesia
polo,Sonoma,blue,Indonesia
polo,Crown & Ivy,blue,Indonesia
polo,Marc Anthony,purple,Indonesia
polo,Towncraft,red,Indonesia
polo,Marc Anthony,salmon,Indonesia
polo,Croft & Barrow,white,Indonesia
polo,Apt. 9,orange,China
polo,Crown & Ivy,pink,Indonesia
polo,Croft & Barrow,salmon,Vietnam
polo,Apt. 9,white,Indonesia
polo,Structure,white striped,Cambodia
polo,Marc Anthony,white,Indonesia
polo,Le Tigre,white,Vietnam
polo,Divots,white,Taiwan
polo,Marc Anthony,orange,Guatemala
polo,Divots,orange,Taiwan
polo,Antigua,red,Vietnam
