"",x
1,0.0000546136558787025
2,3.3696292152272e-6
3,2.32816277847759e-6
4,1.99936093016668e-6
5,1.58841414117909e-6
6,1.45144558424485e-6
7,1.3692677390342e-6
8,1.31448387919866e-6
9,1.20491944806033e-6
10,1.04058102202855e-6
11,9.0363986853393e-7
12,8.76252459754348e-7
13,1.04058102202855e-6
14,1.50623218475365e-6
15,2.16375691839487e-6
16,2.93106874380742e-6
17,3.67118029525417e-6
18,4.32922523293817e-6
19,4.8228627506114e-6
20,5.17943409614717e-6
21,5.56348594860507e-6
22,6.02990706420271e-6
23,6.19454525464499e-6
24,5.94759168147136e-6
25,5.34402115056922e-6
26,4.60345731016613e-6
27,3.94534646517232e-6
28,3.47928031059644e-6
29,3.3696292152272e-6
30,3.47928031059644e-6
31,3.69859567681379e-6
32,3.91792861268257e-6
33,4.10985934638492e-6
34,4.24696096573993e-6
35,4.35664720463474e-6
36,4.52118480282133e-6
37,4.8228627506114e-6
38,5.26172638658082e-6
39,5.86527877353468e-6
40,6.57873953815281e-6
41,7.3747420985302e-6
42,8.22589738617036e-6
43,9.18719729873341e-6
44,0.0000102862392271384
45,0.0000115506830982115
46,0.0000129257412800438
47,0.0000144115802192991
48,0.0000159533024244017
49,0.0000175234474497692
50,0.0000192047761648663
51,0.0000209147263443767
52,0.00002290181610302
53,0.0000253048086705888
54,0.0000282907710877245
55,0.0000317231191017663
56,0.0000355203201198148
57,0.0000394338954435147
58,0.000043213999057655
59,0.000046748667461919
60,0.0000502042483329338
61,0.0000537200376377008
62,0.0000576876950562401
63,0.0000623612530868951
64,0.0000680249811709849
65,0.000074685020241283
66,0.0000822639872752817
67,0.0000904015946809972
68,0.0000986202260895645
69,0.000106408148451382
70,0.000113847229159001
71,0.000121020404325072
72,0.000128987192646661
73,0.000138992791385772
74,0.000152188113455855
75,0.000168240827696708
76,0.000186175241343597
77,0.00020446391150332
78,0.000222994375390865
79,0.000241381982651486
80,0.000260255199318252
81,0.000281928749152169
82,0.000307050458637213
83,0.000333734385483712
84,0.000360587244346142
85,0.000387674543822191
86,0.000421411926826019
87,0.000462369053054513
88,0.000506022414817449
89,0.000549379043154417
90,0.000591903529370143
91,0.00063623855627965
92,0.000686188573807911
93,0.000740007039351203
94,0.000796295895400239
95,0.000850290623514289
96,0.000897950522710376
97,0.000941160078500167
98,0.000981808014936838
99,0.00102032490727789
100,0.00105657087492729
101,0.00109061057544693
102,0.00112243734701425
103,0.00115205171637502
104,0.00117958783421646
105,0.00120506427082827
106,0.00122859203687734
107,0.00125029139716368
108,0.00127024761478847
109,0.00128855259174034
110,0.00130534846578217
111,0.0000396005547181997
112,2.30076111620124e-6
113,1.94456446096433e-6
114,1.42405269510632e-6
115,1.06797007468525e-6
116,1.04058102202855e-6
117,9.31027551279075e-7
118,8.48865324935456e-7
119,7.66705564185674e-7
120,7.11933760054339e-7
121,6.29778108299299e-7
122,6.02393438877254e-7
123,6.57163051632711e-7
124,8.21478464071163e-7
125,1.04058102202855e-6
126,1.31448387919866e-6
127,1.58841414117909e-6
128,1.75278545495762e-6
129,1.80757808591227e-6
130,1.78018163336442e-6
131,1.69799392054642e-6
132,1.67059856453105e-6
133,1.61580867485271e-6
134,1.61580867485271e-6
135,1.64320348263507e-6
136,1.69799392054642e-6
137,1.69799392054642e-6
138,1.75278545495762e-6
139,1.83497481260694e-6
140,1.97196255847578e-6
141,2.1089571588382e-6
142,2.30076111620124e-6
143,2.46517520373485e-6
144,2.57479008092189e-6
145,2.71181484920845e-6
146,2.82143960170819e-6
147,3.01329348126764e-6
148,3.23257152132086e-6
149,3.56152151416309e-6
150,3.91792861268257e-6
151,4.3018035358936e-6
152,4.71315783255424e-6
153,5.17943409614717e-6
154,5.7006603814498e-6
155,6.27686806265329e-6
156,6.90809183966661e-6
157,7.59436974509356e-6
158,8.30828129728245e-6
159,9.02237905488644e-6
160,9.79161576223245e-6
161,0.0000105885531183849
162,0.0000114956951330131
163,0.0000124581440077154
164,0.0000135585000248305
165,0.0000147969293877064
166,0.0000161460787572457
167,0.0000176336668856588
168,0.0000192047761648663
169,0.0000208319622272873
170,0.0000225705343077164
171,0.0000245312015647122
172,0.0000267420877729012
173,0.0000291207833581355
174,0.0000316123310071785
175,0.000034383379185204
176,0.000037379264760539
177,0.0000408508227531087
178,0.0000451616770135455
179,0.0000504273388747927
180,0.0000565135636354968
181,0.0000630335582684184
182,0.0000699342216856871
183,0.0000776690234098746
184,0.0000865275636605006
185,0.0000966057965483245
186,0.000107632354238305
187,0.00011950418379346
188,0.00013277811659288
189,0.00014773444160423
190,0.000164516810069574
191,0.000183597613366021
192,0.000204758941707286
193,0.000227453271505459
194,0.000251387488271484
195,0.000277319724798409
196,0.000310513590799995
197,0.000349739812596733
198,0.00039023073188726
199,0.000428574559398296
200,0.000465612529742787
201,0.000506813006173166
202,0.000555979062320483
203,0.000609496753123872
204,0.000664849239315389
205,0.000719456129873153
206,0.00077248660340655
207,0.000818984431391907
208,0.000860881067106367
209,0.0008992430197389
210,0.000935721442706838
211,0.000970115885028221
212,0.00100241977863103
213,0.00103263309775035
214,0.00106080276472473
215,0.00108698387768789
216,0.00111123940929362
217,0.00113363985033178
218,0.00115430454224963
219,0.0011733186347247
220,0.00119077334637299
221,0.0000523772326690104
222,3.25726215514253e-6
223,2.27610430922106e-6
224,1.95552682531082e-6
225,1.55280374154036e-6
226,1.41035912802322e-6
227,1.32818251593034e-6
228,1.27066073725423e-6
229,1.16109805967287e-6
230,9.99500730655625e-7
231,8.65299989082778e-7
232,8.40651321181154e-7
233,1.01319347624426e-6
234,1.47610091108432e-6
