latitude,month,tst,sza
20,jan,400,
20,jan,430,
20,jan,500,
20,jan,530,
20,jan,600,
20,jan,630,
20,jan,700,84.9
20,jan,730,78.7
20,jan,800,72.7
20,jan,830,66.1
20,jan,900,61.5
20,jan,930,56.5
20,jan,1000,52.1
20,jan,1030,48.3
20,jan,1100,45.5
20,jan,1130,43.6
20,jan,1200,43.0
20,feb,400,
20,feb,430,
20,feb,500,
20,feb,530,
20,feb,600,
20,feb,630,88.9
20,feb,700,82.5
20,feb,730,75.8
20,feb,800,69.6
20,feb,830,63.3
20,feb,900,57.7
20,feb,930,52.2
20,feb,1000,47.4
20,feb,1030,43.1
20,feb,1100,40.0
20,feb,1130,37.8
20,feb,1200,37.2
20,mar,400,
20,mar,430,
20,mar,500,
20,mar,530,
20,mar,600,
20,mar,630,85.7
20,mar,700,78.8
20,mar,730,72.0
20,mar,800,65.2
20,mar,830,58.6
20,mar,900,52.3
20,mar,930,46.2
20,mar,1000,40.5
20,mar,1030,35.5
20,mar,1100,31.4
20,mar,1130,28.6
20,mar,1200,27.7
20,apr,400,
20,apr,430,
20,apr,500,
20,apr,530,
20,apr,600,88.5
20,apr,630,81.5
20,apr,700,74.4
20,apr,730,67.4
20,apr,800,60.3
20,apr,830,53.4
20,apr,900,46.5
20,apr,930,39.7
20,apr,1000,33.2
20,apr,1030,26.9
20,apr,1100,21.3
20,apr,1130,17.2
20,apr,1200,15.5
20,may,400,
20,may,430,
20,may,500,
20,may,530,
20,may,600,85.0
20,may,630,78.2
20,may,700,71.2
20,may,730,64.3
20,may,800,57.2
20,may,830,50.2
20,may,900,43.2
20,may,930,36.1
20,may,1000,29.1
20,may,1030,26.1
20,may,1100,15.2
20,may,1130,8.8
20,may,1200,5.0
20,jun,400,
20,jun,430,
20,jun,500,
20,jun,530,89.2
20,jun,600,82.7
20,jun,630,76.0
20,jun,700,69.3
20,jun,730,62.5
20,jun,800,55.7
20,jun,830,48.8
20,jun,900,41.9
20,jun,930,35.0
20,jun,1000,28.1
20,jun,1030,21.1
20,jun,1100,14.2
20,jun,1130,7.3
20,jun,1200,2.0
20,jul,400,
20,jul,430,
20,jul,500,
20,jul,530,88.8
20,jul,600,82.3
20,jul,630,75.7
20,jul,700,69.1
20,jul,730,62.3
20,jul,800,55.5
20,jul,830,48.7
20,jul,900,41.8
20,jul,930,35.0
20,jul,1000,28.1
20,jul,1030,21.2
20,jul,1100,14.3
20,jul,1130,7.7
20,jul,1200,3.1
20,aug,400,
20,aug,430,
20,aug,500,
20,aug,530,
20,aug,600,83.8
20,aug,630,77.1
20,aug,700,70.2
20,aug,730,63.3
20,aug,800,56.4
20,aug,830,49.4
20,aug,900,42.4
20,aug,930,35.4
20,aug,1000,28.3
20,aug,1030,21.3
20,aug,1100,14.3
20,aug,1130,7.3
20,aug,1200,1.9
20,sep,400,
20,sep,430,
20,sep,500,
20,sep,530,
20,sep,600,87.2
20,sep,630,80.2
20,sep,700,73.2
20,sep,730,66.1
20,sep,800,59.1
20,sep,830,52.1
20,sep,900,45.1
20,sep,930,38.1
20,sep,1000,31.3
20,sep,1030,24.7
20,sep,1100,18.6
20,sep,1130,13.7
20,sep,1200,11.6
20,oct,400,
20,oct,430,
20,oct,500,
20,oct,530,
20,oct,600,
20,oct,630,84.1
20,oct,700,77.1
20,oct,730,70.2
20,oct,800,63.3
20,oct,830,56.5
20,oct,900,49.9
20,oct,930,43.5
20,oct,1000,37.5
20,oct,1030,32.0
20,oct,1100,27.4
20,oct,1130,24.3
20,oct,1200,23.1
20,nov,400,
20,nov,430,
20,nov,500,
20,nov,530,
