id,degree,fte,years,base,fica,retirement,total
1,BA,1.0,5.0,45388,3472.18,7688.73,56548.91
2,MA,1.0,15.0,60649,4639.65,10273.94,75562.59
3,MA,1.0,16.0,60649,4639.65,10273.94,75562.59
4,BA,1.0,10.0,54466,4166.65,9226.54,67859.19
5,BA,1.0,26.0,65360,5000.04,11071.98,81432.01999999999
6,BA,1.0,28.5,65360,5000.04,11071.98,81432.01999999999
7,BA,1.0,12.0,58097,4444.42,9841.63,72383.05
8,MA,1.0,32.0,68230,5219.6,11558.16,85007.76000000001
9,BA,1.0,25.0,65360,5000.04,11071.98,81432.01999999999
11,BA,1.0,12.0,58097,4444.42,9841.63,72383.05
12,BA,1.0,0.0,35427,2710.17,6001.33,44138.5
13,BA,1.0,7.5,49929,3819.57,8457.97,62206.54
14,BA,1.0,40.0,65360,5000.04,11071.98,81432.01999999999
15,BA,1.0,4.0,43575,3333.49,7381.6,54290.09
16,MA,1.0,7.0,51174,3914.81,8668.88,63757.689999999995
17,BA,1.0,34.0,65360,5000.04,11071.98,81432.01999999999
18,MA,1.0,36.0,68230,5219.6,11558.16,85007.76000000001
19,MA,1.0,20.0,64440,4929.66,10916.14,80285.8
20,MA,1.0,28.5,68230,5219.6,11558.16,85007.76000000001
21,MA,1.0,8.0,51174,3914.81,8668.88,63757.689999999995
22,MA,1.0,4.0,45486,3479.68,7705.33,56671.01
23,BA,1.0,28.0,65360,5000.04,11071.98,81432.01999999999
24,BA,1.0,25.0,65360,5000.04,11071.98,81432.01999999999
25,MA,1.0,9.0,54962,4204.59,9310.56,68477.15
26,BA,1.0,33.0,65360,5000.04,11071.98,81432.01999999999
27,BA,1.0,9.0,52653,4027.95,8919.42,65600.37
28,MA,1.0,31.0,68230,5219.6,11558.16,85007.76000000001
29,BA,1.0,32.0,65360,5000.04,11071.98,81432.01999999999
30,MA,1.0,8.0,53067,4059.63,8989.55,66116.18
31,BA,1.0,20.0,61729,4722.27,10456.89,76908.16
32,MA,1.0,28.0,68230,5219.6,11558.16,85007.76000000001
33,BA,1.0,16.0,59914,4583.42,10149.43,74646.85
34,MA,1.0,37.0,68230,5219.6,11558.16,85007.76000000001
35,MA,1.0,11.0,58752,4494.53,9952.59,73199.12
36,MA,1.0,17.0,62545,4784.69,10595.12,77924.81
37,MA,0.5,1.0,19900,1522.35,3371.06,24793.41
38,MA,1.0,2.0,41695,3189.67,7063.13,51947.799999999996
39,MA,1.0,3.0,43593,3334.86,7384.65,54312.51
40,BA,1.0,29.0,65360,5000.04,11071.98,81432.01999999999
41,BA,1.0,1.0,37199,2845.72,6301.51,46346.23
42,BA,1.0,19.0,59914,4583.42,10149.43,74646.85
43,BA,1.0,15.0,58097,4444.42,9841.63,72383.05
44,BA,1.0,19.0,59914,4583.42,10149.43,74646.85
45,BA,1.0,18.0,59914,4583.42,10149.43,74646.85
46,MA,1.0,9.0,54962,4204.59,9310.56,68477.15
47,MA,1.0,8.0,53067,4059.63,8989.55,66116.18
48,BA,1.0,3.0,40739,3116.53,6901.19,50756.72
49,MA,1.0,14.0,60649,4639.65,10273.94,75562.59
50,BA,1.0,7.5,48710,3726.32,8251.47,60687.79
51,MA,1.0,8.0,53067,4059.63,8989.55,66116.18
52,BA,1.0,31.0,65360,5000.04,11071.98,81432.01999999999
53,MA,1.0,15.0,60649,4639.65,10273.94,75562.59
54,BA,1.0,3.0,40739,3116.53,6901.19,50756.72
55,MA,1.0,10.5,57806,4422.16,9792.34,72020.5
56,BA,1.0,15.0,58097,4444.42,9841.63,72383.05
57,BA,1.0,0.0,35427,2710.17,6001.33,44138.5
58,MA,1.0,9.0,54962,4204.59,9310.56,68477.15
59,BA,1.0,9.0,54962,4204.59,9310.56,68477.15
60,MA,1.0,13.0,61216,4683.02,10369.99,76269.01000000001
61,BA,1.0,22.0,61729,4722.27,10456.89,76908.16
62,MA,1.0,14.0,60649,4639.65,10273.94,75562.59
63,MA,1.0,7.0,51174,3914.81,8668.88,63757.689999999995
64,BA,1.0,7.0,49020,3750.03,8303.99,61074.02
65,BA,1.0,29.0,65360,5000.04,11071.98,81432.01999999999
66,BA,1.0,16.0,59914,4583.42,10149.43,74646.85
67,BA,1.0,23.0,61729,4722.27,10456.89,76908.16
68,MA,1.0,7.0,49279,3769.84,8347.86,61396.7
69,BA,1.0,2.0,38968,2981.05,6601.18,48550.23
70,BA,1.0,31.0,65360,5000.04,11071.98,81432.01999999999
71,MA,1.0,5.5,48330,3697.24,8187.1,60214.34
72,MA,1.0,27.0,68230,5219.6,11558.16,85007.76000000001
