fttrump1,ftobama1
80,75
85,15
,
80,50
0,100
35,5
30,90
60,50
0,85
1,85
0,100
1,90
90,85
0,98
0,89
60,60
0,95
0,55
70,30
50,50
76,16
40,45
0,95
0,100
0,85
0,100
0,100
0,100
35,95
85,75
97,0
0,85
50,50
90,70
70,60
90,60
0,100
70,50
7,72
25,35
15,80
90,50
75,25
15,15
40,90
100,0
65,20
100,0
90,1
45,85
75,90
100,10
50,50
0,0
75,85
0,100
100,50
5,90
85,0
0,50
100,0
0,0
60,75
70,100
65,30
100,0
0,90
1,99
50,100
70,70
0,80
0,75
1,1
10,85
85,0
20,90
10,90
45,0
0,100
0,100
0,100
40,60
100,0
80,30
70,30
70,0
75,50
25,89
75,40
0,90
0,95
15,88
0,85
0,100
40,50
100,0
0,50
100,0
0,100
0,0
0,90
60,70
25,15
45,65
2,95
90,50
97,1
60,85
2,99
20,100
0,100
0,85
5,100
40,100
0,0
100,50
0,70
0,100
60,30
0,85
75,35
15,80
60,50
50,50
0,80
100,0
0,100
15,100
45,5
0,100
85,30
0,90
70,50
100,0
92,10
0,60
85,50
90,0
60,20
0,100
78,50
75,0
0,100
2,98
80,1
0,50
100,50
75,50
15,0
98,40
75,25
0,95
95,0
90,0
0,100
0,95
45,65
80,40
100,20
0,80
90,90
70,45
85,55
70,80
30,80
15,85
15,80
0,100
50,90
98,2
25,75
100,0
10,80
75,2
97,97
20,60
50,100
30,25
0,100
15,100
90,10
0,100
0,100
60,40
50,30
90,10
75,65
90,40
54,85
95,1
70,75
100,0
45,78
1,75
80,0
100,0
1,99
80,70
0,85
20,75
0,97
0,90
60,0
45,100
80,60
100,5
60,40
100,5
45,65
25,75
,
60,100
0,100
84,44
0,98
70,0
88,68
0,95
0,5
50,50
50,80
2,70
100,0
10,90
100,40
60,80
95,30
0,70
50,30
0,80
0,70
100,0
90,20
0,100
0,75
50,50
0,100
0,60
0,95
50,20
49,50
75,30
0,90
0,30
0,100
0,90
100,50
0,95
0,90
0,100
100,0
15,15
90,90
95,0
0,95
0,100
0,98
10,91
15,99
40,50
99,0
90,20
85,30
80,10
40,100
2,75
100,0
85,15
0,100
40,70
0,99
0,90
85,30
5,100
22,61
100,70
60,70
0,100
1,1
66,77
9,3
0,97
15,50
20,45
0,85
0,100
100,70
0,100
0,75
50,50
100,25
70,50
0,85
0,99
50,10
0,80
20,60
1,80
100,0
85,10
0,75
65,100
70,60
10,10
90,80
88,15
5,90
50,50
100,10
0,85
100,0
50,90
70,0
50,0
0,75
86,100
0,10
0,95
70,0
50,50
5,80
60,60
90,75
60,40
35,55
80,5
5,0
100,100
15,100
25,40
0,90
100,0
85,1
86,95
0,100
33,66
40,70
75,0
0,100
10,50
0,70
100,2
0,98
50,50
60,100
100,0
0,100
70,20
70,0
34,100
15,100
90,0
85,0
100,0
0,50
0,100
0,100
10,85
30,0
0,70
0,75
100,0
85,10
90,0
0,80
1,1
0,90
100,0
99,1
0,100
60,50
40,100
5,80
2,100
55,40
100,0
30,70
30,50
100,99
5,80
61,75
,
45,75
0,100
10,100
95,0
0,85
0,70
0,77
90,50
0,70
0,100
70,40
20,70
90,20
0,50
2,20
95,10
15,100
0,100
90,70
70,20
100,0
15,75
60,0
90,40
0,100
70,10
15,85
50,50
30,80
95,80
0,50
0,50
60,3
15,100
15,55
75,75
100,2
70,40
15,15
80,45
100,30
85,60
0,70
100,0
100,10
40,15
50,50
0,75
0,100
90,0
0,100
50,10
5,90
98,1
70,40
0,75
15,100
30,20
70,60
0,75
0,100
100,0
30,50
0,98
50,25
50,40
1,70
70,70
80,30
0,75
0,65
0,100
0,100
100,0
100,50
0,100
60,15
60,80
0,100
100,0
90,30
0,80
50,60
0,80
99,0
90,40
50,50
80,70
0,0
100,0
100,0
0,56
5,70
100,100
1,100
0,90
5,95
0,100
50,30
0,90
0,100
90,20
60,50
100,100
0,65
70,50
15,85
13,17
40,40
0,100
50,100
20,50
100,0
0,90
35,49
0,80
0,90
20,50
74,0
90,0
85,30
0,85
0,0
90,60
100,0
0,90
60,45
0,100
40,70
43,84
70,0
0,90
0,85
30,85
1,99
60,80
60,80
20,90
85,5
0,95
100,0
0,60
0,100
10,50
4,50
50,70
100,0
15,70
40,100
0,0
0,100
30,50
0,76
15,65
0,50
50,80
10,90
50,75
100,19
1,98
15,85
16,80
0,100
0,100
65,46
0,90
0,50
0,60
0,90
0,100
50,100
0,100
2,100
100,25
0,90
70,10
1,90
0,90
40,75
0,99
90,0
0,90
75,50
0,100
70,50
49,29
90,50
75,30
0,99
0,100
0,95
0,1
90,2
0,100
50,25
65,45
95,20
0,85
100,15
0,90
0,80
50,50
100,0
40,100
90,1
100,76
100,0
80,90
0,92
85,2
0,100
100,25
50,0
90,0
20,30
99,0
0,90
90,70
70,50
98,0
40,60
50,50
30,60
0,98
100,5
0,100
70,60
80,50
85,80
50,80
85,0
0,95
77,20
95,60
,
0,70
100,10
30,100
65,50
70,70
30,50
100,0
90,60
95,0
8,88
90,10
75,25
60,30
85,50
13,76
100,100
85,10
100,40
0,75
0,90
0,90
30,70
75,11
0,100
0,95
0,90
35,50
100,10
10,60
25,75
80,70
0,100
90,50
0,100
0,100
0,100
80,70
75,0
90,0
70,60
0,100
50,40
70,15
75,40
0,100
40,50
100,0
100,0
70,30
90,15
15,30
90,80
20,85
80,70
0,80
85,5
60,50
60,70
50,0
100,100
10,70
15,50
60,60
100,0
100,90
10,80
0,80
2,66
100,0
0,75
0,85
30,85
70,15
100,1
65,70
0,95
30,30
80,20
90,20
100,0
95,10
77,85
60,50
50,85
45,80
0,100
15,85
50,100
0,100
100,0
0,99
60,50
0,100
20,80
0,50
80,0
0,90
1,90
0,80
10,80
0,80
100,0
50,78
100,100
80,20
100,15
15,100
100,0
85,0
0,0
85,85
25,25
100,50
100,30
0,90
75,25
5,75
70,15
0,90
0,100
0,95
0,70
25,50
80,85
60,60
85,40
2,85
0,100
15,70
90,0
70,0
50,65
60,0
55,0
1,90
100,0
0,100
100,0
100,80
50,80
0,100
40,60
35,100
20,100
16,100
90,75
50,51
40,60
40,50
0,95
0,100
0,90
88,75
0,80
15,70
65,70
85,70
100,0
5,90
100,0
4,75
20,90
0,90
65,10
80,10
5,98
0,100
70,5
0,100
75,40
96,25
40,100
100,80
0,90
70,20
0,100
0,50
0,100
0,50
90,90
0,90
1,75
15,55
60,60
1,90
55,48
100,0
95,5
1,90
20,78
60,40
0,85
99,0
60,50
100,0
85,0
0,50
15,60
85,70
85,20
10,95
75,20
60,3
90,0
15,80
85,0
70,15
85,85
0,90
50,60
30,30
55,90
1,98
60,40
75,0
90,10
100,0
70,50
0,80
50,40
0,35
45,100
80,50
89,75
0,95
85,40
100,0
0,100
0,90
90,90
85,40
0,60
75,70
0,100
0,100
0,90
40,70
30,100
100,85
10,10
70,80
30,23
50,50
100,0
1,100
90,10
0,85
90,0
30,70
0,100
40,80
57,58
55,35
0,90
0,75
75,65
0,100
0,65
30,10
5,85
15,100
85,15
90,0
0,100
100,0
70,30
0,50
85,70
0,75
0,100
0,100
10,50
50,50
90,0
90,5
70,30
100,60
0,100
0,100
5,5
90,1
100,30
0,85
80,60
86,3
0,90
50,50
0,90
50,50
70,60
30,99
0,85
99,99
0,100
79,67
60,50
50,100
90,25
1,1
45,75
70,0
60,75
100,0
0,80
0,0
45,80
0,100
50,50
20,45
20,100
80,80
20,90
60,100
90,5
0,90
85,65
15,25
100,0
100,30
0,85
100,40
90,70
45,55
20,80
0,1
76,65
70,70
100,0
0,90
96,99
75,65
100,0
15,95
20,40
95,0
0,90
85,0
5,85
65,50
10,99
0,0
0,85
0,96
50,90
85,75
99,66
1,95
70,18
100,0
0,98
65,35
0,15
0,100
99,50
99,1
0,90
0,80
2,10
85,10
100,2
70,0
0,100
0,100
0,60
50,60
25,25
100,0
88,85
68,0
0,85
88,0
80,65
15,30
65,10
50,90
85,5
0,70
40,15
15,90
100,0
10,100
100,0
0,75
38,39
1,1
0,100
0,85
70,50
100,0
80,20
30,20
0,100
60,60
