unit_treat,age_treat,earnings_treat,unit_control,age_control,earnings_control,unit_matched,age_matched,earnings_matched
1,18.0,9500,1.0,20.0,8500.0,1,18,8050
2,29.0,12250,2.0,27.0,10075.0,2,29,10525
3,24.0,11000,3.0,21.0,8725.0,3,24,9400
4,27.0,11750,4.0,39.0,12775.0,4,27,10075
5,33.0,13250,5.0,38.0,12550.0,5,33,11425
6,22.0,10500,6.0,29.0,10525.0,6,22,8950
7,19.0,9750,7.0,39.0,12775.0,7,19,8275
8,20.0,10000,8.0,33.0,11425.0,8,20,8500
9,21.0,10250,9.0,24.0,9400.0,9,21,8725
10,30.0,12500,10.0,30.0,10750.0,10,30,9875
,,,11.0,33.0,11425.0,,,
,,,12.0,36.0,12100.0,,,
,,,13.0,22.0,8950.0,,,
,,,14.0,18.0,8050.0,,,
,,,15.0,43.0,13675.0,,,
,,,16.0,39.0,12775.0,,,
,,,17.0,19.0,8275.0,,,
,,,18.0,30.0,9000.0,,,
,,,19.0,51.0,15475.0,,,
,,,20.0,48.0,14800.0,,,
,,,,,,,,
,24.3,11075,,31.95,11101.25,,,9380
,,,,,,,,
,,SDO,-26.25,,,,,
,,ATE,1695.0,,,,,
