date,time,price
2021-04-11,5:00 a.m.,96
2021-04-12,8:00 a.m.,92
2021-04-12,12:00 p.m.,87
2021-04-13,8:00 a.m.,82
2021-04-13,12:00 p.m.,79
2021-04-14,8:00 a.m.,74
2021-04-14,12:00 p.m.,119
2021-04-15,8:00 a.m.,96
2021-04-15,12:00 p.m.,162
2021-04-16,8:00 a.m.,171
2021-04-16,12:00 p.m.,160
2021-04-17,8:00 a.m.,90
2021-04-17,12:00 p.m.,86
2021-04-18,5:00 a.m.,109
2021-04-19,8:00 a.m.,88
2021-04-19,12:00 p.m.,84
2021-04-20,8:00 a.m.,80
2021-04-20,12:00 p.m.,76
2021-04-21,8:00 a.m.,73
2021-04-21,12:00 p.m.,68
2021-04-22,8:00 a.m.,64
2021-04-22,12:00 p.m.,107
2021-04-23,8:00 a.m.,126
2021-04-23,12:00 p.m.,162
2021-04-24,8:00 a.m.,184
2021-04-24,12:00 p.m.,174
2021-04-25,5:00 a.m.,106
2021-04-26,8:00 a.m.,96
2021-04-26,12:00 p.m.,91
2021-04-27,8:00 a.m.,86
2021-04-27,12:00 p.m.,83
2021-04-28,8:00 a.m.,79
2021-04-28,12:00 p.m.,74
2021-04-29,8:00 a.m.,69
2021-04-29,12:00 p.m.,65
2021-04-30,8:00 a.m.,60
2021-04-30,12:00 p.m.,55
2021-05-01,8:00 a.m.,51
2021-05-01,12:00 p.m.,46
2021-05-02,5:00 a.m.,92
2021-05-03,8:00 a.m.,81
2021-05-03,12:00 p.m.,109
2021-05-04,8:00 a.m.,131
2021-05-04,12:00 p.m.,525
2021-05-05,8:00 a.m.,159
2021-05-05,12:00 p.m.,93
2021-05-06,8:00 a.m.,
2021-05-06,12:00 p.m.,
2021-05-07,8:00 a.m.,38
2021-05-07,12:00 p.m.,69
2021-05-08,8:00 a.m.,49
2021-05-08,12:00 p.m.,40
2021-05-09,5:00 a.m.,107
2021-05-10,8:00 a.m.,80
2021-05-10,12:00 p.m.,99
2021-05-11,8:00 a.m.,123
2021-05-11,12:00 p.m.,168
2021-05-12,8:00 a.m.,183
2021-05-12,12:00 p.m.,179
2021-05-13,8:00 a.m.,50
2021-05-13,12:00 p.m.,46
2021-05-14,8:00 a.m.,42
2021-05-14,12:00 p.m.,37
2021-05-15,8:00 a.m.,32
2021-05-15,12:00 p.m.,27
2021-05-16,5:00 a.m.,108
2021-05-17,8:00 a.m.,94
2021-05-17,12:00 p.m.,90
2021-05-18,8:00 a.m.,85
2021-05-18,12:00 p.m.,82
2021-05-19,8:00 a.m.,77
2021-05-19,12:00 p.m.,72
2021-05-20,8:00 a.m.,67
2021-05-20,12:00 p.m.,64
2021-05-21,8:00 a.m.,59
2021-05-21,12:00 p.m.,55
2021-05-22,8:00 a.m.,50
2021-05-23,5:00 a.m.,96
2021-05-24,8:00 a.m.,86
2021-05-24,12:00 p.m.,83
2021-05-25,8:00 a.m.,132
2021-05-25,12:00 p.m.,139
2021-05-26,8:00 a.m.,512
2021-05-26,12:00 p.m.,179
2021-05-27,8:00 a.m.,107
2021-05-27,12:00 p.m.,62
2021-05-28,8:00 a.m.,76
2021-05-28,12:00 p.m.,83
2021-05-29,8:00 a.m.,67
2021-05-29,12:00 p.m.,79
2021-05-30,5:00 a.m.,98
2021-05-31,8:00 a.m.,118
2021-05-31,12:00 p.m.,72
2021-06-01,8:00 a.m.,64
2021-06-01,12:00 p.m.,101
2021-06-02,8:00 a.m.,73
2021-06-02,12:00 p.m.,68
2021-06-03,8:00 a.m.,61
2021-06-03,12:00 p.m.,97
2021-06-04,8:00 a.m.,90
2021-06-04,12:00 p.m.,113
2021-06-05,8:00 a.m.,138
2021-06-05,12:00 p.m.,98
2021-06-06,5:00 a.m.,99
2021-06-07,8:00 a.m.,76
2021-06-07,12:00 p.m.,72
2021-06-08,8:00 a.m.,68
2021-06-08,12:00 p.m.,65
2021-06-09,8:00 a.m.,60
2021-06-09,12:00 p.m.,57
2021-06-10,8:00 a.m.,52
2021-06-10,12:00 p.m.,126
2021-06-11,8:00 a.m.,113
2021-06-11,12:00 p.m.,138
2021-06-12,8:00 a.m.,149
2021-06-12,12:00 p.m.,139
2021-06-13,5:00 a.m.,110
2021-06-14,8:00 a.m.,96
2021-06-14,12:00 p.m.,91
2021-06-15,8:00 a.m.,86
2021-06-15,12:00 p.m.,81
2021-06-16,8:00 a.m.,78
2021-06-16,12:00 p.m.,74
2021-06-17,8:00 a.m.,69
2021-06-17,12:00 p.m.,64
2021-06-18,8:00 a.m.,60
2021-06-18,12:00 p.m.,55
2021-06-19,8:00 a.m.,51
2021-06-19,12:00 p.m.,46
2021-06-20,5:00 a.m.,98
2021-06-21,8:00 a.m.,84
2021-06-21,12:00 p.m.,80
2021-06-22,8:00 a.m.,77
2021-06-22,12:00 p.m.,106
2021-06-23,8:00 a.m.,181
2021-06-23,12:00 p.m.,392
2021-06-24,8:00 a.m.,180
2021-06-24,12:00 p.m.,108
2021-06-25,8:00 a.m.,57
2021-06-25,12:00 p.m.,69
2021-06-26,8:00 a.m.,64
2021-06-26,12:00 p.m.,71
2021-06-27,5:00 a.m.,99
2021-06-28,8:00 a.m.,76
2021-06-28,12:00 p.m.,72
2021-06-29,8:00 a.m.,69
2021-06-29,12:00 p.m.,65
2021-06-30,8:00 a.m.,62
2021-06-30,12:00 p.m.,124
2021-07-01,8:00 a.m.,133
2021-07-01,12:00 p.m.,156
2021-07-02,8:00 a.m.,161
2021-07-02,12:00 p.m.,158
2021-07-03,8:00 a.m.,60
2021-07-03,12:00 p.m.,55
2021-07-04,5:00 a.m.,91
2021-07-05,8:00 a.m.,78
2021-07-05,12:00 p.m.,75
2021-07-06,8:00 a.m.,71
2021-07-06,12:00 p.m.,68
2021-07-07,8:00 a.m.,66
2021-07-07,12:00 p.m.,60
2021-07-08,8:00 a.m.,55
2021-07-08,12:00 p.m.,51
2021-07-09,8:00 a.m.,48
2021-07-09,12:00 p.m.,44
2021-07-10,8:00 a.m.,40
2021-07-10,12:00 p.m.,37
2021-07-11,5:00 a.m.,99
2021-07-12,8:00 a.m.,87
2021-07-12,12:00 p.m.,82
2021-07-13,8:00 a.m.,78
2021-07-13,12:00 p.m.,74
2021-07-14,8:00 a.m.,70
2021-07-14,12:00 p.m.,67
2021-07-15,8:00 a.m.,63
2021-07-15,12:00 p.m.,60
2021-07-16,8:00 a.m.,57
2021-07-16,12:00 p.m.,52
2021-07-17,8:00 a.m.,48
2021-07-17,12:00 p.m.,43
2021-07-18,5:00 a.m.,103
