admit,gender,dept
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
admitted,male,A
