stateabb,statename,region,division
AK,Alaska,West,Pacific
AL,Alabama,South,East South Central
AR,Arkansas,South,West South Central
AZ,Arizona,West,Mountain
CA,California,West,Pacific
CO,Colorado,West,Mountain
CT,Connecticut,Northeast,New England
DC,District of Columbia,South,South Atlantic
DE,Delaware,South,South Atlantic
FL,Florida,South,South Atlantic
GA,Georgia,South,South Atlantic
HI,Hawaii,West,Pacific
IA,Iowa,North Central,West North Central
ID,Idaho,West,Mountain
IL,Illinois,North Central,East North Central
IN,Indiana,North Central,East North Central
KS,Kansas,North Central,West North Central
KY,Kentucky,South,East South Central
LA,Louisiana,South,West South Central
MA,Massachusetts,Northeast,New England
MD,Maryland,South,South Atlantic
ME,Maine,Northeast,New England
MI,Michigan,North Central,East North Central
MN,Minnesota,North Central,West North Central
MO,Missouri,North Central,West North Central
MS,Mississippi,South,East South Central
MT,Montana,West,Mountain
NC,North Carolina,South,South Atlantic
ND,North Dakota,North Central,West North Central
NE,Nebraska,North Central,West North Central
NH,New Hampshire,Northeast,New England
NJ,New Jersey,Northeast,Middle Atlantic
NM,New Mexico,West,Mountain
NV,Nevada,West,Mountain
NY,New York,Northeast,Middle Atlantic
OH,Ohio,North Central,East North Central
OK,Oklahoma,South,West South Central
OR,Oregon,West,Pacific
PA,Pennsylvania,Northeast,Middle Atlantic
RI,Rhode Island,Northeast,New England
SC,South Carolina,South,South Atlantic
SD,South Dakota,North Central,West North Central
TN,Tennessee,South,East South Central
TX,Texas,South,West South Central
UT,Utah,West,Mountain
VA,Virginia,South,South Atlantic
VT,Vermont,Northeast,New England
WA,Washington,West,Pacific
WI,Wisconsin,North Central,East North Central
WV,West Virginia,South,South Atlantic
WY,Wyoming,West,Mountain
