site,parcel,code,island,id,plot,trt,harvwt
AGSV,1,58,2,79.0,7.0,111,13.05
CASV,1,58,2,113.0,5.0,111,21.2
CPSV,1,58,2,5.0,5.0,111,26.3
LPSV,1,58,2,292.5,4.5,111,7.45
MPSV,1,58,2,39.5,3.5,111,14.65
OOSV,1,58,2,219.0,3.0,111,18.0
OTSV,1,58,2,257.5,5.5,111,19.75
SSSV,1,58,2,151.5,7.5,111,12.3
UISV,1,58,2,186.5,6.5,111,21.6
AGSV,2,58,2,87.5,15.5,111,14.15
CASV,2,58,2,122.0,14.0,111,24.15
CPSV,2,58,2,11.0,11.0,111,25.1
LPSV,2,58,2,300.0,12.0,111,5.85
MPSV,2,58,2,51.0,15.0,111,12.65
OOSV,2,58,2,230.0,14.0,111,15.05
OTSV,2,58,2,267.5,15.5,111,23.45
SSSV,2,58,2,155.5,11.5,111,13.65
UISV,2,58,2,193.0,13.0,111,19.75
AGSV,3,58,2,95.0,23.0,111,13.0
CASV,3,58,2,132.5,24.5,111,18.85
CPSV,3,58,2,20.5,20.5,111,22.55
LPSV,3,58,2,310.0,22.0,111,12.65
MPSV,3,58,2,62.0,26.0,111,13.15
OOSV,3,58,2,240.0,24.0,111,16.05
OTSV,3,58,2,275.0,23.0,111,12.45
SSSV,3,58,2,168.5,24.5,111,11.2
UISV,3,58,2,203.5,23.5,111,23.15
AGSV,4,58,2,103.5,31.5,111,12.7
CASV,4,58,2,137.5,29.5,111,23.2
CPSV,4,58,2,33.0,33.0,111,22.3
LPSV,4,58,2,317.5,29.5,111,16.2
MPSV,4,58,2,69.5,33.5,111,13.65
OOSV,4,58,2,250.5,34.5,111,17.2
OTSV,4,58,2,287.5,35.5,111,12.55
SSSV,4,58,2,173.5,29.5,111,14.7
UISV,4,58,2,212.5,32.5,111,21.15
